sample_id,s0_A1_x,s0_A1_y,s0_A1_z,s0_A2_x,s0_A2_y,s0_A2_z,s0_A3_x,s0_A3_y,s0_A3_z,s0_B1_x,s0_B1_y,s0_B1_z,s0_B2_x,s0_B2_y,s0_B2_z,s0_B3_x,s0_B3_y,s0_B3_z,s0_C1_x,s0_C1_y,s0_C1_z,s0_C2_x,s0_C2_y,s0_C2_z,s0_C3_x,s0_C3_y,s0_C3_z,s1_A1_x,s1_A1_y,s1_A1_z,s1_A2_x,s1_A2_y,s1_A2_z,s1_A3_x,s1_A3_y,s1_A3_z,s1_B1_x,s1_B1_y,s1_B1_z,s1_B2_x,s1_B2_y,s1_B2_z,s1_B3_x,s1_B3_y,s1_B3_z,s1_C1_x,s1_C1_y,s1_C1_z,s1_C2_x,s1_C2_y,s1_C2_z,s1_C3_x,s1_C3_y,s1_C3_z,s2_A1_x,s2_A1_y,s2_A1_z,s2_A2_x,s2_A2_y,s2_A2_z,s2_A3_x,s2_A3_y,s2_A3_z,s2_B1_x,s2_B1_y,s2_B1_z,s2_B2_x,s2_B2_y,s2_B2_z,s2_B3_x,s2_B3_y,s2_B3_z,s2_C1_x,s2_C1_y,s2_C1_z,s2_C2_x,s2_C2_y,s2_C2_z,s2_C3_x,s2_C3_y,s2_C3_z,s3_A1_x,s3_A1_y,s3_A1_z,s3_A2_x,s3_A2_y,s3_A2_z,s3_A3_x,s3_A3_y,s3_A3_z,s3_B1_x,s3_B1_y,s3_B1_z,s3_B2_x,s3_B2_y,s3_B2_z,s3_B3_x,s3_B3_y,s3_B3_z,s3_C1_x,s3_C1_y,s3_C1_z,s3_C2_x,s3_C2_y,s3_C2_z,s3_C3_x,s3_C3_y,s3_C3_z,s4_A1_x,s4_A1_y,s4_A1_z,s4_A2_x,s4_A2_y,s4_A2_z,s4_A3_x,s4_A3_y,s4_A3_z,s4_B1_x,s4_B1_y,s4_B1_z,s4_B2_x,s4_B2_y,s4_B2_z,s4_B3_x,s4_B3_y,s4_B3_z,s4_C1_x,s4_C1_y,s4_C1_z,s4_C2_x,s4_C2_y,s4_C2_z,s4_C3_x,s4_C3_y,s4_C3_z
calibration_00000,-962.9763037412496,292.4257825687056,33.01948919730778,-1099.317967897813,-186.66712617591602,-8.729208742997798,-1226.368753579305,44.90708416769942,-342.16791524792063,22.47592491158455,118.3092891477022,163.90756777437,310.2058273579679,-401.65140762459885,246.35818387197142,623.6856492747393,-217.38153722908237,-230.85610581105217,1001.6833136293031,145.02353939451012,175.40727795732496,989.1598438247138,-384.5500968578793,284.2849794656081,1206.3671337931908,-276.64715584172967,-199.12856900165335,-1000.0139047685283,272.8750722957102,99.38658257781975,-1149.942698248857,-199.06567831149667,167.0574267641798,-1299.9008899021528,-34.520538479601555,-195.33667378524933,-299.98812169940203,281.8560275324696,102.65686870073881,0.036271629302573785,-229.78481895410775,192.85399997489276,299.9786636840752,-52.1265033128319,-295.4386874030659,999.9823510413491,281.90028808778396,102.62311807157403,1149.927866353588,-229.80456819517792,192.83558044243986,1299.9622401860067,-52.076930895075336,-295.5376327527349,-750.0005591487688,272.94351799467375,99.41942285607313,-900.0176512897715,-199.05112828805977,166.97427749253046,-1050.0297431096176,-34.36051996482213,-195.35871658720558,-300.027770984416,281.8334931589644,102.62277577054013,0.027288337107717636,-229.81923073369555,192.8203510193083,299.9925204246449,-52.11825421503077,-295.4569915806066,999.9414585720701,281.8994093443271,102.62950761884107,1149.9326025114044,-229.80482433223324,192.78555476015586,1299.8684564488515,-52.106625413732665,-295.4494655389743,-749.9354805799167,272.9963336422628,99.38163403890506,-900.0118409280332,-198.968157229172,166.9700769382005,-1050.0358770818448,-34.45832653986597,-195.37899023319414,-300.00095830635127,281.8658635326361,102.53208397539194,0.021118209545493594,-229.8394625655047,192.80016703865132,299.9909925368544,-52.106019254394404,-295.4517788073919,750.0254897022371,281.95028573398014,102.57427511712103,900.0825481434522,-229.8087888517247,192.9189148906219,1050.0768484817486,-52.115616327037735,-295.34271196181624,-750.0853602587397,272.9395327558821,99.40195288255369,-900.0877212282644,-199.07704585758157,166.96556083972266,-1050.0654058778412,-34.45984479296289,-195.4061428343828,-300.0023037992622,281.811029393327,102.6079562683703,-0.011987792584278407,-229.83349538693537,192.85125928507608,299.9582701613147,-52.10489176987811,-295.50257875950257,749.9983799069183,281.85524773831384,102.59529438314705,900.0144301103737,-229.8651101924715,192.8828472060648,1050.0793287731217,-52.081825473272325,-295.3677292414808
calibration_00001,-1188.4899574450278,138.61826023000353,-102.79399525012977,-1375.5429830929083,-312.2439086319118,4.574778456147699,-1489.4794513271925,-180.74791728412677,-383.5609196401413,-179.53566372707095,128.87523903501886,-37.41294373878994,122.41181770227749,-381.6524166087821,52.87062724855579,419.940122748507,-204.33292308024016,-437.13022900698445,1249.262061940781,465.7424908103538,61.742093172581676,1398.598015934621,-49.8287694384298,128.3936349207849,1600.607366706568,168.45208650110314,-323.3200931873599,-1000.0515941695202,272.91080751217464,99.31550224081332,-1150.0392386184312,-198.98081398457506,166.88235194640458,-1299.957986213006,-34.34956142208336,-195.52386349975788,-299.95262070349577,281.9484589364791,102.61971533778858,0.0029951256400575638,-229.87997814743386,192.8275243029502,299.99334623549754,-52.07650079774816,-295.42182392331085,1000.063022043269,281.9208373852336,102.5757082429487,1149.9880195253124,-229.87090456707605,192.814609951318,1300.0311259899086,-52.13257362958403,-295.499640881696,-749.9611765804726,273.03851734411217,99.32589918119659,-899.9602387310083,-198.9568297473698,166.9581942573024,-1050.010242231934,-34.42803221685903,-195.36480868948965,-299.9633630410309,281.94668932347366,102.67978198465607,-0.050423013438194116,-229.8643805410023,192.83045919380965,300.0217053040796,-52.05164387591148,-295.4416842937431,1000.0550466818739,281.8542291262778,102.65283865296176,1149.9825244275582,-229.83066322040318,192.82569632279913,1299.9813558823303,-52.2029594704603,-295.4595756231765,-749.9920733051089,272.9612802748661,99.35068625451953,-900.0054103688086,-198.9921606941582,167.07057457914078,-1050.0589138310365,-34.438956131949666,-195.3259814066399,-299.93475235993674,281.98096646439683,102.70601332535418,-0.04520683313091645,-229.82861477871484,192.83827006945629,299.97572191009976,-52.1007455015699,-295.34500051377677,749.9670702038615,282.0692227447012,102.55748267082599,899.9954011289185,-229.72905202786592,192.75970686063656,1050.021931468678,-51.90875610861771,-295.4629915431326,-750.0548853456831,273.03158739637536,99.2861225988451,-900.0878638817627,-199.0080579130586,166.96542578877146,-1050.0303198058423,-34.33239899007353,-195.4986255473509,-300.0323715240316,281.9404965692169,102.61425495563103,-0.12474163987566095,-229.84446129424475,192.7793055636382,299.98179035615885,-52.19656371185711,-295.40127873867885,749.9041128621803,281.88968865416535,102.56782408280698,899.9703820868291,-229.7897241785122,192.89233258492882,1050.0072960835844,-52.04873831652232,-295.4157909602908
calibration_00002,-1331.4804440013227,135.46428231295388,-93.3431376919554,-1296.5836939413866,-350.52452148920565,18.495906472025467,-1519.2309990617464,-284.55436459151383,-337.9160284853932,-189.64308953298516,287.8588208075572,18.328640732572282,-3.8063713200715075,-277.5548335697974,94.38911827907177,348.9446664852539,-144.83506994715862,-372.5101890439665,1308.2199730455666,497.9940883919735,-247.21830839522565,1376.6768235146935,-12.554273057724176,-82.33478487931329,1685.5168304105232,111.5669790203611,-508.64313799457443,-1000.0503560236165,272.93579897805665,99.31390157032898,-1150.0241239385523,-198.94454543096865,167.03161039780213,-1299.9870684109992,-34.43809184210922,-195.43414435327944,-300.01508198858676,281.8905158282863,102.53138530080341,-0.025648881031033893,-229.78909668649337,192.88109606246383,300.0141448651155,-52.09471758707302,-295.473388533352,1000.0372240816852,281.83827051951505,102.60437279994399,1149.9625793406726,-229.83958909868213,192.89760930239564,1300.0764253467487,-52.127069505125874,-295.37225154186365,-750.0281435971291,272.9003602494999,99.32415242539822,-900.0627442393635,-199.0660258854359,166.91863255155826,-1050.019598311003,-34.547298712512884,-195.4278674206794,-299.9768296259739,281.87756796307673,102.56750549359269,0.01381175399387396,-229.80642552388636,192.9294989684359,299.97907659630783,-52.09934315431218,-295.4289471598067,1000.0070973566382,281.8914238209718,102.63248407957472,1149.9722545730956,-229.87627892419374,192.9284418008465,1300.0329605624388,-52.13505009705715,-295.38009576738085,-750.0211718501936,272.8889544799404,99.323166623546,-899.9980866659807,-199.12665419809127,166.91400523787732,-1050.0065471751227,-34.49347897003492,-195.42646007037686,-300.0089227044113,281.9100673893806,102.6305776405213,-0.02035914324615994,-229.83979556267326,192.87708035707317,300.00175560031204,-52.163736105377964,-295.3997337722045,749.9479251310206,281.8888622914076,102.65986954053187,900.0273875489977,-229.7865626796066,192.83485680591505,1050.0184183886272,-52.03325185839936,-295.44915860021035,-750.0271796159336,272.95403071821437,99.37104028415722,-899.9694523800829,-199.04439063311128,166.98025288484746,-1050.0348281535994,-34.453002243476426,-195.39315764952767,-300.0091544896842,281.94083084023725,102.58044535726907,-0.022738448992349412,-229.7668730206893,192.86274580257069,299.98812267273496,-52.142734158999204,-295.43877678837896,750.0067708262682,281.87406479235716,102.59833085405539,899.9878607837131,-229.88439096458796,192.78942663937156,1050.0081604048482,-52.171091093919884,-295.4563230692189
calibration_00003,-775.3973618303592,-70.79714509108972,176.34117829648233,-915.4067201037822,-548.4012567958797,222.79204686379347,-1050.7025542604158,-377.3546794981963,-142.4583444730811,-279.2962076695205,196.35361812115957,400.4389313443813,5.697898080606652,-324.50936166608665,487.08796662330434,311.11904179875984,-151.98111951761192,0.2817421732713229,932.8611292116844,24.87578204052578,303.8617404319624,1169.20997264557,-460.3699386628086,270.76400988159423,1227.282043980558,-169.42688957095604,-181.48582842353963,-1000.0054934828695,272.8973968169284,99.36013284041326,-1149.9842795189086,-199.05443693834383,167.09461190941786,-1300.0252048773123,-34.561519989577036,-195.3781258096407,-300.0332102515621,281.88967151873885,102.59089817785387,0.006930894523429879,-229.7873490732734,192.9145117095189,300.0260891138521,-52.140858814822316,-295.4222935063608,999.9771171147104,281.9149271409128,102.6335456853187,1149.9735069617293,-229.79929751034675,192.851999373848,1300.0279438588425,-52.107421300760954,-295.41481855044447,-750.0328884001934,272.9304290255321,99.35366597930532,-900.140758101329,-199.04150971386264,166.969926768901,-1050.041824368673,-34.472869424458466,-195.43422706151398,-300.0274901885187,281.83974050897416,102.62572150234507,0.044226707436293436,-229.78400312087672,192.86873372255877,300.01608910240304,-52.06292676749376,-295.3835936544911,999.9684026070172,281.91498933172113,102.60818579359542,1149.938779044322,-229.81824702391813,192.8189903256229,1299.9838589386234,-52.059481455156515,-295.3720222483335,-750.1090856382864,272.8821925209857,99.4256301821433,-900.1479761294261,-198.98504222613528,166.99127890021052,-1050.069520205936,-34.42131808844461,-195.4490744498124,-300.0486333334898,281.87138874698104,102.59016385063275,0.03218531819381116,-229.8317837430398,192.8609407496363,300.0148708290523,-52.11054753070526,-295.42999227924406,750.0157191162717,281.9075502253091,102.53955306031028,899.9560953402674,-229.86360676859067,192.83873801839556,1050.0232459607203,-52.14518542665967,-295.4376767166486,-750.0798917491753,272.8834721478843,99.4130663071805,-900.0741891136234,-199.02714229651764,166.92203085421684,-1050.055349025017,-34.436688731959826,-195.5197061016804,-299.9551769815987,281.93015219243614,102.56632701111904,0.01664874096675594,-229.844293349372,192.81340336386415,300.02519423772173,-52.07738219335781,-295.43579863588957,750.0387150892096,281.8926797219109,102.56219089023688,899.9875181167943,-229.8321261484845,192.80673371567588,1050.0331617891322,-52.12800174870007,-295.4905634635104
calibration_00004,-682.0608296449772,459.448091552716,226.8494558256491,-882.4374329097369,5.079533984953285,283.62459165592503,-975.740469856934,174.19840798879375,-95.2791081904921,4.455106620585024,418.83537013446085,-228.70921430020937,129.38299163896355,-143.5399205061524,-61.04714319233069,518.0916526982392,-113.20502794605994,-517.1019276328504,741.0050654423145,354.09219118811757,142.07772272061308,773.2534306691413,-146.94149714547743,343.065533217925,913.2558102243842,-122.75780197437697,-178.80351078481266,-1000.0267624008326,273.04980194511165,99.35916379110185,-1149.9643051700646,-198.93846252763237,167.0585870234555,-1299.9292480797637,-34.44309012006374,-195.34919327961893,-300.07718584904734,281.89097388411165,102.51620611790258,0.06902693054042319,-229.77716717691908,192.86198258423482,300.03758814855695,-52.13829061538179,-295.46760307598197,999.9420980538484,281.9451462042032,102.62659542054143,1149.899794472063,-229.78875880622957,192.84828679369835,1299.9870585835868,-52.14547566660168,-295.34754969132143,-749.8639021703782,272.86296913176267,99.28095953485055,-899.9477732885963,-199.11487913091756,166.95260504536802,-1049.9529591126302,-34.47208055909712,-195.45654200629664,-300.0888621166205,281.8325385993401,102.50973955390226,0.0673916226504651,-229.74969449786929,192.87292126889437,299.9715849504556,-52.12463223874924,-295.4994328922031,1000.0331824368689,281.95270439785634,102.6863586337745,1149.9467837778764,-229.7969042407831,192.88244682138088,1299.9988575322404,-52.04968992114272,-295.3667273840818,-749.8856760290503,272.8421503084066,99.30934702428404,-900.0000384177939,-199.0534303189105,166.94009789075636,-1049.9185528045211,-34.487988127533654,-195.50446057944703,-300.07473540436024,281.97565008153737,102.545161348294,0.031025439480075388,-229.7641175408984,192.86740633876445,300.01424077526906,-52.170153851374415,-295.4232082719648,750.0170373115698,281.9001704326446,102.5080877060225,899.9679306197294,-229.74317563418035,192.86284878420884,1049.9733803248898,-52.0799958315133,-295.51818993949,-749.880745524358,272.96786007882463,99.41756979677042,-899.9420157653808,-199.01646872875938,166.96466665630817,-1049.9806945759226,-34.36027991812756,-195.36662742848353,-300.05483873261534,281.9006162354623,102.6237603099363,-0.026573602418263537,-229.75129305045985,192.88294541635844,299.9480586847094,-52.054918223196886,-295.4465040997751,750.0274464359721,281.9060563580925,102.59333807942068,899.9394354459777,-229.88683484017312,192.8765698712352,1050.0434042723532,-52.11041305641407,-295.43188350717526
calibration_00005,-931.6600370924674,52.94110520326701,-111.46962369718214,-1038.6742790384153,-427.366382376127,-199.22144876673082,-1139.4346632942745,-178.63070814270077,-529.315352875842,-313.84173750886856,-77.72471924511751,-22.25939263712969,86.16850286470138,-475.8223900242128,181.56691310941778,379.75655346263704,-324.1700159247735,-319.2720807860802,745.2954308719993,580.9703402930637,-42.16391319223761,845.8212047829182,50.169921344098164,-18.823054779657827,1042.9412707628164,279.6602791851029,-467.0698043395681,-999.9165933890081,273.02939206194566,99.35988774545751,-1149.9331353657649,-198.9057775880053,167.02821377165452,-1299.9738500520452,-34.344873256820115,-195.37417256198142,-299.974078318091,281.9545283263796,102.64827908764308,0.020524328039893503,-229.76105542713879,192.87202804475984,300.0937937597461,-52.070298103183305,-295.4479124853535,1000.0155494963545,281.8501221672884,102.62744954687072,1149.8948470407815,-229.91025475002616,192.80365363824382,1299.9216276105662,-52.183639913390536,-295.42244700284664,-750.0193224539388,272.9594988564568,99.38514570880768,-900.0198015858606,-199.02975280214406,167.02872805117423,-1050.0186587230223,-34.408003431726456,-195.39215029511203,-300.0329693631763,281.8752162329748,102.6244037337713,0.04483372197410938,-229.7726582188865,192.88800726728988,300.04285296985483,-52.04066056637602,-295.3843668566309,1000.0080489776443,281.8817918302432,102.66349334930375,1149.927912732097,-229.87338266381153,192.7972260871362,1299.9837983565583,-52.114204444515366,-295.41673467688145,-750.0175100984487,272.9630403479909,99.32545058696861,-900.0575464789375,-198.99588129515143,167.02447369987385,-1050.036541246194,-34.429383475395866,-195.39050236541644,-299.9184780090952,281.9610907785023,102.7045437550148,0.016518637717326506,-229.7501242338967,192.89774160817908,299.9812609438813,-52.06117947993895,-295.3886638714623,750.0016440685388,281.8910114679618,102.62138140904706,899.9627400732841,-229.8802269955263,192.92963705770853,1050.0140729737275,-52.241209980092805,-295.3359574043829,-750.0669713317219,273.0610295417992,99.32719661163597,-900.0585545133818,-198.96876853489508,166.89214441778273,-1050.1127250572592,-34.37989528490594,-195.48585682442666,-299.99339740083036,281.9472206614962,102.60970132786449,-0.035772696316449644,-229.71660429713762,192.7662031418491,299.97662892492633,-52.02941103631051,-295.4651680822615,749.9711660881547,281.91996861980647,102.58378119044919,899.9177603964874,-229.7969116856372,192.77014575358737,1049.9971468339256,-52.12471112310631,-295.48475410562025
calibration_00006,-1169.6508946220183,360.58989497959834,27.749103593897587,-1458.6567048914624,-44.5266378530409,73.97904041045261,-1601.9775578245262,219.94480260657943,-226.57885360306625,23.187501086792697,413.7518455074955,307.70076520079914,313.7215258229133,-111.1176619333317,318.6281105740057,589.9091099446676,117.49489348366718,-162.5098880880545,1054.8725124010434,-38.77194892657011,6.298938232205568,1044.0983753157159,-578.6776874461292,35.578299459792355,1309.761126063655,-399.30174194604916,-400.0307196013343,-999.9763270880654,272.9164527891131,99.35943253362376,-1149.9257573162756,-198.97836292758814,167.0036995250343,-1299.9080146955275,-34.44374864246514,-195.48180149660195,-299.9935415815273,281.8829518249507,102.5725714376152,0.016910762417856794,-229.8571301960852,192.78316139570964,299.9938797738131,-52.020851769278195,-295.48007157048005,999.9188547586627,281.9885583578464,102.60217868188998,1150.108393189352,-229.68820207436107,192.8952922438484,1299.933909633634,-51.97643731723164,-295.46543863775406,-750.0108961555813,272.91192764844874,99.41575148753375,-899.954649156748,-199.1133603320821,167.1481018440959,-1049.989650332887,-34.47726906649564,-195.3057062795549,-300.05710132567447,281.85555755468056,102.60351393305129,-0.03913386101591278,-229.8166772493414,192.77774793426306,300.00457755323686,-52.03631798751375,-295.5190407750772,999.9450773164727,282.0243329949175,102.6063633758051,1150.0184946819647,-229.7346468271768,192.93907893305382,1300.0162228968975,-51.97624631124351,-295.43480016573096,-749.9281979885087,272.90113553163496,99.37536895177753,-899.9727091132153,-199.04635022994714,167.08090392675462,-1050.0017134153336,-34.55088809706238,-195.28424295798456,-300.06110835311665,281.8949544137007,102.6147681788076,-0.0603921233171133,-229.81159274098593,192.73978506641973,299.97595845746264,-52.04205558166423,-295.4126062522072,749.9726326246472,281.8118473939269,102.62864857952277,900.0577111614721,-229.98376841441922,192.88598844596228,1049.9804573443423,-52.20915097479603,-295.3923153285082,-749.9484257393362,272.96037011950636,99.30742757515097,-899.960349511825,-199.04125278693965,167.02362029471107,-1049.9537520692495,-34.44682370002825,-195.33617864664416,-300.0229639608104,281.9487751549082,102.5360949426574,-0.008920752638341817,-229.76089851654578,192.8000782856816,299.95120199217564,-51.99133756150362,-295.5249812231385,750.091843779441,281.9235800254186,102.64769190196456,899.9913972503648,-229.8451476369056,192.90025055615075,1050.1007311954484,-52.17634721433712,-295.3352680057831
calibration_00007,-1264.7216821363513,365.1064847534933,333.9748136471615,-1414.777199676298,-100.67955352527373,435.65486736892217,-1533.9165804207407,23.91291620778965,46.7760716261791,-197.11267426274503,343.6459807191014,-12.92113897452445,68.6454172296722,-164.58991677556813,163.59841312178753,373.12297896077985,-94.70508021939763,-348.6674047929685,856.6520092680038,135.2233357892236,209.28447963445748,886.0040054884286,-393.1252777197824,320.9600516948934,1139.6539177120244,-263.34327558956977,-138.6965297344781,-1000.0290044248721,272.9150715836163,99.388089124323,-1150.0193255537642,-199.07972016547112,166.95178453833944,-1299.99579809007,-34.47290340216431,-195.4266342363802,-299.90704191438783,281.84563275563113,102.64125013892458,0.09419520283715939,-229.8598396066951,192.78772203957342,300.09494026042404,-52.12055960478827,-295.4487511960949,999.98632363323,281.8968961532512,102.5450363078515,1149.9667911639508,-229.73307788942236,192.7970223279108,1300.0249723193226,-52.11499189994307,-295.43828268004387,-749.9721559740303,272.93133308149095,99.31479016252251,-900.0205472757348,-199.00440446874939,166.96961322344356,-1049.9393866484468,-34.46076694523761,-195.44803325051367,-299.91135343972974,281.8928813458443,102.58497611236926,0.06417562267285276,-229.828849821406,192.8639859873287,300.1234026291072,-52.095992542070604,-295.46554660644233,999.969038902461,281.9015674431255,102.46385001613162,1149.9503338198208,-229.77588750132864,192.8275997579926,1300.0374665548345,-52.07661695974008,-295.5328270751824,-749.9434676812566,272.97035180317226,99.2435507693964,-899.940094786484,-199.03297007866982,166.98310311196687,-1049.9252985879007,-34.48461459561636,-195.4468849830973,-299.87319546058245,281.83316198920113,102.6385592708515,0.11225314010306278,-229.88544958106473,192.78066509015733,300.13247816501456,-52.106164069911806,-295.3951884525277,750.021886545355,281.96259900078496,102.645625874279,900.0646635045481,-229.75500528412746,192.85168117962235,1050.0163368310314,-51.993780225286834,-295.45187241384093,-750.0204887045379,272.935451343734,99.34640459572167,-899.9737783597363,-199.01631842851629,166.9993788636533,-1050.0525440734195,-34.48802251632353,-195.46301239963046,-300.03150682372956,281.9102177569122,102.60780259890451,-0.04294079021656419,-229.8226077852861,192.83131105009141,300.05668449840243,-52.08919197949508,-295.3564036210802,749.9552056443579,282.0101520698734,102.61345660154542,899.970339975778,-229.74038098554118,192.90113755324714,1049.9667721118267,-52.05970118425055,-295.42922622235574
calibration_00008,-973.0404577960053,-41.05906786399381,458.0123735361324,-1119.306147037491,-515.8295764777906,513.285744215251,-1234.9829749829269,-356.18791074768023,136.3129519175612,-347.920510782868,358.43031372550763,-86.46730358643275,-69.68824562893884,-162.36406390509936,20.219470955465443,247.12001447318045,-5.996858640570809,-464.7807906518689,707.6352105435096,283.66600762996273,224.14101787862091,943.7772888941591,-202.76401007058678,213.27321245752927,956.1318986032312,45.241172342414714,-267.1886873202556,-1000.1094289856541,272.8910453719896,99.45464502144615,-1149.9908142676522,-199.04171125206912,167.10230757240737,-1300.0910664062949,-34.43108255835362,-195.33427599573238,-299.96663702614876,281.90317599941676,102.66781098427083,-0.019688046996155027,-229.75950755777146,192.85750111095712,299.9864027209127,-52.04264889951469,-295.3713003896771,999.9377417844609,281.8339352015031,102.58107207129937,1150.0058108564199,-229.8225307126918,192.7200485896192,1300.0129676723877,-52.10684375345195,-295.52734445101476,-749.9562157531628,272.85965263584654,99.3759407320053,-899.9702291520152,-199.125150496142,167.08161864878429,-1049.9910877919406,-34.51458268975552,-195.45957098931754,-299.9727766448428,281.90520662088596,102.57129158984522,0.0024706877257631293,-229.8393141362306,192.88047456704464,300.0054406101735,-52.060807946314334,-295.4278199596633,999.96138624177,281.8185560207716,102.5823741713346,1150.0200480774547,-229.82652998508738,192.72252748512096,1299.9149687659356,-52.18572261552187,-295.51114101130963,-749.9804626372231,272.83704208508345,99.33934458511803,-900.009122066458,-199.0928458639219,167.04832768528993,-1049.9890454580423,-34.59373054808536,-195.41240080418768,-299.9704449226039,281.867980306319,102.5962930883351,-0.017960264198826983,-229.81269971295498,192.84895675127046,300.0152866406125,-52.08669636312325,-295.41261803267844,750.0119324203479,281.96079547565967,102.61508391124144,900.0167880197073,-229.79889603183952,192.80763891035895,1050.0706555595812,-51.99235755448509,-295.4658556171499,-749.9505671145095,272.97636645070503,99.27274266343024,-900.0327389191738,-199.04886838008198,167.0092002414954,-1049.9358615466945,-34.40070615475548,-195.4556332081036,-299.9338094689047,281.9573268985222,102.50995885812445,0.07391215898116912,-229.73011691111796,192.76864431903581,300.04893696619973,-52.05595172200209,-295.52995670301954,750.0432908220172,281.89267997047705,102.51364527117022,900.0414151439353,-229.82787520652525,192.75693567990731,1050.0248351035655,-51.99110008604293,-295.4866794816305
calibration_00009,-659.9160656190045,257.4189323162496,-4.565341499398414,-767.6756300730564,-229.16323593331083,33.78948264611017,-1025.322239069983,-29.853727024119987,-239.7423893100099,-353.0690538991454,601.514902060154,-351.81487110420017,-91.38087654791097,146.88223013633035,-60.527428633305576,231.13873325780318,108.27150204709658,-564.9726969948756,1338.4675367224852,503.01700759826105,284.4700532105248,1439.764464558724,-21.383611953352027,369.67932903952334,1615.5839539739595,148.78470724164143,-112.6372332630554,-999.96969538572,273.1110215532032,99.3785375232754,-1149.9481574998524,-198.85591135228583,167.0242265483808,-1300.0391894140691,-34.29871775444407,-195.4445271727004,-299.97794931813866,281.8919084366776,102.68872193212148,-0.0009849316967529605,-229.76861704570015,192.83109636721227,300.03138270320477,-51.997068743712454,-295.4155030720418,999.9596387524108,281.87827451985646,102.64475079569029,1149.9457742728669,-229.80115515064267,192.79324240037423,1299.8859270340645,-52.11141717101099,-295.4655088329991,-750.0396908352881,272.88146200460375,99.32341118199206,-899.9626599560017,-199.09716615866145,166.9947431952521,-1049.9554589206728,-34.585251416300736,-195.44857532571402,-300.04319090183066,281.9740057615389,102.61690433809773,0.047660040148291026,-229.77519321847234,192.8688643319939,300.03798882075955,-51.977108363088306,-295.4237193154145,999.9598331304389,281.97984176676096,102.62311120615233,1149.8862060519027,-229.82660055085614,192.85891958518093,1299.945385246534,-52.13901677671075,-295.42804104059826,-750.0183031402202,272.85829712814126,99.35950025082059,-899.9487816301562,-199.10139534641092,167.01035397728086,-1050.0295865364933,-34.56249442106489,-195.39609509247535,-300.05789297481556,281.88998594449595,102.63927595775486,0.05093544613144334,-229.79421390493334,192.86034343064546,300.01920565808683,-51.965705469240376,-295.36027624654974,749.9876098810538,281.91319737081284,102.66863225350427,900.0887342016488,-229.80917937157434,192.9341025018151,1050.0001345098303,-52.05498403042615,-295.3917969959492,-749.9922050818176,272.8528110731953,99.35178781836562,-899.9760497593539,-199.08311984635895,167.08800507644793,-1050.0326030472797,-34.57658250227876,-195.3652100656813,-299.97521111889984,281.9305565040523,102.66213675411807,0.05762553697215042,-229.76811416666575,192.86058154210832,300.0367037887303,-52.060808337792025,-295.3979743872354,750.04148378584,281.8875693697684,102.63735954150557,900.0785844278417,-229.90392672597207,192.8190695548878,1049.9568902293286,-52.17447127925754,-295.39773701487337
