sample_id,s0_A1_x,s0_A1_y,s0_A1_z,s0_A2_x,s0_A2_y,s0_A2_z,s0_A3_x,s0_A3_y,s0_A3_z,s0_B1_x,s0_B1_y,s0_B1_z,s0_B2_x,s0_B2_y,s0_B2_z,s0_B3_x,s0_B3_y,s0_B3_z,s0_C1_x,s0_C1_y,s0_C1_z,s0_C2_x,s0_C2_y,s0_C2_z,s0_C3_x,s0_C3_y,s0_C3_z,s1_A1_x,s1_A1_y,s1_A1_z,s1_A2_x,s1_A2_y,s1_A2_z,s1_A3_x,s1_A3_y,s1_A3_z,s1_B1_x,s1_B1_y,s1_B1_z,s1_B2_x,s1_B2_y,s1_B2_z,s1_B3_x,s1_B3_y,s1_B3_z,s1_C1_x,s1_C1_y,s1_C1_z,s1_C2_x,s1_C2_y,s1_C2_z,s1_C3_x,s1_C3_y,s1_C3_z,s2_A1_x,s2_A1_y,s2_A1_z,s2_A2_x,s2_A2_y,s2_A2_z,s2_A3_x,s2_A3_y,s2_A3_z,s2_B1_x,s2_B1_y,s2_B1_z,s2_B2_x,s2_B2_y,s2_B2_z,s2_B3_x,s2_B3_y,s2_B3_z,s2_C1_x,s2_C1_y,s2_C1_z,s2_C2_x,s2_C2_y,s2_C2_z,s2_C3_x,s2_C3_y,s2_C3_z,s3_A1_x,s3_A1_y,s3_A1_z,s3_A2_x,s3_A2_y,s3_A2_z,s3_A3_x,s3_A3_y,s3_A3_z,s3_B1_x,s3_B1_y,s3_B1_z,s3_B2_x,s3_B2_y,s3_B2_z,s3_B3_x,s3_B3_y,s3_B3_z,s3_C1_x,s3_C1_y,s3_C1_z,s3_C2_x,s3_C2_y,s3_C2_z,s3_C3_x,s3_C3_y,s3_C3_z,s4_A1_x,s4_A1_y,s4_A1_z,s4_A2_x,s4_A2_y,s4_A2_z,s4_A3_x,s4_A3_y,s4_A3_z,s4_B1_x,s4_B1_y,s4_B1_z,s4_B2_x,s4_B2_y,s4_B2_z,s4_B3_x,s4_B3_y,s4_B3_z,s4_C1_x,s4_C1_y,s4_C1_z,s4_C2_x,s4_C2_y,s4_C2_z,s4_C3_x,s4_C3_y,s4_C3_z
train_00000,-1184.020841726973,556.6470910233425,104.5484322232915,-1353.7977867131533,89.95969378604687,161.09745979664714,-1502.7550527738388,272.0865956402149,-193.32008329879028,-284.79994437644115,416.08804582141767,46.300747609534874,-109.39056360357745,-152.22685948543543,-32.762057344962635,269.37217017655445,98.40226775488259,-424.8725601695876,644.659345636179,-44.54354933345471,265.5849968752231,821.8059528092621,-552.0474134444534,205.66728246149952,1041.371116581197,-211.44711560793306,-152.47366866102593,-999.9855838545972,272.96429927257196,99.3008174984642,-1149.9854032326173,-199.00840468403524,166.9347856123945,-1299.9801153728245,-34.395039629084955,-195.48384808634412,-300.044175006936,281.8929106470563,102.60836153958125,-0.03001573315295193,-229.81685329027752,192.85907489056515,299.9914073936701,-52.13872396251505,-295.37878819704827,1000.0383698107981,281.85295294060006,102.69040121966343,1150.002400969357,-229.89247337610985,192.84998052917854,1300.0798667190663,-52.12354050987412,-295.374586434237,-750.0224017127548,272.8839819516888,99.42055375576045,-900.0498296536479,-199.09783444024933,167.15411533837886,-1050.0510783703182,-34.55714142429832,-195.26200153111267,-300.0488079168557,281.86573951355064,102.59003240769724,-0.09305293383442304,-229.8406796063973,192.93377195184593,299.96028509907467,-52.19832848453877,-295.35071351053136,1000.059423224888,281.84329382930554,102.71812913182715,1149.9831858966022,-229.90857383455452,192.80589869505823,1300.0497807536497,-52.12777105871103,-295.40067542956194,-749.9811416427419,272.9357064901427,99.40610750658333,-900.014758395479,-199.02399963389323,167.12659529840042,-1050.089097898099,-34.55607383384567,-195.26920366898938,-300.0167503878332,281.8990119764864,102.59411059327005,-0.04359334390188823,-229.85147812257642,192.8247039014412,299.992204618106,-52.13901784044091,-295.3489382408067,749.9904276256307,281.91297564464867,102.56075270781243,900.030707991476,-229.7972949599951,192.82793564739035,1049.9608378592973,-52.120040020267375,-295.4708937040271,-750.001107184994,272.8803994072081,99.3789964083481,-900.0426447342104,-199.09997551120182,167.02736624718014,-1049.980886221823,-34.541144297021056,-195.35035156651747,-300.00214583870724,281.9560855319315,102.5755442710169,0.005923233030041927,-229.8050859869617,192.87850451302236,300.0320432737797,-52.124769555305505,-295.3524669845938,749.9482939395289,282.0015039048875,102.6761298785041,900.0278594923865,-229.71547404276123,192.95921590798883,1050.0668690806203,-52.01005317826565,-295.36602215025664
train_00001,-803.329043788488,523.8149673301847,126.47740061154092,-1008.2043139176922,68.0565467591014,139.64908519511508,-1105.4207904888178,276.3014922349638,-218.26019472173914,-283.2211090236161,373.99457471502353,-119.11466189908896,53.92387658513762,-89.38186662908129,58.73023118940591,422.5909921367171,111.33341634529796,-369.9910894021111,1311.0217735290853,491.0828802176621,231.55766382306135,1446.4746429558552,-26.009926894063085,149.07919239537722,1448.2383368087633,264.79608054386557,-306.9504534721916,-999.9084346157294,273.0154014668495,99.37896985211354,-1149.9740389423778,-198.99600162087037,166.9231248829692,-1299.9218826457532,-34.36602083171543,-195.44670876318634,-299.9554430142017,281.98903314199504,102.55077573986786,0.056021216666946046,-229.7513056711639,192.8402130913231,300.017340433788,-52.08658776030646,-295.5208636874836,999.9822327992046,281.92739389348935,102.48552417125796,1149.999244831949,-229.72468976100595,192.69655317560282,1300.0469697097662,-51.959519984715776,-295.55268770984105,-750.0078598506287,272.94125908113983,99.2425186068706,-900.0275441340633,-199.00500684114294,166.9480915002789,-1049.9263104174195,-34.45093667594818,-195.48141292578038,-299.97182197459597,282.0004243845804,102.53908584749679,0.016626219163586677,-229.7655199909554,192.8138217325954,299.98987692128367,-52.08741146219506,-295.4569464068106,999.9891407321322,281.9104655322487,102.51427100240318,1150.005576537199,-229.75354242686356,192.72176379120015,1300.0086389234793,-51.91386915364913,-295.5460630522026,-750.0208967370149,272.9487725522353,99.32390009629346,-899.9320224609714,-199.04204030923398,167.00553735806687,-1049.991376467448,-34.442043033616756,-195.4669069152265,-299.9440174127231,281.9556896269715,102.53432940295941,0.015088590637663865,-229.72599422203334,192.9053297603421,300.0399781455396,-52.09220608770847,-295.4741793246977,750.0194448210384,281.8595344584961,102.65753346091722,899.9896310522802,-229.84713090696036,192.8918795256569,1049.931661828084,-52.20590780277547,-295.42613955294854,-750.0220973702648,273.052968142422,99.25781686976131,-900.0137694254516,-199.0073930197943,166.87264201841754,-1050.0564397342357,-34.46445845186847,-195.53798993470807,-300.0436726595624,281.98629838252845,102.53076605235749,-0.0790810515813221,-229.74313300426235,192.83048777160766,299.985874267682,-52.02318386817624,-295.43105444773767,749.982590534717,281.8693672594287,102.78203217939489,899.8119820676726,-229.87552457513738,192.88507366174045,1049.9245149255567,-52.12995501727846,-295.30756191851185
train_00002,-994.00292206865,340.62894216456743,358.8806297876657,-1213.5122525361662,-77.78989727344195,521.8843818390117,-1304.9650826803443,1.8880644755413862,114.1825804159209,-188.99338596835332,-146.796054566699,354.898359687045,221.31886227410007,-583.8557307461296,381.2518639524578,497.7331906690846,-246.05124421398574,-30.521889033894148,700.1472691194292,387.690777079884,59.111741487345675,875.5472917008337,-115.62164616141229,150.5021250490392,1019.3830420244617,69.50417655500402,-336.86987726597164,-1000.0408253083708,272.98957755542466,99.32641047563592,-1149.9973110608132,-199.03574807359456,167.04394364610258,-1299.982071181121,-34.4633422407175,-195.4946405464453,-299.99336356694766,281.9081076475493,102.59184287004967,0.07136174353501987,-229.8704581508418,192.8199061046981,300.0336999608741,-52.02837916284205,-295.4187485486135,999.9587942045971,281.89189653132024,102.56734390835746,1150.0069210303056,-229.83833963882776,192.79634677519132,1300.0054934072293,-52.13575749115553,-295.37996370773135,-750.0517472525337,273.00205575539536,99.38007351152343,-900.0185032712945,-199.02927357861182,167.02269044446268,-1050.0933078056407,-34.333030851049976,-195.3629253377592,-299.93591452628266,281.9164183026794,102.620759237085,0.01796293490120511,-229.79918071635757,192.8347201431254,300.0519459694684,-52.023272561422544,-295.39036596218426,1000.026043437767,281.9212916649156,102.61646773415556,1149.9432968747712,-229.86885438465566,192.7656138739932,1300.0388314690792,-52.05366016212346,-295.41785487705573,-750.0184412497028,272.9892617497731,99.40559465767313,-900.001697380216,-198.99892312258228,166.9700893678228,-1050.0597022193797,-34.40281458383078,-195.3602042806065,-299.96587101152016,281.8575305268627,102.60836601658033,-0.04432118496463311,-229.8197798683308,192.85117262814015,300.08343765671225,-52.07118620616005,-295.39053627553955,749.9618597466416,281.92609819667706,102.54114307216776,900.0436993548833,-229.76276595884772,192.79259502294295,1049.9789697362287,-52.08671070216551,-295.4760136412044,-750.0371499084048,272.93700849934896,99.5066766273348,-900.0425670101172,-198.9995605039229,167.11173483569877,-1050.0975570620456,-34.42704041225843,-195.40315838119304,-299.97042790931357,281.93202882088394,102.64290068593338,0.0021956083379805827,-229.85795138107306,192.82619190400345,300.05691450104655,-52.081059363801394,-295.34338929394636,749.9336069253684,281.9871118800483,102.52812116851283,900.0399485464283,-229.68379152565268,192.83638353958762,1049.9612914468923,-52.03744348350033,-295.5078554973997
train_00003,-1148.2538790775127,431.143022329116,-178.62162315969647,-1312.537488749494,-27.813470711705786,-68.347954343762,-1511.824111807928,135.74421128284197,-406.6933972795315,-418.0571060655888,-111.66447919457546,392.28774730145375,-51.757461339685754,-577.1113953468546,296.5167126780496,170.9618268426774,-217.57570348380932,-129.1238256638926,1338.9360382346972,506.02398594692045,23.275575841642866,1528.5147230997145,1.1771260970395403,63.581033218962,1624.508715123781,221.39972368332656,-420.9766117719308,-1000.0150843077749,272.9733214021982,99.28645544799284,-1150.0272329975292,-199.11144075589095,167.03579751012893,-1300.0360725319035,-34.497001827281075,-195.44545344016052,-300.02342756754865,281.9693593869644,102.66277053388525,-0.017762583547397365,-229.83158218017815,192.8332973753268,299.94657775589536,-52.12080392137156,-295.42098083804507,1000.0386802146294,281.81544239325945,102.61481904436218,1149.9805754662957,-229.81787067488116,192.8539010031599,1299.9597912218655,-52.14969974928526,-295.41887570458306,-749.9634132105608,273.0698390664411,99.39962566661669,-900.0242627475719,-198.97306073918932,167.00714204762318,-1050.0573175710647,-34.3814803378645,-195.4538236771711,-300.0033415705709,281.96100297311887,102.61608803777018,-0.04857167286587903,-229.79039545116865,192.84973134395804,299.9535385095052,-52.077982506057296,-295.4832382179869,1000.0744122811715,281.88077427431,102.60001339062794,1150.005801656065,-229.876442913895,192.8609172353562,1300.0226477988317,-52.14996925723788,-295.4550206861512,-750.0192638382955,272.9914038659644,99.3869282246977,-900.0219894809471,-198.96202071740365,166.93619676061036,-1049.9813233689451,-34.40010983575613,-195.38155975746074,-299.9669374516696,281.9543682721164,102.61146955956762,-0.03958079342856056,-229.8169016665397,192.80703055763107,299.96178115788825,-52.1088142337055,-295.43601390170585,749.9435118712604,281.90137231662453,102.55963903492754,900.0085574787314,-229.84637145847339,192.75410089573464,1049.9374782909695,-52.154998407903165,-295.48154727305575,-750.011906391703,273.0017424866629,99.31758708586453,-900.0170105248015,-198.94635514148743,167.06675594171972,-1049.97864905054,-34.363828287140095,-195.38738529825548,-300.03284500696617,281.91640892140583,102.63899318527436,-0.03001760349871402,-229.7932074211267,192.84099208444024,300.0369599191275,-52.08801438391246,-295.49448049186896,749.9925247167063,281.85310658634563,102.5709038877167,900.0337222508747,-229.7918170235515,192.78878894699878,1049.9496495846417,-52.18087831659207,-295.5080315864031
train_00004,-1113.4874517428775,-44.68082814198652,347.4558874638671,-1298.3251217212587,-508.8558830991853,361.689048367492,-1484.2612890902499,-272.36534480808143,60.92931289414688,-221.76373239812267,546.4325408015048,73.7672240705866,74.2298855845611,46.699856440476104,224.37325196032143,322.9034338829965,121.02013303245391,-316.56066344008667,1028.6892165240718,102.88236948885934,86.93224088583445,1060.8268620185854,-436.98900993441106,82.43559212612168,1130.6844759018343,-220.39190362951803,-408.08954358316396,-999.993200909065,272.91324451378654,99.29514593676734,-1149.9877516322927,-199.10639281583894,166.93347237625878,-1299.9441636176864,-34.51561789293371,-195.4721315635554,-299.9043161413679,281.87410993461765,102.63608091739343,0.06912713666241417,-229.8689428248843,192.84756271648092,300.06203286481673,-52.128482935224284,-295.4559097747154,999.969194617972,282.0158875449621,102.63274078652059,1149.964175319527,-229.70778589053666,192.84495288292004,1299.970158257718,-52.04242476020562,-295.39822338088595,-750.0446335464893,272.96362000897943,99.41051306546113,-900.0246977903472,-199.03565993346038,167.04523655918325,-1049.9911925610645,-34.400104143627026,-195.33568820872364,-299.9466370363829,281.82241012887636,102.58499668892881,0.11972690924703888,-229.90788164990116,192.83826622207246,299.9959834305404,-52.133627638605994,-295.4670559164767,999.9814543880815,281.9591565028972,102.61419785062546,1150.0024005267505,-229.65170520351376,192.8671992966784,1300.014604834996,-51.987064887528945,-295.4299618748149,-750.0463956623811,272.897205228108,99.46184881664122,-900.0316327186729,-199.07058972352297,167.07360336124216,-1050.0446051090914,-34.40429488746471,-195.3081437170799,-299.8951665779845,281.9203564810234,102.6375764160944,0.05811651850146314,-229.82603325164277,192.8153295567093,300.03907817457895,-52.1370430894772,-295.4249324263432,750.048866950427,281.8798076038443,102.59315853734196,899.9491566303044,-229.9061236975809,192.7988023540305,1049.9348071764214,-52.17794746781397,-295.4336376052991,-750.0111956472937,272.91065362686794,99.30108656208247,-899.9538644928863,-199.08371241275822,167.02297686222116,-1049.9711396978057,-34.49768380597661,-195.38088747252246,-299.97007569566705,281.9008151044185,102.61457187561592,0.037701662590233304,-229.7806203322792,192.82198510824855,300.00565690073466,-52.094228786237004,-295.51447382682824,749.9984560638337,281.95809963686565,102.52917824487763,899.9746527252903,-229.7296188339682,192.87322610508184,1049.959527754568,-52.07812448756987,-295.4049514019639
train_00005,-814.6749191578309,57.866321881985805,328.18066414497775,-872.8057203944091,-429.23377649458126,424.0286078952793,-1140.4092057615553,-293.0135745483688,122.85864309132727,-546.2923690213444,198.09174944494308,248.22952220549448,-178.29451809418975,-259.86842527983777,369.9673993013565,63.547587788734916,-107.47831662581537,-157.5289293146956,872.1757197210089,553.5442026949738,-182.4956979004501,1017.0728648836467,36.29920559715951,-119.12352170245029,1186.3391336003592,243.61330185200728,-589.0841064201908,-999.9970467659591,272.9641965860307,99.35445375946266,-1150.026716074975,-199.04213812571422,167.02659082411935,-1299.9988277791283,-34.402410238790786,-195.3788265873402,-299.94306100505224,281.9634812877204,102.71850877668025,-0.0003289247468515992,-229.83932365412244,192.77935620620516,299.9824145670063,-52.09911106444327,-295.56527301999245,999.9903331738118,281.8904156586295,102.68391038593411,1150.0807773560055,-229.79746684079765,192.92811671793382,1299.971812813542,-52.097040790886375,-295.42963756424723,-750.0057927327217,272.9044769979573,99.30108983541288,-899.9359227001942,-199.0614456879511,167.0723682276426,-1049.9662211743218,-34.5238811751417,-195.36107816762123,-299.967078042408,281.92668324784086,102.65401102280484,0.03560530600467527,-229.82085704511846,192.81773207057606,299.9714646363557,-52.05207614337365,-295.52018324544986,1000.036934359138,281.9497558813429,102.74058488048946,1150.0039627688739,-229.86288345075312,192.995067364661,1300.015526145901,-52.11506481007067,-295.3345890130575,-749.9488765801638,272.96102267415,99.36843275400763,-899.9728261580102,-199.0794266703907,167.075823569127,-1050.0042582213655,-34.55175590172319,-195.3973779563066,-299.99849597416215,281.9080799975451,102.59080561003354,0.06932244936800046,-229.85394575431778,192.83372900212055,300.0024781107112,-52.10739025021817,-295.4737007591993,749.9411537188049,281.8429478654731,102.655475127695,900.0758026832204,-229.80649275105648,192.79847754348526,1049.9591434529266,-52.11316152440015,-295.4904756692386,-750.0028529920504,273.0224802546825,99.36880834853358,-899.9509689153616,-198.9192381159906,167.0428824884594,-1050.0092426485087,-34.473327700034424,-195.35416944867538,-299.9613804461578,281.9389590782542,102.6734563465583,-0.028822032949935364,-229.79258137196982,192.83385542061768,299.9350227852514,-52.073742492911975,-295.49088561471984,749.9797734297116,281.8845556285373,102.62540590405501,900.0762290055719,-229.95382088758032,192.8191870507236,1049.9553956882392,-52.12628901850906,-295.5157321337869
train_00006,-812.3581039466474,273.02114155438977,205.91725113865078,-880.136996356688,-202.96039021542475,342.66918444157574,-1034.3365799135402,-125.10122334668233,-46.05876721250757,-19.578944556445993,472.95053405426523,247.28272579678745,255.52299007660034,-52.7432144104682,336.81194627036757,554.3292514640424,104.70186738504857,-159.08096565172508,1192.4351382643274,342.0872215831952,339.38875084640944,1409.5641847223226,-135.80994412127916,469.78166267587875,1448.1077610464097,-27.06672154697206,-58.650338349939986,-1000.0075720702022,272.96520582417537,99.2994007297551,-1150.052344407767,-198.998728137527,166.875078582471,-1299.9863453968646,-34.38314013265779,-195.49115707904238,-300.0627256001296,281.9314881708378,102.63888109695756,-0.03735835914511225,-229.79534595565687,192.86511929172735,299.9359159262872,-52.002694816518336,-295.3838022656023,999.9640468517131,281.93980912233303,102.54730299179292,1149.895903488793,-229.74433740432195,192.84981754082827,1300.0031028019,-52.103801573683256,-295.45626416968133,-749.9605279845424,273.01144038143707,99.32960178947951,-899.9665824304516,-198.99792395309697,166.91865673605645,-1049.910108706097,-34.403937992848476,-195.50057429708275,-300.0381289837421,281.97551400781623,102.62694701375639,-0.006567798453552867,-229.74592294243638,192.86629544941405,299.9449481800853,-52.01825732533038,-295.42577709705074,1000.0287331128262,281.9382382730254,102.55746877257486,1149.940794453998,-229.78976613074826,192.74067961283313,1299.897138397667,-52.112675704180766,-295.4821860967974,-749.9611264546697,272.96238316000716,99.25762621251569,-899.9894787377503,-198.97198091093045,166.90246829592192,-1049.9118900478695,-34.40042152616418,-195.53681778038157,-300.0703464519895,281.9094356653608,102.61721042090001,0.030407966667683035,-229.7747744835598,192.87130792455505,299.97757950957316,-52.01430890411128,-295.44624898543634,749.9955707079372,281.8939729975688,102.62395328408907,900.0097472292404,-229.81146324323808,192.8711295129516,1050.0035478829886,-52.13172425020745,-295.4308686899742,-749.9303592465495,273.0502317979251,99.28280015360482,-899.9294818564916,-199.0234244021987,166.91762526269858,-1049.9144305147108,-34.427156330817354,-195.5493870857849,-299.9992145841659,281.8735489447879,102.59650621894346,0.019038551368683935,-229.78002589089974,192.85027021704676,300.01477484724154,-52.099168356283634,-295.39963780317026,749.9786566661484,281.89769443940594,102.51189908150887,900.0008528662818,-229.8019222896884,192.87625350233677,1050.001195677983,-52.09948096864207,-295.4253163048215
train_00007,-742.1108989836241,270.8648443690308,216.12937900413385,-820.3070065188333,-220.46475071139236,168.46147655133268,-986.8859316336034,-0.41952963098611,-155.2053637480852,-579.4113959692733,260.4738666443589,353.32561560750395,-282.9524593242216,-259.3716570238425,396.3176895033823,-2.54610714134888,-53.279242712377524,-92.34120354503555,838.7987540383621,357.0946535933191,54.5883702833766,1061.4217455358141,-123.0919959264482,165.87192417221507,1229.4821890000283,79.6993861801026,-306.49206515254417,-1000.0568248546828,272.9471806230992,99.43451938075044,-1150.0043431319323,-199.08800785038795,167.04215140852602,-1299.9950385062398,-34.51588697864387,-195.36424536084294,-299.97244492990694,281.918256455064,102.69866915799096,-0.046757948909642584,-229.77727305277983,192.81022059488316,299.90664331056075,-52.08887604281022,-295.520586033947,999.9889133268414,281.892913301145,102.45217307817666,1150.0989466505102,-229.81878123856984,192.8762060861687,1300.0684093161028,-52.08668904714235,-295.47028287743524,-749.9845088425667,272.9708656022157,99.22640861714578,-900.0099422408215,-199.00523243074832,166.95968543461734,-1050.0634898109508,-34.373978786430605,-195.43858471435377,-299.9759713423457,281.9793450840007,102.64668161736469,-0.0717241062739214,-229.74528640956626,192.8700007831514,299.95495808019757,-52.10979368001584,-295.4442367612035,1000.0824045508925,281.9146390416887,102.5290749251602,1150.093508715802,-229.82795114209387,192.83521255849678,1300.067850056664,-52.11621082367499,-295.5072797585121,-749.9167642235678,272.96048825369667,99.22549124633436,-900.0651171976813,-198.95387685177155,166.94622650978502,-1050.0324142384063,-34.43669003456452,-195.43582017325932,-299.9771830130649,281.9563338688926,102.63855087063332,-0.02908598230943558,-229.80137418525513,192.9077498597356,299.9418084804038,-52.075745972776154,-295.46490730492616,749.9498050327403,281.88506853638904,102.57814211194254,899.9186690404356,-229.83937267324848,192.79911769885928,1049.9494706422404,-52.167781252531675,-295.4583284803902,-749.9882270897737,272.8465091449938,99.27198717061644,-900.0120085257225,-199.10724015041416,166.97960766239564,-1050.0284169094905,-34.443082539171634,-195.43796192031957,-300.02474904231167,281.9155283317049,102.6656235355316,-0.019969860337394923,-229.80256058083702,192.81597852469628,299.9705089056252,-52.07932336163892,-295.43297577216913,749.9690128556341,281.9089785743103,102.63464878826076,900.0294576500357,-229.7961499645583,192.8184995534573,1049.9815118888487,-52.091555204181596,-295.41533019108687
train_00008,-1189.716212631646,344.3902445201485,65.21478361495787,-1259.053040830318,-134.90582358321552,188.73479227847244,-1393.6330136682059,-50.86754338638477,-205.9413627117681,-510.3175730068564,459.14417109653044,72.54341937886434,-277.67074237855064,-88.65890850290995,148.89424835474,-46.00565375043191,16.12758579267047,-394.6020276141036,695.4961668960538,236.7479402602031,312.63752221487914,974.1398585652634,-219.58434316888415,393.44803538294804,1163.5325627478821,68.70714285845564,-22.929217861137793,-999.9783268636558,272.9538778257759,99.4315326449766,-1150.0914579967725,-199.00474343364712,167.04728311647915,-1299.9950416233685,-34.41933358212473,-195.40668050774227,-299.95014595242225,281.83698979311583,102.61829697839893,0.07523293044341092,-229.85447749583906,192.9303957778651,299.99029507609305,-52.20824635609625,-295.47065536224875,1000.0482245877149,281.9784941600665,102.65910627274256,1150.0185927276302,-229.8536141430117,192.8242859785326,1300.0147065478586,-52.021364898336216,-295.4742092598507,-750.0257244755376,272.9640890693739,99.30712322051718,-900.0338954593198,-199.0073235119888,166.94443107305156,-1050.0673405407256,-34.520617551356516,-195.449780919443,-299.99586634496654,281.87892684882064,102.65906845596216,0.08274574423625958,-229.84782818442923,192.931657342274,299.9981094774835,-52.202706667095555,-295.4916145570708,1000.0104116075648,281.9063095713797,102.64338247025893,1150.0526638403428,-229.86596583756128,192.8359402934828,1300.0075229798317,-52.09701445274209,-295.4062467574433,-750.0058942373946,272.9837862053223,99.27669131505328,-899.9968181353681,-199.04429524834305,166.89908955539826,-1050.0269166637818,-34.4416188797431,-195.46177068713652,-299.95266304980686,281.8266384550007,102.58467490628311,0.06312482175344426,-229.83985606959493,192.9102865098533,299.9910469752711,-52.15314070324983,-295.4526705001994,749.9877318489796,281.90114579153953,102.64556262347078,899.9361370477702,-229.82332986251117,192.84928748977535,1049.961493691658,-52.1267733437209,-295.44434826745766,-750.0585349625887,272.9730783850759,99.33892279889727,-899.9671899301513,-199.02858255708236,166.97046871258928,-1049.98192971629,-34.424185078767344,-195.42737306222227,-299.97894693154035,281.917009332817,102.65383749920855,0.07888711013362486,-229.77668389998456,192.89142154651864,299.9718357828128,-52.10931252776544,-295.44252871923624,750.037896621564,282.0049508155739,102.70339301685678,899.9621878389326,-229.8263103592458,192.862851893462,1049.9904795930256,-52.02466107551574,-295.37627350067925
train_00009,-911.9240611814772,469.86154906154246,-155.93899633400727,-1059.9025593421125,-0.76630610139797,-75.63035066887436,-1185.9570840714775,143.3928126722167,-455.3622546929727,-461.47703835559423,244.1087922321515,-3.287304763322025,-78.23403833758347,-180.0599628539533,178.7459102737133,188.9325444941154,-57.069274778995606,-344.19491030487893,868.8593652101716,306.80583695162636,360.7054134759388,1049.8987264720706,-187.94076759864203,483.13634730054514,1233.8471744890549,-11.240144843537575,6.252227598799228,-1000.0511172960379,273.0127656179882,99.29723591558287,-1150.0370309870918,-199.02744919756051,166.98022551795071,-1300.1085042488007,-34.45288590546986,-195.43502728463994,-300.042176581913,281.9321517975114,102.59661748652638,-0.0186026032052043,-229.78781408774992,192.835564339702,300.0274201741018,-52.06284733935612,-295.32267082349796,1000.0545286629584,281.933353064591,102.673339615241,1150.0179359340093,-229.75900390055625,192.90423111263914,1299.9232884201576,-52.054209923711724,-295.41422526777563,-749.9237022912907,272.8982537867128,99.23921291194642,-900.0226297994953,-199.01916855301877,166.97330516198537,-1049.9391776096415,-34.45380519012198,-195.51364410321938,-300.03007605617796,281.96235252637877,102.57855758396995,0.038658064314039745,-229.81819604353578,192.87702640033893,300.0351318504192,-52.08560854007011,-295.4084322330577,1000.016245103104,281.9056283608606,102.68208504728564,1150.0461511032238,-229.8158412678964,192.90636209475852,1299.9115730265005,-52.06452905084686,-295.4241755570101,-749.8990252574152,272.98174727481364,99.2865990458352,-900.0079140498875,-199.01933644933905,167.0079910110262,-1049.9323924240741,-34.52665502016411,-195.4932911286079,-300.025443675075,281.8654457660437,102.58102068832271,-0.040075064180667155,-229.80215038865398,192.8532099100859,300.04708348793787,-52.13271258388715,-295.38489201482486,749.9892910954798,281.9013861707466,102.55807131237867,900.0047773855415,-229.88074139022422,192.7756643051283,1049.9862357143807,-52.13823983714139,-295.5062043384259,-750.0785785512719,273.005574473625,99.38771782066559,-900.075563677815,-199.03019493968586,167.00197771976724,-1049.9496581037822,-34.436258218355164,-195.47092123809912,-300.02594190955983,281.982960921979,102.58787455183979,-0.09722418788856396,-229.70822780086652,192.87268663782004,299.9561742762342,-51.99384763640849,-295.33471875218584,749.8784006183962,281.9568094075243,102.5974309397909,899.9397335221059,-229.7585595292676,192.83151901287812,1050.0005813562814,-52.02799839254004,-295.43266970144236
