sample_id,s0_A1_x,s0_A1_y,s0_A1_z,s0_A2_x,s0_A2_y,s0_A2_z,s0_A3_x,s0_A3_y,s0_A3_z,s0_B1_x,s0_B1_y,s0_B1_z,s0_B2_x,s0_B2_y,s0_B2_z,s0_B3_x,s0_B3_y,s0_B3_z,s0_C1_x,s0_C1_y,s0_C1_z,s0_C2_x,s0_C2_y,s0_C2_z,s0_C3_x,s0_C3_y,s0_C3_z,s1_A1_x,s1_A1_y,s1_A1_z,s1_A2_x,s1_A2_y,s1_A2_z,s1_A3_x,s1_A3_y,s1_A3_z,s1_B1_x,s1_B1_y,s1_B1_z,s1_B2_x,s1_B2_y,s1_B2_z,s1_B3_x,s1_B3_y,s1_B3_z,s1_C1_x,s1_C1_y,s1_C1_z,s1_C2_x,s1_C2_y,s1_C2_z,s1_C3_x,s1_C3_y,s1_C3_z,s2_A1_x,s2_A1_y,s2_A1_z,s2_A2_x,s2_A2_y,s2_A2_z,s2_A3_x,s2_A3_y,s2_A3_z,s2_B1_x,s2_B1_y,s2_B1_z,s2_B2_x,s2_B2_y,s2_B2_z,s2_B3_x,s2_B3_y,s2_B3_z,s2_C1_x,s2_C1_y,s2_C1_z,s2_C2_x,s2_C2_y,s2_C2_z,s2_C3_x,s2_C3_y,s2_C3_z,s3_A1_x,s3_A1_y,s3_A1_z,s3_A2_x,s3_A2_y,s3_A2_z,s3_A3_x,s3_A3_y,s3_A3_z,s3_B1_x,s3_B1_y,s3_B1_z,s3_B2_x,s3_B2_y,s3_B2_z,s3_B3_x,s3_B3_y,s3_B3_z,s3_C1_x,s3_C1_y,s3_C1_z,s3_C2_x,s3_C2_y,s3_C2_z,s3_C3_x,s3_C3_y,s3_C3_z,s4_A1_x,s4_A1_y,s4_A1_z,s4_A2_x,s4_A2_y,s4_A2_z,s4_A3_x,s4_A3_y,s4_A3_z,s4_B1_x,s4_B1_y,s4_B1_z,s4_B2_x,s4_B2_y,s4_B2_z,s4_B3_x,s4_B3_y,s4_B3_z,s4_C1_x,s4_C1_y,s4_C1_z,s4_C2_x,s4_C2_y,s4_C2_z,s4_C3_x,s4_C3_y,s4_C3_z
train_00000,-1170.51913680411,197.6970994901715,-26.100318771990985,-1259.5574806740465,-293.34971079552355,2.7314344274177245,-1361.1152380183341,-134.98894956623664,-378.76595420699476,-8.12018066541861,40.67633728257983,169.81872766385186,273.90866558899114,-481.2693519558989,259.23795187478015,572.7516849575416,-318.26721157112775,-234.81986572129426,1383.494560237124,308.9505054387733,328.343062149892,1332.5140990869502,-220.04959138423962,428.45784633597407,1496.9269168945546,-118.91955973533112,-76.79759911923709,-999.9921722009979,272.91646087247466,99.37774857886313,-1150.0694967315176,-199.0567604757502,166.97669318391027,-1300.0090271305226,-34.44402375011694,-195.38557522009495,-300.0251215003135,281.8702318192905,102.61813830076095,0.020430147618211308,-229.85584217068168,192.80316186372036,300.0219702309492,-52.05018296231381,-295.4309299676072,1000.0044729462387,281.900735657178,102.55867663899862,1149.9697626066845,-229.87789517176495,192.77924115703044,1299.971122456003,-52.071046552877036,-295.51225658793555,-750.0043355352716,272.9398324369334,99.35371546600798,-899.8911349679355,-198.99239876722413,166.91091115540536,-1049.9562929997003,-34.4772618239615,-195.51184133184267,-300.07412985729184,281.88852746938016,102.60000835106104,-0.02293116123863786,-229.80300466829542,192.8783893883233,300.0001735425852,-52.08116388718462,-295.4723069118366,999.9973900031749,281.8180736890213,102.52535108864377,1150.0131506536434,-229.83243004536934,192.77162764614232,1300.012654717216,-52.042661798622255,-295.48857810855174,-750.0343943896775,272.9810411912963,99.3012412739553,-899.9866550661237,-199.04922382019808,166.88105059337715,-1049.9822270329223,-34.42461475553125,-195.5467394491102,-300.001020159719,281.9244349513516,102.58285092951519,-0.02014091696239638,-229.7344908197076,192.86736067313154,299.9646192822431,-52.064744096133474,-295.46155547474314,749.8838566181827,282.0145483374902,102.60257237120487,899.9178372335224,-229.7308063403423,192.84731684355384,1049.923783463019,-51.95677974671293,-295.5023574322448,-749.9897351611438,272.965639242127,99.45002805266299,-899.9282359636588,-198.98316170980593,167.07054220750047,-1049.9553412932287,-34.39294463080089,-195.3806142143406,-300.0492146274613,281.8594320979077,102.70463979365755,0.04880275536497668,-229.87369319481334,192.87576955400252,299.955088160798,-52.125206248832924,-295.3544093362934,749.9264735009333,281.9935317201977,102.59755929957446,899.9390448683679,-229.78692897459922,192.82864957629386,1049.9459832107868,-52.125396363580165,-295.4674588829349
train_00001,-768.0626152021977,97.33621605739906,265.02515823602954,-876.9244625038782,-384.21563794856723,342.84223332272705,-963.189355873964,-263.63198631244666,-55.869259867472174,-248.30684789906056,63.7727343983463,-148.11172168612654,167.7694473845074,-364.12572129751794,-86.37702654217597,366.6223184591242,-140.6549117814154,-606.4620484622786,1219.3197203431325,461.5140017792686,-26.689324507117774,1388.716802805581,-26.873353172161416,132.5572349862227,1466.5180974413513,58.30988004063252,-395.92475631258105,-999.9471738666417,272.9458721652782,99.36133123703073,-1149.9656663543697,-199.00878515427695,166.9976227319189,-1299.9284660741384,-34.451475700112184,-195.43809024727565,-299.95082343405943,281.88234552317186,102.63994613373944,0.02033082522688412,-229.895544618029,192.8194588958876,299.9639033816072,-52.08341146948662,-295.39287311790946,999.9761796095326,281.9042028148611,102.62712897107416,1149.986098298224,-229.83360360933548,192.74369893151044,1299.9562606191455,-52.09119894383344,-295.4624674879312,-749.9251168872515,272.8881552122874,99.35824900076645,-899.9900654200711,-199.02589597633866,166.9141406250854,-1049.9787283108064,-34.392775423106784,-195.4811850998788,-300.07302447700465,281.837433148747,102.65837654005826,0.045393198694714254,-229.8833605248113,192.82914874506855,300.02728080409486,-52.0869116209559,-295.40300660863653,999.971867120872,281.8809254098889,102.58153352321789,1149.9590801409338,-229.81090573889986,192.74248041283087,1299.9982528509431,-51.96997850500169,-295.5152506447476,-749.9941381813584,272.92235866084064,99.40955674449714,-900.0318407913122,-199.08045662324503,166.86152702033084,-1049.9547923105615,-34.427827373846895,-195.47364795732162,-300.0255304717128,281.8933913617899,102.62622125835816,-0.003002045456205347,-229.78702025867295,192.86617896698465,299.99339046832347,-52.08619644176468,-295.4086496800235,749.693761355075,281.1481886228929,103.44196854921213,899.7762467519465,-230.5803363877194,193.65018510692224,1049.6835918761928,-52.81549274695379,-294.62856887078186,-749.9801809521693,272.9463302476293,99.3026431294144,-899.8364576297528,-199.1392161197516,167.04545307659058,-1049.9819935182975,-34.5406996198749,-195.36143585721064,-300.0155377622403,282.0608273059843,102.47270993243808,0.23413102271930825,-229.53524100944804,192.60732048230787,299.94075777319387,-51.73657851711558,-295.83812708008753,749.6946228075641,281.66141306580187,102.80167960198379,899.9542181630574,-229.90496091263475,193.02416060761098,1049.6653883321592,-52.222156909875295,-295.38358235892355
train_00002,-1257.8966747753907,321.6530087190601,258.1379562159343,-1391.483519967552,-151.8349856287299,346.4698152883902,-1498.1424951702686,-26.555051058521045,-45.86529718666834,-509.5917093320237,-52.572435032904565,100.59055032941887,-298.1170281782527,-612.2532698071573,54.90990727169662,60.298066636555795,-362.79544751284527,-356.59349943916544,1279.496655307449,87.25912357658191,201.74983456705604,1367.5028026659027,-445.58842729209056,229.8750594463065,1570.7310598788301,-224.68676336350566,-219.99188634003147,-1000.0126846158875,272.9807905191995,99.36407781542842,-1149.9473972972396,-199.07400324927465,167.03790415118084,-1299.9578900896886,-34.4722671830279,-195.41700194235924,-300.0752323112262,281.93074704348766,102.56292954631472,-0.07613400452797604,-229.80811367725457,192.873605934502,299.97841720869206,-52.0777781480409,-295.4083665367337,1000.0150247993149,281.90103924617233,102.59489114292994,1150.0170491379022,-229.8133726139062,192.83185570532288,1299.9998619085727,-52.12454363107672,-295.44363183783724,-750.106905405265,273.0103402074917,99.18186968103305,-900.0510544985798,-199.0035619404595,166.81911166803755,-1050.0337605422328,-34.44427564532005,-195.6128654264381,-300.0915197738893,281.9176089678168,102.64035259292336,-0.07268815276702362,-229.7875960845179,192.84991959892588,300.0083868428127,-52.18644755480823,-295.34738811520606,1000.0034928874096,281.90063413064786,102.66024715536376,1150.0272462252617,-229.76748760099713,192.80630003120186,1299.9807191725536,-52.08563782026089,-295.4754643274527,-750.0324492811734,272.9854145629217,99.20648576810198,-900.0825720166494,-198.96872445215908,166.8785842689004,-1050.0122776657308,-34.43331351132322,-195.62591952450038,-300.0152764378193,281.9121404904171,102.6023124140562,-0.12177408188292031,-229.8277948574362,192.87900483647516,299.95020096459854,-52.13342224101073,-295.41204278149206,749.955200077285,281.848869108337,102.66884468412498,899.9925369224557,-229.78232745205094,192.9298236416706,1050.0581507417703,-52.16811209476193,-295.30830100654777,-750.0568784211981,272.9979599623787,99.33056963327599,-900.0635836342769,-199.07798670564554,166.99643989052197,-1049.9769115884985,-34.49988651649448,-195.48596889744482,-300.02690184110594,281.93346688424737,102.59923540933275,-0.040039098377612985,-229.82671674821128,192.91194945017673,299.9805017889337,-52.08081039700923,-295.40052274472856,749.9656119792065,281.91369653262944,102.59259564715501,900.0244120189144,-229.72332863106348,192.8516540652909,1050.023747299267,-52.098426366986516,-295.3950004838346
train_00003,-921.1399899694698,590.6031104784813,353.00613435437026,-1064.001691989992,117.55438319254893,428.36140044185913,-1220.3423008124769,275.4450179644814,65.64014354667567,-63.075995663315574,138.68622329856439,124.04181854762616,121.8439793960582,-431.63908238467997,102.80012156186477,483.6603754310408,-219.43987109761227,-326.19663366218805,649.7427976752936,386.28816990090274,220.70071003927407,819.5482120244354,-99.05203813269188,388.11597454997184,1020.4759172499357,36.11145777641465,-95.44560221635378,-1000.0430924416947,272.8544891707597,99.460348028922,-1149.9824662715564,-199.21778857914546,166.9903712728261,-1300.064734200704,-34.56137365521283,-195.3040425131526,-299.92246884228734,281.98937787492025,102.50976877563002,0.019680642165303835,-229.7454357113662,192.86250496828413,299.9921086648095,-52.190406488535494,-295.5005191296258,999.9332926156709,281.9814706740248,102.60702370586776,1150.0070383574346,-229.7009980033618,192.71661735131872,1299.9831306003712,-51.96967011391911,-295.5643997570826,-749.891312555249,273.1270476862268,99.23213606446782,-899.9781674390656,-198.77361808656966,167.10780949839182,-1049.9784062490428,-34.35153534931638,-195.42135944175104,-299.91529305256887,281.9092631528638,102.54677718465909,0.011678364388623165,-229.75788387312676,192.83326622327397,300.01482997770853,-52.15381104687407,-295.46264413683787,999.9119067447156,282.0153104853217,102.57940643300695,1150.0096197061473,-229.7377521634089,192.78545397049146,1300.0051621761259,-51.97339775367801,-295.5514154176127,-749.9257867489887,273.1925304425164,99.2105139847828,-899.9975688369437,-198.77722083145287,167.06932986826152,-1049.9315847689566,-34.39065732980817,-195.4730466557948,-300.0058021830021,281.97548380754534,102.54881923305226,-0.03805972824940868,-229.80009968236524,192.8085964003678,300.0341006925304,-52.13586612845847,-295.47448006250175,750.1035875522792,281.92184692427793,102.54308049737539,900.0361173600775,-229.80396530863473,192.91073881677494,1050.1016422795285,-52.20091171572305,-295.3816314673274,-749.9453100290789,273.00023788714634,99.34753666829315,-899.9595171794701,-198.9343653921682,167.11218927049077,-1050.058681221207,-34.4821070722833,-195.3596585518709,-300.00780077444307,281.8213942136994,102.68998250964107,-0.018502345753227716,-229.89127455443085,192.7526836545811,299.9518730615791,-52.037263410909716,-295.44105524335464,750.103042691396,281.9209616752379,102.58359515675201,900.062987669191,-229.80376757624694,192.77496909951847,1050.0210726639334,-52.01501827714553,-295.55807241453425
train_00004,-1204.0296303555122,319.7604565651828,-227.31717207340597,-1380.1666343608956,-141.897708290434,-152.2074581083864,-1524.6463033306777,26.823993918761616,-514.9767555789153,-46.16139742432916,6.382499237932161,-265.76907796463263,285.00279808318015,-478.69491594039357,-143.07708234307438,620.7080321937813,-271.024031660037,-594.8962635011825,1047.7013023653408,-7.71297782296525,-251.21152755629274,1201.4779967192517,-512.3274846251684,-131.86482211788783,1343.5498584748505,-364.48163693045325,-632.230307029627,-999.9985081322785,272.9886593735829,99.29853028241213,-1150.0728691867223,-198.96628242746618,167.06500379279464,-1300.0059069129602,-34.45964712873292,-195.4569197143855,-299.96143401854664,281.9063566684775,102.64267216416896,-0.021647633788898897,-229.77660490419112,192.85763724411086,300.06714943054266,-52.14333379432444,-295.4032521767778,1000.0870852988324,281.8995608139983,102.65399359162046,1150.0359973627997,-229.8126485991732,192.81049710017894,1300.033983007795,-52.12110023814334,-295.4445863282254,-749.988697863469,272.98052333248336,99.37373969696752,-900.0118872604655,-199.05658730959007,166.99425300005376,-1049.9821533176914,-34.39815817727978,-195.40321857229824,-299.97330190963805,281.9184124844397,102.61972002061104,-0.05920369445768704,-229.7599659222796,192.86550221010978,300.0202927364797,-52.15276737744574,-295.4100046742443,999.9951757548822,281.87701986910685,102.63083249273176,1150.037102313591,-229.81989184290327,192.7718000079555,1300.0121028727717,-52.07071021858093,-295.4766307815789,-750.0354760385645,272.9496785803733,99.39465563728746,-900.0091022675148,-199.00647193517221,167.0013826791058,-1049.9760633719357,-34.35932267674107,-195.40993822778776,-299.94116787944284,281.9716412185275,102.58092264231088,-0.016344454792519773,-229.73216495772664,192.8959304744099,300.0507487530642,-52.15429040776528,-295.4321876610432,750.0884743814495,281.8388559450238,102.6512157686075,899.9254674929958,-229.9331127729775,192.93596183687276,1049.9800094909347,-52.309679081621965,-295.3416074152563,-749.5443512966715,272.1848257172693,100.2632136037745,-899.5197202765722,-199.88837138804692,167.81701053123498,-1049.5006497808592,-35.29323780054031,-194.64628927975923,-299.584295886037,281.04942623189413,103.37870007572326,0.48761646766710803,-230.57823617255002,193.58934800887468,300.48324558988077,-52.901478701882,-294.66552831754547,750.4842867471308,281.10486935980447,103.34970902126899,900.4445149375746,-230.60256478816694,193.62744127267524,1050.4329636629168,-52.95903502573644,-294.691912668629
train_00005,-957.2092749327788,129.2635827964709,319.1449690094989,-1020.3008099110157,-354.69694252466473,426.9000814477338,-1250.2241712913685,-235.1707750809146,89.63518940828186,-51.197466430833124,527.0641138991265,109.28377982914719,121.90618109159297,-45.52452915895596,61.501074234923145,491.9121967550444,179.6160993909162,-353.83693121254686,1040.8789889987163,431.7494454178459,244.22726949854206,1226.7198108809287,-68.04955205687537,334.72177869573426,1389.7449601802346,131.63422619362478,-140.7583963697486,-1000.0332744611478,272.9663053408748,99.34576036490486,-1150.043960064031,-198.99444557196534,167.03418709576496,-1299.8930125810798,-34.43997294840372,-195.40750262506606,-299.97801844461947,281.9142406014406,102.5884436591939,-0.001964052017832625,-229.80241027443404,192.8316657354314,299.9676693302402,-52.036763024441534,-295.48209084678143,999.9853709957691,281.8799780330361,102.60581200399396,1150.0212738106204,-229.8653620716959,192.86152026125555,1299.966177680949,-52.23954772238169,-295.4242963801381,-750.033620107329,272.9775494258669,99.32829358543249,-899.9422681325414,-199.02873701446623,166.945975792281,-1050.094444669452,-34.53201777598009,-195.37380539818633,-299.94979428923153,281.89423213338245,102.62860265575935,0.009331291707421339,-229.84553651989603,192.89507914559977,299.97051810455594,-52.07747923025397,-295.4653327931827,1000.0429369193746,281.9121282303566,102.58032051875037,1149.9268514576272,-229.91698236124523,192.86373468345772,1299.9839417289504,-52.166018321864584,-295.3985376040723,-750.0191034411832,272.9383422079988,99.35198699363247,-900.0047971009614,-199.1099714786463,166.95784801943356,-1050.1263744776268,-34.45022342244531,-195.3960053677502,-300.03238616913256,281.9303682244216,102.63555258747279,0.04918462627035168,-229.8336970405552,192.85104464731148,299.94100191949076,-52.091286822585154,-295.4928044695728,749.9754679146731,281.7663689984892,102.61590424984696,900.0208408303411,-229.8949629505132,192.86772148763862,1049.982224664012,-52.168854118752265,-295.43981770048896,-750.0521516092887,273.08875914097797,99.25235517849806,-899.9466146808923,-198.90499706512256,166.98970330504866,-1050.0919572967368,-34.27839387739416,-195.35422162240016,-299.97622744543264,281.9762317961908,102.68847715037009,0.010847387619798692,-229.69774768576312,192.87171367798206,300.00284240645067,-52.02099138189811,-295.48977022276875,749.9697655850819,281.77422128581696,102.59321044143768,900.0050737379112,-229.84621689915707,192.85068701766772,1050.0032677893903,-52.18688743261031,-295.45796395769395
train_00006,-1113.2271398811968,454.63451345374534,300.93222174292,-1276.021024902372,-17.328724043363543,324.8644159847431,-1491.1211380707196,211.11499830770313,37.71716478825936,-332.7308638452913,220.9433644245894,-66.425882908275,-33.555018507668024,-292.264405583413,17.169436728546746,273.7219706674862,-103.61434949797626,-462.3856861661984,926.303276149074,-42.14989753584146,472.3966571967907,1112.1789868760463,-550.0674776170563,472.8246190339668,1294.6933419826294,-262.08520066263515,52.973422793988966,-999.9422278060036,272.9820244460948,99.35288782846372,-1149.9775104000014,-199.01325840789494,167.0122434215311,-1299.9432222532253,-34.48378865063339,-195.3566429385102,-299.96898070601827,281.8972441360356,102.60186741551394,0.007028609548385403,-229.83551556508783,192.79285681259498,300.00663084410087,-52.05922193523286,-295.4670217115331,1000.0770854816909,281.92190291735636,102.59181969722741,1150.0077492952698,-229.79833568084024,192.77757983667192,1300.052942828462,-52.11134937762167,-295.4580679116988,-749.9692706084717,272.9730380648829,99.3834724304581,-899.9677649908009,-199.01960245641382,166.8994853040852,-1049.9296401262088,-34.3913937850743,-195.4499463236989,-299.98265139009015,281.94359285273924,102.65248282777756,0.03673981265674479,-229.81919810980003,192.75845009530562,299.9869108371805,-52.07539499809485,-295.4253836363707,1000.0807162610055,281.92304780213186,102.55503150160628,1150.0611741623886,-229.82454242416568,192.87698204933324,1300.060869584779,-52.13292537119933,-295.41714555942326,-750.0314656499372,272.9583837551149,99.34180239429273,-900.0024915168202,-199.034948532429,166.91528586989645,-1049.91469328199,-34.36094123016069,-195.4956951663257,-299.968470124765,281.9215819678506,102.61393833522737,0.013101471836791612,-229.78367637815242,192.73603365103858,299.99127633972205,-52.04608111309584,-295.48166395460606,749.9682706781389,281.98165461264796,102.62269998123604,899.9788585364253,-229.8294288132892,192.8339612593318,1049.9474165146366,-51.993222519220126,-295.4369565106779,-749.9398732279225,272.94552155014287,99.39313609157823,-899.9972362849417,-199.04162591512352,166.9950559495786,-1049.9297332409576,-34.435344364416146,-195.38738969268556,-299.9456472691237,281.847087102721,102.59356572813327,0.013857788557693852,-229.8577151859342,192.8158356052508,299.97147323476275,-52.19556527948936,-295.53032992427404,749.9900509649219,281.8358019904841,102.59081305384558,899.98242459083,-229.84862563553637,192.8114478817699,1050.0180425819917,-52.12444072270085,-295.4883610368873
train_00007,-1105.8154405749235,615.5512461606429,256.5085266830388,-1253.482733102374,141.71951442168483,315.5156620985074,-1418.2494807126782,317.4590206086891,-35.043179491826756,-247.2631040863855,352.71918797292483,305.61002582984725,44.52906253785184,-160.81001827084162,410.99292271615246,349.3197638276926,-0.7559800174664939,-80.40061114271853,747.4898737804002,280.2231838230542,-108.55676270381353,981.0583970010437,-200.2688574539421,-24.68746009175753,1219.8023179276615,80.761933592805,-420.28000633181887,-999.9374091683457,272.9353728535269,99.33829255928326,-1149.9806100222627,-199.08008054482653,167.0452532781576,-1299.9105130901053,-34.47243973472581,-195.4036593077824,-299.97559285866845,281.86039340257855,102.61460509068796,0.038870193110451826,-229.8751033615635,192.8739608210182,299.97173104537643,-52.046163825358526,-295.4123147432969,999.9396298046071,281.9744234670383,102.55161336083357,1149.9982241074986,-229.8655912405495,192.85444485410162,1300.0031150779203,-52.05036613741235,-295.4255703720467,-749.9779194291374,272.91110283129996,99.4234053272067,-899.9687820987649,-199.066171990395,167.05120221414387,-1049.9980497132858,-34.432791409133195,-195.32349575771457,-300.0091435636371,281.87796780658505,102.62021880891544,0.02185520990376639,-229.83641526522118,192.84305515837124,300.05818493079215,-52.07243464917575,-295.40798664157103,999.9080780259229,281.8931836314875,102.61190003195577,1150.0031944026305,-229.846565959322,192.88424457932763,1299.994237879392,-52.063140208935124,-295.4392486537159,-749.9982342528964,272.90969522002496,99.35008084361283,-900.0238980349361,-199.06534397596684,167.0762584431513,-1050.0321651169897,-34.508181515191346,-195.37766392594187,-299.96867114553163,281.86490074372585,102.62743691109313,0.011224550388056219,-229.86747606226749,192.84041595299212,300.0139787938827,-52.112505651499525,-295.42521906550206,750.0624304769735,281.9944829857218,102.62351217078924,900.0548737971992,-229.7160808530573,192.88310865859944,1050.061520887126,-51.94752468555639,-295.40815639105966,-749.9721638722477,272.9829760979327,99.24818411052966,-900.0050952727867,-199.06575426963818,167.0145544582273,-1050.043512704854,-34.494298445502736,-195.41098698471117,-300.0153902025162,281.8531421632145,102.57753884578203,0.013052703205626943,-229.8816314706021,192.79813071250868,300.05773782141716,-52.14720069638833,-295.47341886628067,750.0359162812967,282.022007594262,102.6895502723669,899.9777565010027,-229.7564355156664,192.9464458579589,1050.049952685068,-52.0307999617466,-295.311490128271
train_00008,-1151.751027541977,152.34377791893294,14.702669590391784,-1324.2649827440378,-314.88110804978436,56.57755722348379,-1443.8955329591117,-132.87553127172242,-308.7093618222412,-538.3737485370294,154.40029303365648,83.57647169714852,-151.77219346740677,-255.818697654154,289.2857423732268,154.96035085747585,-104.09837832383799,-203.5632206767016,1365.9574165599465,185.82245082267818,230.49253368224657,1433.3921106642263,-344.9457868239414,309.4627135672319,1607.8458284242645,-183.06026278870323,-176.24488089530487,-1000.0315502175007,273.0781907351453,99.41147182832898,-1149.9560242980826,-199.01640966197266,167.01422084897706,-1300.0216535298903,-34.4663159625373,-195.3608692900218,-300.0774096195239,281.8626799057729,102.63760264543546,-0.029057311313771414,-229.79671977503597,192.87761359980772,299.97484300962674,-52.10842756102135,-295.40007276946784,1000.0208247120452,281.8496034159932,102.5902413110478,1149.9631065960316,-229.88924284203992,192.72415623644557,1299.970673358513,-52.181262920898654,-295.5295550676221,-750.0015532243578,272.90506937722535,99.42824095043285,-900.0471769247257,-199.06839085712576,167.09713747785804,-1050.003685858973,-34.534351711790855,-195.3834233702631,-300.09116998008716,281.86221258747014,102.60544168737304,-0.07763697867348698,-229.83079315830375,192.7709774915175,300.0266139955797,-52.10086664811069,-295.4472817349742,999.9796008659393,281.7536239060227,102.54758572071192,1149.9190225626776,-229.94532564270278,192.6882434829483,1299.9240930405263,-52.18020150259408,-295.5390957098204,-750.0544341465959,272.8468801351502,99.41910808231935,-900.0440952194635,-199.10111078945184,167.13250214605657,-1050.053228679002,-34.6120462639158,-195.3574580996266,-300.02765220608075,281.89761543685955,102.62095272435049,-0.08679131973365731,-229.82713479934904,192.80462975092607,300.0519459758097,-52.072300865411705,-295.39208534436057,750.0202817532553,281.9307376594266,102.77168200123616,899.9555768200308,-229.8334345270964,192.97934427299822,1050.052995968776,-52.070912264237165,-295.2545097711603,-750.0242334706655,272.96118991777416,99.42053173460793,-900.0432236925546,-199.03094085507323,167.12108972100077,-1050.0589000574062,-34.551013860961206,-195.38279517307168,-300.0009591591074,281.9336720367274,102.5233320531373,-0.02728608326158282,-229.82968948249044,192.78543321784738,299.89471364074745,-52.03373088838192,-295.4717943121741,750.009354921138,281.98558548020475,102.69349996575181,899.960196049847,-229.79671346298633,192.80485735332255,1050.0007536119,-52.00695129439769,-295.43484165317653
train_00009,-1183.0373664099475,228.39572217643195,-199.46856397720646,-1322.836983701105,-248.23368576638524,-143.33362054801793,-1480.729509447029,-76.55840388388249,-498.98926635665475,-376.8494289291187,170.44978517249584,248.8094673945329,50.131127239956065,-247.9226990189283,299.98308466733874,328.96385118734315,94.54140771830163,-106.20389350492756,1039.4443043438537,567.6930468589289,379.57041108986743,1290.4552197242901,106.40937610669025,508.98997065524685,1421.356101785052,282.9275358798854,14.861393914383362,-999.9750469444447,272.8905997408449,99.36959516737026,-1149.9393621201878,-199.05457171046132,167.08249261772235,-1300.0081494129893,-34.49415312628474,-195.395410079673,-300.02694500608015,281.91154357013784,102.61468471440612,0.012453996452248789,-229.83692626382663,192.79697835151956,299.95879536161334,-52.122335347521584,-295.52770538058314,1000.0647249781224,281.9006728256766,102.72042159944576,1150.0208373648059,-229.83027794219916,192.94134895155437,1300.0261357004006,-52.13232793520394,-295.33956003097035,-750.0579711047012,273.0176106275791,99.2910332104992,-899.9708832830743,-198.97017484647077,167.01947389899993,-1050.0246654774444,-34.469542128079794,-195.34912522253956,-299.99270531514634,281.9372004104217,102.62200659786768,-0.05150281706108975,-229.77028306405975,192.77823971024307,299.9548901317189,-52.12983422942274,-295.45287855172467,1000.0453696245439,281.86816235610587,102.68480255708288,1149.9850762052074,-229.83087331853366,192.84931298393636,1299.9867395157682,-52.13231310374121,-295.3368599561205,-750.0212311067398,272.98537779586815,99.3724415714882,-900.0344898927972,-198.9916315946483,167.05231851183476,-1050.0027158359742,-34.44254691386224,-195.42236203202856,-300.04790675422663,281.8723611869892,102.5792019485649,-0.06017740976462996,-229.79318666306204,192.77746195136754,299.9712638646419,-52.08535687527007,-295.4711308565149,750.0529613978863,281.7986609317234,102.55538142157133,899.9031627137826,-229.9386942136556,192.80938085705316,1049.9591173553638,-52.215410517381535,-295.54949229410965,-749.9856896433863,272.9947791718293,99.36492642318348,-899.9588892388972,-198.94578439473935,166.9483811651395,-1049.9364832846024,-34.427965793476865,-195.45478828722435,-300.0068704290245,281.9566216451208,102.63451298205388,0.09675649296439437,-229.74379682122262,192.8498643916564,299.9851146279209,-52.06255050657942,-295.4436409697495,750.0761469691765,281.92133940398827,102.61968195661089,899.9743035396237,-229.83226503866953,192.90237901247622,1050.048199370405,-52.14192682730769,-295.4728064513371
