sample_id,s0_A1_x,s0_A1_y,s0_A1_z,s0_A2_x,s0_A2_y,s0_A2_z,s0_A3_x,s0_A3_y,s0_A3_z,s0_B1_x,s0_B1_y,s0_B1_z,s0_B2_x,s0_B2_y,s0_B2_z,s0_B3_x,s0_B3_y,s0_B3_z,s0_C1_x,s0_C1_y,s0_C1_z,s0_C2_x,s0_C2_y,s0_C2_z,s0_C3_x,s0_C3_y,s0_C3_z,s1_A1_x,s1_A1_y,s1_A1_z,s1_A2_x,s1_A2_y,s1_A2_z,s1_A3_x,s1_A3_y,s1_A3_z,s1_B1_x,s1_B1_y,s1_B1_z,s1_B2_x,s1_B2_y,s1_B2_z,s1_B3_x,s1_B3_y,s1_B3_z,s1_C1_x,s1_C1_y,s1_C1_z,s1_C2_x,s1_C2_y,s1_C2_z,s1_C3_x,s1_C3_y,s1_C3_z,s2_A1_x,s2_A1_y,s2_A1_z,s2_A2_x,s2_A2_y,s2_A2_z,s2_A3_x,s2_A3_y,s2_A3_z,s2_B1_x,s2_B1_y,s2_B1_z,s2_B2_x,s2_B2_y,s2_B2_z,s2_B3_x,s2_B3_y,s2_B3_z,s2_C1_x,s2_C1_y,s2_C1_z,s2_C2_x,s2_C2_y,s2_C2_z,s2_C3_x,s2_C3_y,s2_C3_z,s3_A1_x,s3_A1_y,s3_A1_z,s3_A2_x,s3_A2_y,s3_A2_z,s3_A3_x,s3_A3_y,s3_A3_z,s3_B1_x,s3_B1_y,s3_B1_z,s3_B2_x,s3_B2_y,s3_B2_z,s3_B3_x,s3_B3_y,s3_B3_z,s3_C1_x,s3_C1_y,s3_C1_z,s3_C2_x,s3_C2_y,s3_C2_z,s3_C3_x,s3_C3_y,s3_C3_z,s4_A1_x,s4_A1_y,s4_A1_z,s4_A2_x,s4_A2_y,s4_A2_z,s4_A3_x,s4_A3_y,s4_A3_z,s4_B1_x,s4_B1_y,s4_B1_z,s4_B2_x,s4_B2_y,s4_B2_z,s4_B3_x,s4_B3_y,s4_B3_z,s4_C1_x,s4_C1_y,s4_C1_z,s4_C2_x,s4_C2_y,s4_C2_z,s4_C3_x,s4_C3_y,s4_C3_z
calibration_00000,-962.9763037412496,292.4257825687056,33.01948919730778,-1099.317967897813,-186.66712617591602,-8.729208742997798,-1226.368753579305,44.90708416769942,-342.16791524792063,22.47592491158455,118.3092891477022,163.90756777437,310.2058273579679,-401.65140762459885,246.35818387197142,623.6856492747393,-217.38153722908237,-230.85610581105217,1001.6833136293031,145.02353939451012,175.40727795732496,989.1598438247138,-384.5500968578793,284.2849794656081,1206.3671337931908,-276.64715584172967,-199.12856900165335,-1000.0139047685283,272.8750722957102,99.38658257781975,-1149.942698248857,-199.06567831149667,167.0574267641798,-1299.9008899021528,-34.520538479601555,-195.33667378524933,-299.98812169940203,281.8560275324696,102.65686870073881,0.036271629302573785,-229.78481895410775,192.85399997489276,299.9786636840752,-52.1265033128319,-295.4386874030659,999.9823510413491,281.90028808778396,102.62311807157403,1149.927866353588,-229.80456819517792,192.83558044243986,1299.9622401860067,-52.076930895075336,-295.5376327527349,-749.9956822111373,272.8898635610781,99.50954088108311,-899.9790346475896,-199.10875131791687,167.11152579580178,-1050.0406758169672,-34.449813446161976,-195.21533900532228,-300.027770984416,281.8334931589644,102.62277577054013,0.027288337107717636,-229.81923073369555,192.8203510193083,299.9925204246449,-52.11825421503077,-295.4569915806066,999.9414585720701,281.8994093443271,102.62950761884107,1149.9326025114044,-229.80482433223324,192.78555476015586,1299.8684564488515,-52.106625413732665,-295.4494655389743,-749.9306036422851,272.94267920866713,99.47175206391505,-899.9732242858513,-199.0257802590291,167.1073252414718,-1050.0468097891944,-34.547620021205816,-195.23561265131084,-300.00095830635127,281.8658635326361,102.53208397539194,0.021118209545493594,-229.8394625655047,192.80016703865132,299.9909925368544,-52.106019254394404,-295.4517788073919,749.999831527384,281.9934387772774,102.52397517957708,900.1130333263377,-229.74842849648527,192.8728433237591,1050.0640475240618,-52.05166065423321,-295.4007748617287,-750.0736826047264,272.9353144792323,99.41190050735612,-900.0801130877214,-199.07846414134463,166.98602812285068,-1050.062946713783,-34.46539718073746,-195.38542213092583,-299.99519338781784,281.8302111533626,102.56967950869799,-0.04742724225268169,-229.838742274704,192.81591141090067,299.9797067828886,-52.106634761161935,-295.5017041928,749.9798295753218,281.8473274776721,102.6034601425157,900.0094736694251,-229.87021854627352,192.8843568194778,1050.0879625613284,-52.069799770742634,-295.35580494039186
calibration_00001,-1188.4899574450278,138.61826023000353,-102.79399525012977,-1375.5429830929083,-312.2439086319118,4.574778456147699,-1489.4794513271925,-180.74791728412677,-383.5609196401413,-179.53566372707095,128.87523903501886,-37.41294373878994,122.41181770227749,-381.6524166087821,52.87062724855579,419.940122748507,-204.33292308024016,-437.13022900698445,1249.262061940781,465.7424908103538,61.742093172581676,1398.598015934621,-49.8287694384298,128.3936349207849,1600.607366706568,168.45208650110314,-323.3200931873599,-1000.0515941695202,272.91080751217464,99.31550224081332,-1150.0392386184312,-198.98081398457506,166.88235194640458,-1299.957986213006,-34.34956142208336,-195.52386349975788,-299.95262070349577,281.9484589364791,102.61971533778858,0.0029951256400575638,-229.87997814743386,192.8275243029502,299.99334623549754,-52.07650079774816,-295.42182392331085,1000.063022043269,281.9208373852336,102.5757082429487,1149.9880195253124,-229.87090456707605,192.814609951318,1300.0311259899086,-52.13257362958403,-295.499640881696,-749.918560715692,273.10663750651605,99.35151613537366,-899.9717416171374,-198.8806400640828,166.92009399548942,-1049.9948907817934,-34.288936385557875,-195.38545565058558,-299.9633630410309,281.94668932347366,102.67978198465607,-0.050423013438194116,-229.8643805410023,192.83045919380965,300.0217053040796,-52.05164387591148,-295.4416842937431,1000.0550466818739,281.8542291262778,102.65283865296176,1149.9825244275582,-229.83066322040318,192.82569632279913,1299.9813558823303,-52.2029594704603,-295.4595756231765,-749.9494574403283,273.02940043727,99.3763032086966,-900.0169132549377,-198.9159710108712,167.0324743173278,-1050.043562380896,-34.29986030064851,-195.34662836773583,-299.93475235993674,281.98096646439683,102.70601332535418,-0.04520683313091645,-229.82861477871484,192.83827006945629,299.97572191009976,-52.1007455015699,-295.34500051377677,750.0076957886034,281.9424884311374,102.67896981373174,899.9549538428403,-229.89943362448557,192.76841364755407,1050.0296858154688,-51.98786254706072,-295.4062359720014,-750.046681338398,273.0333185153616,99.28728234932153,-900.0746697843114,-199.00665831046152,166.97533631675998,-1050.0246230308796,-34.33698187592687,-195.4883285756696,-300.0677109036371,281.92830807975736,102.57029555552542,-0.09530960294615086,-229.8081407988706,192.79516543522124,299.9701989328909,-52.19308486330627,-295.42258636137734,749.9093883272226,281.87615485953677,102.60277820735293,899.9593573540382,-229.81630575046245,192.88039603335721,1050.003440880511,-52.03479969137919,-295.410772344635
calibration_00002,-1331.4804440013227,135.46428231295388,-93.3431376919554,-1296.5836939413866,-350.52452148920565,18.495906472025467,-1519.2309990617464,-284.55436459151383,-337.9160284853932,-189.64308953298516,287.8588208075572,18.328640732572282,-3.8063713200715075,-277.5548335697974,94.38911827907177,348.9446664852539,-144.83506994715862,-372.5101890439665,1308.2199730455666,497.9940883919735,-247.21830839522565,1376.6768235146935,-12.554273057724176,-82.33478487931329,1685.5168304105232,111.5669790203611,-508.64313799457443,-1000.0503560236165,272.93579897805665,99.31390157032898,-1150.0241239385523,-198.94454543096865,167.03161039780213,-1299.9870684109992,-34.43809184210922,-195.43414435327944,-300.01508198858676,281.8905158282863,102.53138530080341,-0.025648881031033893,-229.78909668649337,192.88109606246383,300.0141448651155,-52.09471758707302,-295.473388533352,1000.0372240816852,281.83827051951505,102.60437279994399,1149.9625793406726,-229.83958909868213,192.89760930239564,1300.0764253467487,-52.127069505125874,-295.37225154186365,-750.0580926393533,272.86694595307506,99.24253628744522,-900.0637136111277,-199.09993779369347,166.89777026482744,-1050.020065271316,-34.641349359208654,-195.4762397975456,-299.9768296259739,281.87756796307673,102.56750549359269,0.01381175399387396,-229.80642552388636,192.9294989684359,299.97907659630783,-52.09934315431218,-295.4289471598067,1000.0070973566382,281.8914238209718,102.63248407957472,1149.9722545730956,-229.87627892419374,192.9284418008465,1300.0329605624388,-52.13505009705715,-295.38009576738085,-750.0511208924178,272.8555401835156,99.241550485593,-899.9990560377449,-199.16056610634885,166.8931429511465,-1050.0070141354358,-34.58752961673069,-195.47483244724305,-300.0089227044113,281.9100673893806,102.6305776405213,-0.02035914324615994,-229.83979556267326,192.87708035707317,300.00175560031204,-52.163736105377964,-295.3997337722045,749.9365439128453,281.9520919389123,102.60530142897206,900.0573610584794,-229.69706857079174,192.86047740749305,1050.0158778524503,-52.014880217781226,-295.459420810596,-750.0374651776133,272.95645126152135,99.34948186206978,-899.9787604592684,-199.04009328473776,166.97394542713786,-1050.0391678971414,-34.46286878936871,-195.40795180601785,-299.9888780453266,281.94862376430564,102.63438420957291,-0.03256360912352384,-229.78670392304556,192.86012815135967,299.9816116341171,-52.131537344322645,-295.4280714157626,750.0156627746635,281.880433536225,102.58129825518594,900.0080131780267,-229.87014195802092,192.7983645097112,1049.9991089527307,-52.187706737629156,-295.46759217070803
calibration_00003,-775.3973618303592,-70.79714509108972,176.34117829648233,-915.4067201037822,-548.4012567958797,222.79204686379347,-1050.7025542604158,-377.3546794981963,-142.4583444730811,-279.2962076695205,196.35361812115957,400.4389313443813,5.697898080606652,-324.50936166608665,487.08796662330434,311.11904179875984,-151.98111951761192,0.2817421732713229,932.8611292116844,24.87578204052578,303.8617404319624,1169.20997264557,-460.3699386628086,270.76400988159423,1227.282043980558,-169.42688957095604,-181.48582842353963,-1000.0054934828695,272.8973968169284,99.36013284041326,-1149.9842795189086,-199.05443693834383,167.09461190941786,-1300.0252048773123,-34.561519989577036,-195.3781258096407,-300.0332102515621,281.88967151873885,102.59089817785387,0.006930894523429879,-229.7873490732734,192.9145117095189,300.0260891138521,-52.140858814822316,-295.4222935063608,999.9771171147104,281.9149271409128,102.6335456853187,1149.9735069617293,-229.79929751034675,192.851999373848,1300.0279438588425,-52.107421300760954,-295.41481855044447,-750.0557724948955,272.87477209707134,99.32670307963811,-900.1257577549235,-199.0970274164911,167.02796808123438,-1050.037801154454,-34.60659807083556,-195.40715561874313,-300.0274901885187,281.83974050897416,102.62572150234507,0.044226707436293436,-229.78400312087672,192.86873372255877,300.01608910240304,-52.06292676749376,-295.3835936544911,999.9684026070172,281.91498933172113,102.60818579359542,1149.938779044322,-229.81824702391813,192.8189903256229,1299.9838589386234,-52.059481455156515,-295.3720222483335,-750.1319697329884,272.826535592525,99.39866728247608,-900.1329757830206,-199.04055992876374,167.0493202125439,-1050.065496991717,-34.5550467348217,-195.42200300704155,-300.0486333334898,281.87138874698104,102.59016385063275,0.03218531819381116,-229.8317837430398,192.8609407496363,300.0148708290523,-52.11054753070526,-295.42999227924406,749.9760335385939,282.0396635145735,102.57691917297603,900.0030993170814,-229.70120056457836,192.90370006062426,1050.0487209684318,-51.980523207484985,-295.3785060136797,-750.0706271338776,272.89185001524027,99.39378556057186,-900.0858335851498,-199.00493011097518,166.95295204726517,-1050.06245580732,-34.44527310614549,-195.50464873494863,-299.92184594992005,281.9369157694706,102.568093077795,-0.013513817838742339,-229.8826068146037,192.77063076932382,300.0103644036057,-52.11541354702689,-295.46904726862476,750.0323670276065,281.89855059424144,102.58588694425602,900.0043696233272,-229.82205165751114,192.81569711309595,1050.043811077859,-52.09638051875536,-295.47566367891505
calibration_00004,-682.0608296449772,459.448091552716,226.8494558256491,-882.4374329097369,5.079533984953285,283.62459165592503,-975.740469856934,174.19840798879375,-95.2791081904921,4.455106620585024,418.83537013446085,-228.70921430020937,129.38299163896355,-143.5399205061524,-61.04714319233069,518.0916526982392,-113.20502794605994,-517.1019276328504,741.0050654423145,354.09219118811757,142.07772272061308,773.2534306691413,-146.94149714547743,343.065533217925,913.2558102243842,-122.75780197437697,-178.80351078481266,-1000.0267624008326,273.04980194511165,99.35916379110185,-1149.9643051700646,-198.93846252763237,167.0585870234555,-1299.9292480797637,-34.44309012006374,-195.34919327961893,-300.07718584904734,281.89097388411165,102.51620611790258,0.06902693054042319,-229.77716717691908,192.86198258423482,300.03758814855695,-52.13829061538179,-295.46760307598197,999.9420980538484,281.9451462042032,102.62659542054143,1149.899794472063,-229.78875880622957,192.84828679369835,1299.9870585835868,-52.14547566660168,-295.34754969132143,-749.9086448612213,272.72994555001907,99.18219328702693,-899.8966374408259,-199.259968872265,166.98220116398042,-1049.9373700118397,-34.745355342620826,-195.4704334314932,-300.0888621166205,281.8325385993401,102.50973955390226,0.0673916226504651,-229.74969449786929,192.87292126889437,299.9715849504556,-52.12463223874924,-295.4994328922031,1000.0331824368689,281.95270439785634,102.6863586337745,1149.9467837778764,-229.7969042407831,192.88244682138088,1299.9988575322404,-52.04968992114272,-295.3667273840818,-749.9304187198934,272.709126726663,99.21058077646042,-899.9489025700235,-199.19852006025795,166.96969400936877,-1049.9029637037306,-34.76126291105736,-195.5183520046436,-300.07473540436024,281.97565008153737,102.545161348294,0.031025439480075388,-229.7641175408984,192.86740633876445,300.01424077526906,-52.170153851374415,-295.4232082719648,749.9279958238184,282.1440789766489,102.28935324988707,900.0408404657904,-229.42367571374223,192.8030129740161,1049.9394635442668,-51.883497467901094,-295.65556229519586,-749.8647653306832,272.96764617101155,99.38884022608846,-899.9459963346007,-199.00902168935332,166.94510858972538,-1049.9582577683823,-34.36138170140439,-195.40100310330405,-299.99216942367696,281.92631559990383,102.72456728853888,-0.09058639023870443,-229.81743598632622,192.88397842649235,299.95713097033723,-52.07854029038544,-295.3850903652835,750.0011161073024,281.92762808756527,102.54231404683104,899.9483974001942,-229.84616547990953,192.87515417724686,1050.0186018970394,-52.114722555123386,-295.4600388813966
calibration_00005,-931.6600370924674,52.94110520326701,-111.46962369718214,-1038.6742790384153,-427.366382376127,-199.22144876673082,-1139.4346632942745,-178.63070814270077,-529.315352875842,-313.84173750886856,-77.72471924511751,-22.25939263712969,86.16850286470138,-475.8223900242128,181.56691310941778,379.75655346263704,-324.1700159247735,-319.2720807860802,745.2954308719993,580.9703402930637,-42.16391319223761,845.8212047829182,50.169921344098164,-18.823054779657827,1042.9412707628164,279.6602791851029,-467.0698043395681,-999.9165933890081,273.02939206194566,99.35988774545751,-1149.9331353657649,-198.9057775880053,167.02821377165452,-1299.9738500520452,-34.344873256820115,-195.37417256198142,-299.974078318091,281.9545283263796,102.64827908764308,0.020524328039893503,-229.76105542713879,192.87202804475984,300.0937937597461,-52.070298103183305,-295.4479124853535,1000.0155494963545,281.8501221672884,102.62744954687072,1149.8948470407815,-229.91025475002616,192.80365363824382,1299.9216276105662,-52.183639913390536,-295.42244700284664,-749.9707888522914,273.011309310856,99.39322966077823,-899.9795203591011,-198.9758134312893,167.03336510146534,-1049.9681951214388,-34.35174150231713,-195.39067225737116,-300.0329693631763,281.8752162329748,102.6244037337713,0.04483372197410938,-229.7726582188865,192.88800726728988,300.04285296985483,-52.04066056637602,-295.3843668566309,1000.0080489776443,281.8817918302432,102.66349334930375,1149.927912732097,-229.87338266381153,192.7972260871362,1299.9837983565583,-52.114204444515366,-295.41673467688145,-749.9689764968014,273.01485080239013,99.33353453893916,-900.017265252178,-198.94194192429669,167.02911075016496,-1049.9860776446105,-34.37312154598654,-195.38902432767557,-299.9184780090952,281.9610907785023,102.7045437550148,0.016518637717326506,-229.7501242338967,192.89774160817908,299.9812609438813,-52.06117947993895,-295.3886638714623,749.9669092247924,282.04597729638846,102.68214405772797,900.0119306330763,-229.69466182708118,193.02437688282782,1050.0543180932561,-52.05596540886377,-295.2440825543835,-750.0190515962265,273.0832676127889,99.34036835853436,-900.0465480128609,-198.93578927180548,166.90061577535118,-1050.0944530620043,-34.329370140720414,-195.47200862372125,-299.99330516441034,281.88864597631454,102.59690743047823,-0.06499522765015936,-229.79586557004893,192.73353015096643,299.9392970382456,-52.120464995619805,-295.5071171734727,749.9365236073427,281.9488018030905,102.58973160798178,899.9377334679316,-229.7485223441774,192.7961998533967,1050.000062454614,-52.07878408863109,-295.46483686994657
calibration_00006,-1169.6508946220183,360.58989497959834,27.749103593897587,-1458.6567048914624,-44.5266378530409,73.97904041045261,-1601.9775578245262,219.94480260657943,-226.57885360306625,23.187501086792697,413.7518455074955,307.70076520079914,313.7215258229133,-111.1176619333317,318.6281105740057,589.9091099446676,117.49489348366718,-162.5098880880545,1054.8725124010434,-38.77194892657011,6.298938232205568,1044.0983753157159,-578.6776874461292,35.578299459792355,1309.761126063655,-399.30174194604916,-400.0307196013343,-999.9763270880654,272.9164527891131,99.35943253362376,-1149.9257573162756,-198.97836292758814,167.0036995250343,-1299.9080146955275,-34.44374864246514,-195.48180149660195,-299.9935415815273,281.8829518249507,102.5725714376152,0.016910762417856794,-229.8571301960852,192.78316139570964,299.9938797738131,-52.020851769278195,-295.48007157048005,999.9188547586627,281.9885583578464,102.60217868188998,1150.108393189352,-229.68820207436107,192.8952922438484,1299.933909633634,-51.97643731723164,-295.46543863775406,-750.021316456617,272.8615434063013,99.39517164218886,-899.9410083192512,-199.1799505846832,167.06783655664583,-1049.9788757650774,-34.507906490321425,-195.36845980462022,-300.05710132567447,281.85555755468056,102.60351393305129,-0.03913386101591278,-229.8166772493414,192.77774793426306,300.00457755323686,-52.03631798751375,-295.5190407750772,999.9450773164727,282.0243329949175,102.6063633758051,1150.0184946819647,-229.7346468271768,192.93907893305382,1300.0162228968975,-51.97624631124351,-295.43480016573096,-749.9386182895444,272.8507512894875,99.35478910643263,-899.9590682757184,-199.11294048254825,167.00063863930455,-1049.990938847524,-34.58152552088817,-195.34699648304988,-300.06110835311665,281.8949544137007,102.6147681788076,-0.0603921233171133,-229.81159274098593,192.73978506641973,299.97595845746264,-52.04205558166423,-295.4126062522072,749.9168690810633,281.86447844257526,102.62475932029089,900.0441793634739,-229.9288000293416,192.82513283202863,1049.9581076981253,-52.085275102265534,-295.430797934484,-749.9319347262527,272.9547499833304,99.30764100290202,-899.9491462635033,-199.04895215794,166.9976253763725,-1049.9393148337901,-34.43327776958777,-195.3538670534466,-299.99543488549597,281.9649879674457,102.55079115429135,-0.013011014803877072,-229.75781498477428,192.84542704558305,299.9525181617147,-52.04017534217917,-295.4952070474206,750.0636052926822,281.92529473141633,102.64569204894534,899.9737760207927,-229.8446401239718,192.87376621845866,1050.0796989549824,-52.14926115703058,-295.3531286064972
calibration_00007,-1264.7216821363513,365.1064847534933,333.9748136471615,-1414.777199676298,-100.67955352527373,435.65486736892217,-1533.9165804207407,23.91291620778965,46.7760716261791,-197.11267426274503,343.6459807191014,-12.92113897452445,68.6454172296722,-164.58991677556813,163.59841312178753,373.12297896077985,-94.70508021939763,-348.6674047929685,856.6520092680038,135.2233357892236,209.28447963445748,886.0040054884286,-393.1252777197824,320.9600516948934,1139.6539177120244,-263.34327558956977,-138.6965297344781,-1000.0290044248721,272.9150715836163,99.388089124323,-1150.0193255537642,-199.07972016547112,166.95178453833944,-1299.99579809007,-34.47290340216431,-195.4266342363802,-299.90704191438783,281.84563275563113,102.64125013892458,0.09419520283715939,-229.8598396066951,192.78772203957342,300.09494026042404,-52.12055960478827,-295.4487511960949,999.98632363323,281.8968961532512,102.5450363078515,1149.9667911639508,-229.73307788942236,192.7970223279108,1300.0249723193226,-52.11499189994307,-295.43828268004387,-749.8761961254436,272.8798322344379,99.34084423262264,-899.9269638205172,-199.06240955425244,166.94501011898356,-1049.8463312877136,-34.478571778205044,-195.45416252119864,-299.91135343972974,281.8928813458443,102.58497611236926,0.06417562267285276,-229.828849821406,192.8639859873287,300.1234026291072,-52.095992542070604,-295.46554660644233,999.969038902461,281.9015674431255,102.46385001613162,1149.9503338198208,-229.77588750132864,192.8275997579926,1300.0374665548345,-52.07661695974008,-295.5328270751824,-749.8475078326699,272.91885095611923,99.26960483949654,-899.8465113312665,-199.09097516417287,166.95850000750687,-1049.8322432271675,-34.50241942858379,-195.45301425378227,-299.87319546058245,281.83316198920113,102.6385592708515,0.11225314010306278,-229.88544958106473,192.78066509015733,300.13247816501456,-52.106164069911806,-295.3951884525277,750.1081330173788,281.9575202497626,102.6673833409221,900.1500577953525,-229.75805112393346,192.88638245437085,1050.1209138805125,-52.00241781000685,-295.41331348973387,-749.9805943017338,272.9139996771558,99.37061022145554,-899.9425478026899,-199.0403767494553,166.98619934788593,-1050.026033286294,-34.477497158152396,-195.4585365786694,-300.08736676333837,281.9331281952709,102.59727492352205,-0.10529886759058604,-229.80250615454665,192.82645648252998,299.9879740700674,-52.08470341175187,-295.3708431592717,749.9855942384648,282.011163088181,102.60490193175093,899.993378745134,-229.73774146605106,192.91402549638178,1050.002640537657,-52.07586298059848,-295.41923833074037
calibration_00008,-973.0404577960053,-41.05906786399381,458.0123735361324,-1119.306147037491,-515.8295764777906,513.285744215251,-1234.9829749829269,-356.18791074768023,136.3129519175612,-347.920510782868,358.43031372550763,-86.46730358643275,-69.68824562893884,-162.36406390509936,20.219470955465443,247.12001447318045,-5.996858640570809,-464.7807906518689,707.6352105435096,283.66600762996273,224.14101787862091,943.7772888941591,-202.76401007058678,213.27321245752927,956.1318986032312,45.241172342414714,-267.1886873202556,-1000.1094289856541,272.8910453719896,99.45464502144615,-1149.9908142676522,-199.04171125206912,167.10230757240737,-1300.0910664062949,-34.43108255835362,-195.33427599573238,-299.96663702614876,281.90317599941676,102.66781098427083,-0.019688046996155027,-229.75950755777146,192.85750111095712,299.9864027209127,-52.04264889951469,-295.3713003896771,999.9377417844609,281.8339352015031,102.58107207129937,1150.0058108564199,-229.8225307126918,192.7200485896192,1300.0129676723877,-52.10684375345195,-295.52734445101476,-749.9530206966253,272.90044112562117,99.43167771077512,-899.9770320268964,-199.08618320277458,167.1024830663998,-1049.9880208996499,-34.44823460111653,-195.43035832522142,-299.9727766448428,281.90520662088596,102.57129158984522,0.0024706877257631293,-229.8393141362306,192.88047456704464,300.0054406101735,-52.060807946314334,-295.4278199596633,999.96138624177,281.8185560207716,102.5823741713346,1150.0200480774547,-229.82652998508738,192.72252748512096,1299.9149687659356,-52.18572261552187,-295.51114101130963,-749.9772675806856,272.8778305748581,99.39508156388784,-900.0159249413391,-199.05387857055447,167.06919210290545,-1049.9859785657516,-34.52738245944637,-195.38318814009156,-299.9704449226039,281.867980306319,102.5962930883351,-0.017960264198826983,-229.81269971295498,192.84895675127046,300.0152866406125,-52.08669636312325,-295.41261803267844,750.0146503641325,281.97784747168294,102.64658971234475,900.0256161532888,-229.77774102807578,192.85225872790778,1050.0942347492237,-51.975660999652355,-295.4183261790466,-749.9550103572388,272.9842862491852,99.30277331398055,-900.0391937144499,-199.0440467415342,167.0131649276952,-1049.9371769639786,-34.37701905898453,-195.44522894706702,-299.94157957799524,281.9317563521156,102.48151530946411,0.07490030653892582,-229.74933898797912,192.74709006515943,300.04425783542973,-52.0785615122125,-295.55622599634034,750.0382421311331,281.90106798507463,102.51067268104262,900.051235186259,-229.81145141938563,192.77482788787674,1050.0437376707657,-51.98493834455563,-295.46973213842324
calibration_00009,-659.9160656190045,257.4189323162496,-4.565341499398414,-767.6756300730564,-229.16323593331083,33.78948264611017,-1025.322239069983,-29.853727024119987,-239.7423893100099,-353.0690538991454,601.514902060154,-351.81487110420017,-91.38087654791097,146.88223013633035,-60.527428633305576,231.13873325780318,108.27150204709658,-564.9726969948756,1338.4675367224852,503.01700759826105,284.4700532105248,1439.764464558724,-21.383611953352027,369.67932903952334,1615.5839539739595,148.78470724164143,-112.6372332630554,-999.96969538572,273.1110215532032,99.3785375232754,-1149.9481574998524,-198.85591135228583,167.0242265483808,-1300.0391894140691,-34.29871775444407,-195.4445271727004,-299.97794931813866,281.8919084366776,102.68872193212148,-0.0009849316967529605,-229.76861704570015,192.83109636721227,300.03138270320477,-51.997068743712454,-295.4155030720418,999.9596387524108,281.87827451985646,102.64475079569029,1149.9457742728669,-229.80115515064267,192.79324240037423,1299.8859270340645,-52.11141717101099,-295.4655088329991,-750.0329935203536,272.88360215934387,99.38642535231413,-899.9421982710248,-199.1106272094682,166.97935540197454,-1049.9328788201572,-34.54567772991476,-195.44075188236923,-300.04319090183066,281.9740057615389,102.61690433809773,0.047660040148291026,-229.77519321847234,192.8688643319939,300.03798882075955,-51.977108363088306,-295.4237193154145,999.9598331304389,281.97984176676096,102.62311120615233,1149.8862060519027,-229.82660055085614,192.85891958518093,1299.945385246534,-52.13901677671075,-295.42804104059826,-750.0116058252856,272.8604372828814,99.42251442114267,-899.9283199451793,-199.11485639721766,166.9949661840033,-1050.0070064359777,-34.52292073467891,-195.38827164913056,-300.05789297481556,281.88998594449595,102.63927595775486,0.05093544613144334,-229.79421390493334,192.86034343064546,300.01920565808683,-51.965705469240376,-295.36027624654974,749.9636938168477,282.07819272455225,102.71722605928989,900.1250097822897,-229.62689110316103,192.98065826960382,1050.0302016134563,-51.84765505873377,-295.33803215499046,-749.9703093745342,272.8599048991378,99.39605436758195,-899.9807820827024,-199.0758012258869,167.07476705866387,-1050.0275532122673,-34.51684659717187,-195.35869035615104,-299.95915710221055,281.89590194034446,102.6345088027463,0.030211474974540624,-229.825803791382,192.84683484953,300.01571836976444,-52.16365983703945,-295.4242085957298,750.0336347648336,281.92521167531913,102.63840182886247,900.0874614235258,-229.85879158899345,192.83479566749256,1049.9659889390873,-52.13620874063505,-295.38444397456476
