sample_id,s0_A1_x,s0_A1_y,s0_A1_z,s0_A2_x,s0_A2_y,s0_A2_z,s0_A3_x,s0_A3_y,s0_A3_z,s0_B1_x,s0_B1_y,s0_B1_z,s0_B2_x,s0_B2_y,s0_B2_z,s0_B3_x,s0_B3_y,s0_B3_z,s0_C1_x,s0_C1_y,s0_C1_z,s0_C2_x,s0_C2_y,s0_C2_z,s0_C3_x,s0_C3_y,s0_C3_z,s1_A1_x,s1_A1_y,s1_A1_z,s1_A2_x,s1_A2_y,s1_A2_z,s1_A3_x,s1_A3_y,s1_A3_z,s1_B1_x,s1_B1_y,s1_B1_z,s1_B2_x,s1_B2_y,s1_B2_z,s1_B3_x,s1_B3_y,s1_B3_z,s1_C1_x,s1_C1_y,s1_C1_z,s1_C2_x,s1_C2_y,s1_C2_z,s1_C3_x,s1_C3_y,s1_C3_z,s2_A1_x,s2_A1_y,s2_A1_z,s2_A2_x,s2_A2_y,s2_A2_z,s2_A3_x,s2_A3_y,s2_A3_z,s2_B1_x,s2_B1_y,s2_B1_z,s2_B2_x,s2_B2_y,s2_B2_z,s2_B3_x,s2_B3_y,s2_B3_z,s2_C1_x,s2_C1_y,s2_C1_z,s2_C2_x,s2_C2_y,s2_C2_z,s2_C3_x,s2_C3_y,s2_C3_z,s3_A1_x,s3_A1_y,s3_A1_z,s3_A2_x,s3_A2_y,s3_A2_z,s3_A3_x,s3_A3_y,s3_A3_z,s3_B1_x,s3_B1_y,s3_B1_z,s3_B2_x,s3_B2_y,s3_B2_z,s3_B3_x,s3_B3_y,s3_B3_z,s3_C1_x,s3_C1_y,s3_C1_z,s3_C2_x,s3_C2_y,s3_C2_z,s3_C3_x,s3_C3_y,s3_C3_z,s4_A1_x,s4_A1_y,s4_A1_z,s4_A2_x,s4_A2_y,s4_A2_z,s4_A3_x,s4_A3_y,s4_A3_z,s4_B1_x,s4_B1_y,s4_B1_z,s4_B2_x,s4_B2_y,s4_B2_z,s4_B3_x,s4_B3_y,s4_B3_z,s4_C1_x,s4_C1_y,s4_C1_z,s4_C2_x,s4_C2_y,s4_C2_z,s4_C3_x,s4_C3_y,s4_C3_z
train_00000,-1096.3212508255824,205.23124916226226,-238.93759590879048,-1177.4641831354547,-266.4435372160956,-94.66523080273326,-1311.8919820958579,-195.948559928185,-491.9479590476581,42.94595824270057,494.3275736067644,412.5134807016126,352.03657999615746,-19.107727247673264,442.14789874987986,566.5162228463837,167.2247236053079,-86.3249691867783,870.1690012502318,-20.104439800299794,408.46976519546405,948.6145587171633,-555.1104668882593,422.2284387436422,1091.1797617203874,-335.9526721979243,-51.24470790974546,-999.9830946047299,273.0861696782392,99.28509152706877,-1149.9261178470394,-198.97623013383563,166.98323639441685,-1300.0211052509962,-34.36882803833585,-195.48491422929595,-300.00232748278427,281.92509700986705,102.5576291638996,0.05105011399786946,-229.82622559244786,192.76579219166223,300.04588283404513,-52.01610453897081,-295.4496789698025,1000.0265239356423,281.89915201070295,102.6418992066051,1150.0195774717813,-229.81885557442146,192.83951585105262,1300.0806709081962,-51.97424938501436,-295.4424799738838,-749.922079377334,272.92666937728484,99.152702808072,-900.005305310546,-199.04820527890166,166.82140275136837,-1049.8808355223846,-34.45846725115378,-195.67894827847596,-299.9966257162141,281.95132073917216,102.60136028674829,-0.010547844571385825,-229.84102177558597,192.79678924343028,300.00313371745017,-52.03389041179636,-295.51608837918565,999.9575997638218,281.85573774461363,102.6177718081201,1150.08746802153,-229.82735903871867,192.812508539146,1300.0904574359538,-52.06359850647545,-295.39482780171613,-749.9185297691248,272.88810709956886,99.17917358418852,-900.013076558523,-199.09469821992104,166.85147555931974,-1049.9375629457738,-34.49342155268529,-195.63301345962853,-299.9503073407144,281.96916172840554,102.60835322301193,-0.012242094236670371,-229.81352464546566,192.77014400483094,299.9935309000944,-51.92167860325507,-295.489675358142,750.1370098687071,282.01840660851076,102.59224855366004,900.0086258863649,-229.73364051471233,192.69228050974513,1049.992113090164,-51.963247542718776,-295.61937968449143,-749.9997578898208,272.98333427444544,99.23547796919648,-900.1131853761053,-198.98036545744404,166.94881996866198,-1049.9553129119172,-34.492463848394394,-195.50966307491703,-299.97577093118025,281.9030245418084,102.6153079843266,-0.06363748103890855,-229.83149011017508,192.90868800184745,299.92337077070374,-52.14840399114831,-295.3559982867515,750.0881046027805,281.8915375561706,102.55155861665749,899.9691584945746,-229.79334292241867,192.80132279264987,1049.9655171790334,-52.10694275900216,-295.48382653928326
train_00001,-1259.3820058118642,322.09112599348,29.92560066709609,-1413.6651561744065,-147.47585060536895,104.45127866493637,-1565.4702825918198,14.561246088210508,-258.3534202729459,-218.98893368477627,1.1096165947149867,447.77583583315635,78.380722417311,-516.2111417471184,385.7645136990758,284.4394058063,-251.2168885928246,-111.60262936556713,958.9572701887668,483.55031507392493,105.44949014000646,1166.0509249782265,-9.347584318588364,187.41937963264195,1172.2940158338833,134.79758021408298,-333.79259100574956,-1000.0550294484339,272.99240433720126,99.33645566115203,-1149.9812475964359,-198.98420781248922,166.96428748763037,-1299.9425019817281,-34.53299129724739,-195.4711035549216,-300.03511877085714,281.89881665820354,102.63567253786374,-0.020919481483182185,-229.76480613766503,192.86065773319913,300.00063198818924,-52.10911980176007,-295.5421700614128,999.9492734957723,281.874182228997,102.5839570065786,1150.0433339108686,-229.843164119378,192.7923343982854,1300.1270659096429,-52.10299561565582,-295.41332300786684,-749.9686293789762,272.9807401270972,99.39891788421653,-900.0095365562147,-198.88568766156595,167.09768300138342,-1050.0380137199168,-34.429681913056,-195.28853690562082,-300.0246901072068,281.90731379090914,102.56189702745924,-0.0038293275715044,-229.80831213307988,192.799748160284,300.00590539381085,-52.096683257844035,-295.41988222196494,999.9392507201657,281.8724079615785,102.59594823696615,1150.0813938136691,-229.80455916708732,192.8655980984126,1300.1248680493868,-52.03004975373529,-295.4330239291312,-749.9869591495774,272.9979152350622,99.40606163130097,-899.9877484126112,-199.0180833092497,167.02814943136576,-1050.096035293998,-34.3702561662909,-195.29600264361397,-300.08063330262877,281.8982773737231,102.5783742131882,-0.028725344512652067,-229.79646001179307,192.78634028965354,299.9767904545519,-52.07842633753454,-295.47061418108484,749.9995737716325,281.89197002517227,102.60240608281373,899.9133254835045,-229.85036101161788,192.85775365710387,1049.9884066596303,-52.20505707953894,-295.385167559827,-749.9775032208188,273.0112069979379,99.42362281968504,-899.9699148980529,-199.00826372910896,167.10518339565547,-1050.0653918987884,-34.37238347492041,-195.36685141294785,-300.01629147244137,281.99214339970734,102.60174348430849,0.04299164317743253,-229.830348131318,192.77361059331898,299.973302387091,-52.027782725514015,-295.4969236451881,750.026451099652,281.88941591099865,102.64169970003339,899.9280237080357,-229.9026816899558,192.86637131350975,1050.0477123479066,-52.17593603873145,-295.29309656334107
train_00002,-1083.3430673445441,197.02819042038269,199.78597967802546,-1291.218475890063,-227.92691260859058,361.2045324525599,-1446.4771946068379,-107.8464926102968,-16.144301055001122,-91.6060683176568,-46.990554074362535,64.5611321366229,202.08756729029997,-558.2154148331574,176.2636004017451,534.5270716535305,-381.1906774978743,-290.7981415807671,1244.850049642575,518.579357654497,431.54494683302045,1398.7060085787334,8.796467016519994,526.1686765546774,1469.64770100572,155.22215792575275,10.35864758598837,-999.9498144916085,273.06447162107816,99.3301165499154,-1150.062880697914,-198.888317345988,166.98529949539918,-1299.9744453288167,-34.39557781992967,-195.42969614855323,-299.9521009296712,281.8847007951448,102.6013593415115,0.037508241881585205,-229.7987308489503,192.85218022732602,300.00310901783973,-52.07990240286332,-295.50744196314884,1000.0170209951979,282.00098734725265,102.57130249829329,1150.0333523550187,-229.7729323600515,192.86354266948058,1299.9683464032312,-52.07483765494364,-295.4518564044556,-749.9839554765406,273.0590518270436,99.41821132357515,-899.8886021756084,-198.98636641314434,167.0963055316033,-1049.9773445199348,-34.45394984589257,-195.26876165309335,-299.9992502094481,281.8907545974963,102.6449097725428,0.06600375544383978,-229.79657759478076,192.82750940185312,300.0200242288379,-52.07819434411727,-295.5497725285025,999.975345530043,281.91377309957045,102.61958162473773,1150.0051348425334,-229.77519134073694,192.9618509951624,1299.9556134351362,-52.095844713032854,-295.3258398865712,-749.9790475482573,273.04864991449745,99.43081090878003,-899.9133758371572,-199.0170194175594,167.12418916713136,-1049.9963037131693,-34.55648506794848,-195.258111048072,-300.0439245917804,281.8970857062403,102.59728644522849,0.1284089202390901,-229.774717681431,192.81863034361632,299.9480626887421,-52.00753633202062,-295.51388963125106,750.076021286161,281.95683430560194,102.4877376904114,900.1172069276207,-229.7645775342691,192.60527411445128,1050.0203635288356,-51.9701426997944,-295.6504403278915,-750.0381051003762,272.9864907882198,99.34052631789969,-899.9460230294713,-198.98101656058577,167.03782300438328,-1050.0347745677702,-34.42725253568112,-195.3761737771355,-300.01061484165365,281.88429575364324,102.54701072018332,0.00999412933786149,-229.80663140822676,192.83632005331836,299.94246133413844,-52.15056627584762,-295.4779176094293,750.0861459208954,281.86127830009445,102.58838073267401,900.0422384397355,-229.85265861094754,192.82028504696058,1050.0223644797359,-52.14595098782514,-295.4826767921147
train_00003,-769.1952721359564,-67.9537189496774,237.77885838655848,-917.5662510711174,-543.6209839266573,198.2334876129989,-995.0669949543638,-322.4532637880651,-156.68447496263454,-496.9717769953672,476.0744551486683,272.19585422871364,-275.784456330367,-32.75045671126496,500.6236220968749,190.92190007732023,100.1341558319318,147.77455842555165,1159.5617669403714,118.38910027305602,48.34484531577374,1324.4841009475772,-393.88753809896747,101.76250914950495,1484.2225596783744,-171.53471477084494,-364.6255465708444,-999.959823261001,272.7792545541702,99.29064842668669,-1150.0280566349734,-199.10408029889442,166.96782184332588,-1299.9991335580921,-34.55122062940413,-195.4176730315935,-299.9991597804871,281.95438946525957,102.558085235648,-0.04658056885777906,-229.78071409946727,192.84184378083123,299.9783172873847,-52.063087205592005,-295.4108962315412,1000.0281276342097,281.7992710840505,102.48919453932972,1149.9896172178262,-229.78588507799637,192.90285691806622,1299.878953678525,-52.224138486792825,-295.43726355185277,-750.0438904836963,273.11809849040526,99.37036138806106,-900.0442605596588,-198.8899243461985,167.03951386537923,-1050.0713950545319,-34.35392129545615,-195.34479404366562,-299.98584761694605,281.9708152386167,102.59433167673667,-0.029049513423444466,-229.80973978013654,192.85351069992268,300.0068439438894,-52.087337928413305,-295.43400344259766,999.9549598643227,281.8624363535942,102.53681016715099,1149.9480706059383,-229.90189241129497,192.84061461681213,1299.9585083254644,-52.27616384463071,-295.4903296758367,-750.0818577289365,273.11324632672864,99.38032413220677,-900.0655504916501,-198.88324821460145,167.006445146627,-1050.1203474201557,-34.29146434835591,-195.30956980308525,-300.0587774212174,281.9412746488933,102.49998826017838,-0.04606590893364794,-229.81032725927645,192.80253514048002,299.97597609827585,-52.08457708026781,-295.43865250288934,750.0087246672578,281.8820142501614,102.69981473841295,899.9910702421167,-229.92248894704804,192.97099634916637,1050.0519849884006,-52.18767117056533,-295.3941175199549,-750.0583681338069,273.0817100181524,99.36321745183555,-899.9748516041384,-198.925840443062,166.96923598314433,-1050.100403340851,-34.4269213519386,-195.35759542497175,-300.0219781843338,281.85175104658236,102.53681014304325,0.018525234234540264,-229.87694443622564,192.725643842825,300.01902238181776,-52.00684199985436,-295.4917385588464,750.1104021519315,281.8625800207308,102.6647181853142,899.991103625573,-229.93470256673982,192.805578565199,1050.029813504315,-52.108891798451445,-295.4455123333756
train_00004,-749.9304557640874,549.6054423721255,-172.6269610143028,-926.9528747764437,135.42816181729316,44.03293876284813,-1165.9525649642706,257.32418343776203,-286.0094902776274,-495.93976586126803,-58.358005112492236,312.00284367086306,-58.56509442775044,-465.6292968045688,364.99775056688384,108.55203088754492,-244.92210329883102,-167.31834833054828,954.8899524676856,575.2851149482691,187.29107906589547,1025.9259974811823,39.26195849174513,200.18020607761497,1147.7192666505805,253.77713675198635,-281.21563844966397,-1000.0949603004211,272.96118378472244,99.41501655567329,-1150.021688257892,-199.0027076428644,166.94776751675377,-1300.0268153984225,-34.50455046407159,-195.40503910391212,-299.9946234382951,281.8811837574087,102.5358001120574,-0.006451723339869025,-229.77070597499866,192.84216395685132,300.01973351207556,-52.08016136761461,-295.46518411715437,999.8777617122639,281.86206108659036,102.55190890080392,1149.942613011373,-229.8768583539272,192.77174884675372,1299.9670788758333,-52.07815828439922,-295.45130742739616,-749.9047509931784,272.9263284195184,99.23971140137239,-899.9163783019911,-199.03978572262548,166.99039990688925,-1049.926939442512,-34.54522030643842,-195.463100409563,-299.961587319157,282.00838309315736,102.61211295405586,-0.041430252456425065,-229.77190638079787,192.80861242410634,300.0093570473064,-52.149956582947674,-295.4513520172784,999.940667411587,281.83761661719143,102.59144629499934,1149.9860299822265,-229.83145688377178,192.79321292231708,1299.938517875581,-52.073871616974756,-295.49408074729473,-749.9559995200578,272.92283552121506,99.29942654519748,-899.9379481185877,-199.05591611454787,166.94537291752334,-1049.9536804612253,-34.60280428567694,-195.5020810718408,-299.97446681174995,281.96750205080224,102.61797063557805,-0.016532403609468026,-229.73734286483614,192.8512835085075,300.03132642265524,-52.13415009771167,-295.47448345976096,750.084273391853,281.76833756900083,102.63140192234202,899.8789393559174,-229.99066750037207,192.86792029648038,1049.9855394586602,-52.21303498219032,-295.4204350036805,-749.9599540875432,272.9038680446695,99.4522465717055,-899.8423990431083,-199.03961598226496,167.10270220751832,-1050.009367844557,-34.483595169262784,-195.36478605894982,-299.89780022925055,281.9854636931067,102.66323855077499,0.03313484400180694,-229.7383383873887,192.86901058966012,299.99619196415966,-52.009788028581845,-295.4395260054944,750.0541427427787,281.834414382109,102.6668440191773,899.9939648675464,-229.89529870068554,192.83477117676227,1049.9477780596535,-52.1078607574799,-295.4124338480095
train_00005,-1320.4168919218841,254.3638076953919,349.4159330362372,-1384.8582252791184,-237.78632611850855,290.09279954165953,-1492.6641649109042,-19.596105063257415,-58.80514464968381,-593.8282483406635,280.1050210704181,1.0687083357462175,-281.94955456498417,-224.2128823165429,92.96523160581538,-3.483931680451766,-54.59658707137426,-410.7266742108632,1138.8751539532648,-19.62850999535822,434.7110642574054,1276.3196708625007,-540.6769169893024,388.6826772026261,1360.6641546727162,-262.3322042278673,-67.11044408652185,-1000.0130166922044,273.02156516759675,99.35328325851825,-1150.121063772953,-198.93719658638318,166.89901867527797,-1299.9390681202815,-34.32878568394856,-195.50611091558153,-300.05487204427106,281.88902613137907,102.37433998041463,0.024477024074336114,-229.75999357805395,192.71117816275526,299.96966668606854,-52.071673141489015,-295.5109587525192,1000.0108112522391,281.8959712677978,102.60827267949739,1149.975435579137,-229.84173560233256,192.84597645088888,1299.9802788708025,-52.13771691340368,-295.4533881725825,-750.0828688602298,272.8231176420973,99.05114674748916,-899.9707413437523,-199.16164974090302,166.86362550184174,-1050.114327145398,-34.72179012571118,-195.54584059872002,-300.03680688353955,281.9651385424392,102.49215094849443,-0.001646198357188499,-229.76357320910154,192.78310470139465,300.01110942854956,-52.09727293208548,-295.52706600277895,999.9909875645391,281.91583071963277,102.64897309029564,1149.918580889508,-229.77575907622332,192.85270945844647,1300.0540798916388,-52.12295006536429,-295.37841978092075,-750.1334261466848,272.8608496758526,99.07173386758747,-899.9801249994131,-199.08831866685065,166.85414992042143,-1050.0532264972549,-34.69551433234316,-195.6464104733427,-300.0619187076108,281.9408651778591,102.55405091269837,0.0474338337963737,-229.7753846650123,192.74211993655697,299.9745574395125,-52.064356205856214,-295.5356687011155,750.0326558380177,282.01096742749684,102.5262634922111,899.9927578933035,-229.7330495749109,192.76274761285515,1049.9781761895724,-52.109383373892776,-295.6053670135083,-750.0385971363961,272.99694799639246,99.31025023262204,-900.0014966800212,-198.96841418527598,167.00100485008434,-1050.006004195134,-34.509500791973174,-195.3746009195433,-299.95336015039237,281.9591415979733,102.60898845735422,0.044518625944698145,-229.7377685899842,192.81467779128565,300.036866463117,-52.108220577141914,-295.4322058599961,750.1232742437772,281.83130279775855,102.6425510065359,900.0578795497653,-229.9017442671412,192.8115230134506,1049.9923059676364,-52.262084516850656,-295.5308714290052
train_00006,-742.0423875020139,139.69838959811676,411.9311856502612,-990.1179254488263,-290.36674888968133,469.9304135755552,-1140.9576793424915,-61.864879127795795,144.42528359348725,-380.06545397112905,134.165724345575,262.24402274757017,88.70670583451215,-238.22643460532518,301.87368322688894,288.00801705921714,83.87666804183667,-163.48270231957147,1218.346839491817,280.2069252097883,143.2179609897876,1367.9953065058594,-231.7874109199287,232.45625673935325,1518.2096550443794,-53.1371934503773,-255.39917752588028,-1000.0083085654451,272.97048220468326,99.36946519184802,-1149.9859172352935,-199.05022456728616,166.9502056965024,-1299.991842561848,-34.47802358551687,-195.4467470488507,-300.04172164468883,281.9601111265607,102.53838631574109,-0.10839961322441422,-229.79751169618575,192.78047985662099,300.0019338486379,-52.19657057586744,-295.4579403863525,999.9513963977729,281.9401846984403,102.56424168842564,1149.990125897822,-229.72605141559995,192.75862748298562,1299.9254019540178,-52.09560623347595,-295.4583919092492,-750.0658941400662,273.0504850738404,99.21116108521903,-900.0443938607506,-198.96218476959655,166.81320065434753,-1049.9721840358814,-34.3849526057574,-195.5544715376216,-299.97827172752363,281.9223328603112,102.53382305312662,-0.0903914172993469,-229.79554737303354,192.80735648363165,300.0320188146881,-52.10398063109005,-295.42877516550936,999.914830982944,281.9643104080521,102.55286518152708,1149.9489085014472,-229.7189609149957,192.79941778495757,1299.9317973001503,-52.121343961454855,-295.4890190384252,-750.0692544949486,273.0283555134422,99.21514228088262,-900.08843007774,-198.91241917695453,166.83335472261214,-1050.0369757362973,-34.38367689255687,-195.6213697673698,-299.9772761814462,281.9270632810133,102.57546857492287,-0.041175300985219494,-229.83095329257992,192.76291692774313,299.92439888714574,-52.13003510581049,-295.46408159148484,749.9825170145336,281.756423629531,102.77719359982865,899.9442906200843,-229.9749708416315,192.8876340066699,1049.9844662752184,-52.2090303183282,-295.308280835388,-750.1074764732971,272.9599375665977,99.31689100050453,-900.0653403813753,-199.00589375744707,167.04807987457605,-1050.0634525727644,-34.52157841121548,-195.43685084649104,-299.9505888346054,281.9283065765798,102.58960273793492,0.009479490812055968,-229.7410372825097,192.84966877054765,299.97316348385243,-52.12880507219323,-295.54609079182075,750.0397252853494,281.91294920067884,102.5884289623977,900.0608757525465,-229.7820344348152,192.85670412416624,1050.0367800206304,-52.0664748657412,-295.4421436061401
train_00007,-691.2083630149323,43.04601788212554,187.1333275440444,-845.3055824837465,-423.68598566459815,278.0218343134121,-1017.4133348360383,-265.2742837295099,-77.18078441035235,-77.06179095642548,71.04486830225247,106.84217425532047,60.57231464782505,-509.4305074734396,171.11749734755614,419.4612893824133,-398.64872260043404,-296.7571312582513,834.7801795728219,391.2856999773316,434.60747208573395,1106.383539698456,-67.73659795429819,524.3948436732921,1120.1066958033407,83.941814486439,5.500440999400404,-1000.0634940641733,272.89310255699303,99.31831251353488,-1149.9992171769704,-199.0598068169187,167.0835646222558,-1300.0532444346902,-34.47714956716513,-195.36491911352104,-300.01886403173876,281.91124779213374,102.64091509892664,0.027648108051655074,-229.8257114047357,192.84067468149445,300.033318273462,-52.145920142049825,-295.38444312981215,1000.0497338083087,281.96056428077867,102.55067690780913,1149.9794420750466,-229.7887865862845,192.83431653917222,1300.02927168416,-52.06750777909323,-295.4865245061383,-749.9641148562073,272.9451548843878,99.36471007538951,-899.9903204952558,-199.0841078159362,167.05156017946862,-1049.9641497092468,-34.53805412076819,-195.38334885570225,-300.0032381243238,281.90378311365515,102.57360356166163,-0.016833144831946416,-229.8005206372353,192.85973670309642,300.0059863149297,-52.17997030541607,-295.3610928093681,1000.0025291903141,281.89889181740216,102.54098969267288,1149.9624601743494,-229.81511406262152,192.80325380794713,1300.0324391383822,-52.09354335623182,-295.4586896539925,-750.006324610355,272.87438052339866,99.38312322667376,-899.9090601632221,-199.06535032220893,167.06442992164224,-1049.9769543726036,-34.50287602803113,-195.3666011105136,-299.9885751770894,281.9334111064272,102.58315489516252,-0.06355580430007222,-229.82098176765558,192.89068417941402,299.98841968880834,-52.137337665892545,-295.424776055338,749.9762300288736,281.80270031094136,102.67107220198562,900.0017297995905,-229.8638310823212,192.88966509026503,1050.0072197262893,-52.174349285909926,-295.30136686914364,-750.0006629236686,272.9355619007404,99.35686177874634,-899.9115978074236,-199.0923715195969,167.01557508166286,-1050.0014356208917,-34.437249582532964,-195.4379698031547,-300.03011875388086,281.91048590778166,102.56273341783097,-0.05669094302628924,-229.78964531583344,192.74823117378855,299.9268302100981,-52.088968904464636,-295.4441399755068,749.9672619641397,281.88406431776275,102.5498570037821,899.9584828989404,-229.78084910635576,192.8453701579329,1049.9583111827894,-52.12424866922526,-295.441835421555
train_00008,-1284.8804520844492,79.63862546971559,125.41131670682554,-1435.1755235244943,-380.29200107584165,250.72392704468507,-1503.9145718752948,-296.62088702497465,-160.61458524615932,-615.0672602341467,595.6866834676508,44.58755537692904,-348.4302041216678,59.25322756961727,10.326264074953754,-77.35107624879065,308.07824635660194,-463.52340426042764,1349.1148453664227,381.11653893716937,179.14713084966633,1507.1318112065708,-129.45915194774693,262.0098279089922,1605.4419015552612,39.36792374018568,-242.29612839076202,-999.8961595742734,272.99582020080146,99.3968163329186,-1150.0691191034998,-198.94507721969148,167.04599140039363,-1299.941360631843,-34.329462004812314,-195.37647824203836,-300.0461974821584,281.9073397467907,102.524914368137,-0.005174205952578462,-229.800709832666,192.84170201045072,300.07640597984437,-52.13506466890305,-295.4476665839994,1000.0254284250822,281.9184597472414,102.59147454222266,1149.916019925047,-229.8247760314405,192.8366907975862,1299.9637300771535,-52.146990026770304,-295.4328874759503,-750.1072134119343,272.9706087151517,99.10811595458205,-899.938258533284,-199.0347020885945,166.81064120325547,-1049.9987958881904,-34.61492023940604,-195.63843575725346,-299.9952561479587,281.89154336214614,102.53752437473703,-0.02290635387031893,-229.8039704295938,192.8821449052503,300.04989999290984,-52.118980417608306,-295.38598999673974,1000.0137862037237,281.9363604304921,102.67524318456734,1149.9506568327834,-229.82054303906347,192.85458972555207,1299.9753374585225,-52.088716477307976,-295.40347347871165,-750.0807988751587,272.9327260974028,99.125200240567,-899.9861826982708,-199.02274691510212,166.79931774732185,-1049.9746380956633,-34.522279807862,-195.63399117512193,-299.93854511336536,281.915714082229,102.61306088753528,-0.01649149675734865,-229.77928073827607,192.79234994966993,300.0650704017996,-52.09491285901142,-295.38017511058536,749.9850992560322,282.01192965618526,102.52914418717212,900.0063199044044,-229.74232930659878,192.91055376770703,1050.0892539335032,-52.084377623536476,-295.32555695331695,-750.0539257455699,272.9862423225372,99.43118436617347,-900.002518557579,-198.98489726993475,166.9979527394248,-1050.0105841392897,-34.41458184420634,-195.3803546399342,-300.0006888205551,281.9477215693202,102.70570915018423,-0.032538615230377696,-229.8560735103533,192.89250233854722,299.9563448206062,-52.0868177111357,-295.3658669687001,750.0280781828496,281.8642962307957,102.60287708032938,900.001956495054,-229.85505160472314,192.87764227760525,1050.009752411959,-52.15894395061187,-295.4079812193744
train_00009,-693.153001608888,112.16994640281918,393.7766204734672,-925.2337147482294,-328.28348532201034,349.52487555070394,-1052.0122343141368,-50.77745872923649,53.09310093160629,-214.02763096850506,79.55524463738561,398.131847000814,39.38014676442262,-464.13248781400375,389.03079627306784,456.8887873780404,-181.3808378870122,63.9700801293045,1160.154373170956,-31.91305995712819,-104.91162722364803,1322.122739801797,-535.7055519464695,6.94604054123704,1468.0513863230099,-375.52636290724627,-488.5424395331463,-1000.0514150964972,272.93964869941163,99.34445263783583,-1149.98723937093,-199.04555282501212,167.0199909158881,-1300.108398069136,-34.44961114855627,-195.3955826669068,-300.0959585019399,281.9318921251301,102.58946397400625,-0.020234924358175286,-229.78387157405348,192.8016037217386,299.9777939590718,-52.10636336081093,-295.4718516614455,999.9422660418209,281.9595324824849,102.53305099726673,1150.001634673373,-229.72279399148513,192.75146280028054,1299.9152366753676,-51.996586763333596,-295.50968176325375,-750.0744381908589,272.9645484258795,99.29533522870678,-900.0789247115495,-199.16733969612287,166.94319034678796,-1050.0232447130918,-34.514792275517934,-195.49781656898068,-300.0334854294817,281.9196917818632,102.52212549415889,-0.003825194916600794,-229.80003866901862,192.79724959215025,300.1054026762391,-52.05902537299706,-295.4435351365839,999.9971111162013,281.89882490905865,102.53996274651195,1150.0305785618416,-229.77093764409932,192.7332631209139,1299.944486338252,-52.029544566236815,-295.5199718057478,-750.0642396154836,272.87547217441573,99.3262118108067,-900.1035152627492,-199.09454952708813,166.94845536824437,-1050.0355006420432,-34.52751760651219,-195.50760835521464,-300.0122258021395,281.8802042180218,102.56577811187258,-0.05557674541953937,-229.82040711177407,192.8115882223996,299.9709662148597,-52.0692115011376,-295.42692614959685,750.0067967810699,281.96309216771834,102.73012754900365,899.98572476482,-229.6505031833454,193.0540887099978,1050.1009405833968,-51.95589048122333,-295.20429540912704,-750.0454082594252,272.9204987713025,99.32079537506152,-900.0680152229002,-199.10629502065015,166.97416415466523,-1050.0575669425457,-34.51761484823792,-195.4575245323347,-299.97002146967606,281.868329179618,102.51928510033399,0.030975464640454864,-229.84625011242233,192.7650938134345,300.037693847739,-52.11578805391319,-295.5553605399355,749.9551862990786,281.98803271634034,102.6338796966485,899.921864187575,-229.72449919455548,192.94072563149814,1050.1361729750233,-51.99891725998534,-295.3274857623207
