sample_id,s0_A1_x,s0_A1_y,s0_A1_z,s0_A2_x,s0_A2_y,s0_A2_z,s0_A3_x,s0_A3_y,s0_A3_z,s0_B1_x,s0_B1_y,s0_B1_z,s0_B2_x,s0_B2_y,s0_B2_z,s0_B3_x,s0_B3_y,s0_B3_z,s0_C1_x,s0_C1_y,s0_C1_z,s0_C2_x,s0_C2_y,s0_C2_z,s0_C3_x,s0_C3_y,s0_C3_z,s1_A1_x,s1_A1_y,s1_A1_z,s1_A2_x,s1_A2_y,s1_A2_z,s1_A3_x,s1_A3_y,s1_A3_z,s1_B1_x,s1_B1_y,s1_B1_z,s1_B2_x,s1_B2_y,s1_B2_z,s1_B3_x,s1_B3_y,s1_B3_z,s1_C1_x,s1_C1_y,s1_C1_z,s1_C2_x,s1_C2_y,s1_C2_z,s1_C3_x,s1_C3_y,s1_C3_z,s2_A1_x,s2_A1_y,s2_A1_z,s2_A2_x,s2_A2_y,s2_A2_z,s2_A3_x,s2_A3_y,s2_A3_z,s2_B1_x,s2_B1_y,s2_B1_z,s2_B2_x,s2_B2_y,s2_B2_z,s2_B3_x,s2_B3_y,s2_B3_z,s2_C1_x,s2_C1_y,s2_C1_z,s2_C2_x,s2_C2_y,s2_C2_z,s2_C3_x,s2_C3_y,s2_C3_z,s3_A1_x,s3_A1_y,s3_A1_z,s3_A2_x,s3_A2_y,s3_A2_z,s3_A3_x,s3_A3_y,s3_A3_z,s3_B1_x,s3_B1_y,s3_B1_z,s3_B2_x,s3_B2_y,s3_B2_z,s3_B3_x,s3_B3_y,s3_B3_z,s3_C1_x,s3_C1_y,s3_C1_z,s3_C2_x,s3_C2_y,s3_C2_z,s3_C3_x,s3_C3_y,s3_C3_z,s4_A1_x,s4_A1_y,s4_A1_z,s4_A2_x,s4_A2_y,s4_A2_z,s4_A3_x,s4_A3_y,s4_A3_z,s4_B1_x,s4_B1_y,s4_B1_z,s4_B2_x,s4_B2_y,s4_B2_z,s4_B3_x,s4_B3_y,s4_B3_z,s4_C1_x,s4_C1_y,s4_C1_z,s4_C2_x,s4_C2_y,s4_C2_z,s4_C3_x,s4_C3_y,s4_C3_z
calibration_00000,-1349.9697103471992,622.9128394163909,186.91014037466275,-1500.0378395698124,150.93497330665326,254.48049590051474,-1650.0392609127407,315.5033526939109,-107.95333457650226,-299.99747105818227,-68.1064165516056,15.076502358664548,-0.006246116464951117,-579.7429984475264,105.31984529066386,300.06828660370866,-402.0728679740818,-382.9882990351013,1349.9669974197209,631.8816396912604,190.15303432299194,1500.0183471464243,120.19547356490489,280.3624741290953,1649.9993008470983,297.8879957206456,-207.93848066287455,-1000.0064934595486,273.02255294190485,99.31544456367223,-1150.0074687264498,-198.97035613744973,166.97016263263833,-1300.0475242762566,-34.37585590940323,-195.39042753054326,-299.98415203105594,281.839716018089,102.64641330947126,-0.050568802706606436,-229.90444435568304,192.8146791886819,299.99188671635073,-52.093287052911386,-295.4075489224303,1000.0036687821977,281.8936628038162,102.53927364473132,1150.013259178445,-229.84278490944737,192.8187418836959,1300.007526783653,-52.05792194511614,-295.5053660892126,-750.0327612350733,272.99394447070813,99.35237222136858,-900.005316869708,-199.0684178458597,166.98430248943583,-1049.9814844629077,-34.42809849885918,-195.42502354035778,-299.97666152615705,281.8695107752793,102.75887945624132,0.01151068439896892,-229.8277370416375,192.85108600105565,299.9496883460711,-52.136236322646106,-295.44704089668994,999.9790085462165,281.8497596194337,102.5939207893041,1149.9871027133133,-229.78307169197208,192.8216051627093,1299.973598663733,-52.088472419910545,-295.474582357933,-749.9560221522726,272.91460384584246,99.40491582558315,-900.0166083688196,-199.06178988216448,166.89545876667563,-1049.927839241365,-34.45033426425774,-195.4391217343914,-299.98588661646534,281.8897876906682,102.66956344209463,-0.057819173136633255,-229.8500733503867,192.8896346750695,299.86231782051516,-52.15764177462231,-295.41763740339036,750.0498192643504,281.7786146642928,102.5064948613539,900.0316082125795,-229.8533340222242,192.74630661780037,1049.89005207633,-52.19675807512875,-295.632829347279,-749.9632672946832,272.96102858881954,99.30215369223093,-899.9657579005309,-199.0946147924135,166.9131701434703,-1049.927801671668,-34.40731732920996,-195.5401684675184,-300.02471984610264,281.86505689162635,102.66475210559119,-0.08456808543269723,-229.81350139378287,193.00069613820355,300.01763723505576,-52.084913092057825,-295.32489620463895,750.0992092973445,281.9225733551244,102.65243312608102,900.0303863947403,-229.76361247349314,192.8186151599528,1050.00226825218,-52.132168386669406,-295.5272153085834
calibration_00001,-1350.0024797261933,622.9226785660909,186.88929969378728,-1499.9728911654997,151.00987002541143,254.48005907422288,-1649.9917207217993,315.54634426491486,-107.90529034917161,-299.99401607775314,-68.05105249212212,15.081931215735183,-0.0369021956317762,-579.883966383157,105.3411493469735,300.0069524588813,-402.0682425316975,-382.9606702492273,1350.057804079424,631.8954119886938,190.11947670783692,1500.0155494564958,120.184896746131,280.3143300524432,1650.0071117556515,297.9451038561038,-207.94050274758825,-999.9994422441529,272.93115807778696,99.35725732485662,-1150.0143071371517,-199.07168646501844,166.95357916035982,-1300.030609248081,-34.49466372324935,-195.41793188485534,-300.0067440429234,281.86320222419323,102.65438235201212,-0.022240288459234883,-229.84022154605154,192.8364927331112,300.0178028685329,-52.081007458258426,-295.42740818592955,999.9598443653836,281.84244837571424,102.56895999361309,1149.9672244623969,-229.79301755646722,192.91531946816397,1299.9687640362522,-52.13394564170237,-295.39804731095103,-750.0331771252764,272.8938122540969,99.35901330803372,-900.0810665289504,-199.03475668801252,166.9881086725885,-1049.9502968191825,-34.553142976387456,-195.39159961890087,-299.9601416433629,281.8398137689879,102.51978376551018,0.03663203082433041,-229.85798780143207,192.82811358764724,299.96228300648994,-52.059451748934244,-295.4815364332692,999.9872284203343,281.9054446684108,102.54119847764977,1149.9692412743505,-229.7796931033972,192.7962197992663,1299.9778687915452,-52.10387505929086,-295.40384240359236,-749.9903878823144,272.9878278897248,99.294488156841,-900.037103382436,-199.0666548865406,167.0240546257859,-1049.9554746281387,-34.49812491232549,-195.41622010931482,-299.9705908341337,281.8757414529183,102.59039490879903,0.062053086446759026,-229.8090716542388,192.81630795775405,299.94794448258676,-52.057337109969176,-295.44495641285795,749.9214143329242,281.9188734366636,102.51165021164222,899.9847538096385,-229.79519548373324,192.805807326222,1049.9879432265002,-52.05292432343446,-295.47950210666187,-749.9970254221558,272.98696041228476,99.33570736497525,-899.982124716105,-198.94608840208667,167.01444335666486,-1049.9698025190812,-34.40491530406115,-195.46844144110904,-300.0186449215019,281.8594889755209,102.68702650520787,0.02575502473304668,-229.79844239784322,192.84302790194906,299.9745521739243,-52.09723960811461,-295.41223978334455,749.9494221857697,281.931816710873,102.59167841346216,900.0408323212062,-229.84377987771455,192.8912451267305,1049.9959752467655,-52.036054240500704,-295.4164964565377
calibration_00002,-1350.0060939932198,622.9518936545787,186.88182584923592,-1500.0401795837074,150.95470478893276,254.52777953228338,-1650.0572294515098,315.54267767434885,-107.87527848314562,-299.99570983213334,-68.05871843556318,15.089719178486748,0.00644150298056351,-579.8041441276193,105.3894438663911,299.9681244344336,-402.082854270527,-382.98564066272206,1349.9772021134313,631.9054436423532,190.15508550349352,1500.0284606999287,120.19902672917216,280.35620445446796,1649.9883328078017,297.90452284243537,-207.92781815345126,-999.9796556055229,273.0100600336162,99.26784886012592,-1149.9698412561208,-199.02907089865968,167.03302864861476,-1299.9209302964634,-34.51157483166201,-195.49439315229986,-300.0182002176965,281.83941600088747,102.66586834704651,-0.058168776960701274,-229.89191676615218,192.86058995079912,300.05756132410727,-51.999272218956975,-295.44854885784207,1000.0285671415802,281.9193273514221,102.59601714811005,1149.9712536336924,-229.82850727239176,192.80897025139797,1300.0429887606574,-52.1105482354237,-295.4307022854749,-750.0699422723415,272.8848983399441,99.34083448276674,-900.0418358360939,-199.1201744366998,166.87503697887647,-1050.0534642233747,-34.45876069584053,-195.52502361174137,-300.0080710211309,281.82611015238933,102.68222915156883,-0.0815065790236715,-229.86644439049184,192.82986187701286,300.0871987866561,-52.00947635867291,-295.41649973699236,1000.0544056565454,281.8528396363377,102.61757240980577,1150.017718131107,-229.7829238321834,192.77624705276563,1299.9852438775233,-52.13338180554041,-295.4909844441998,-750.0780139272482,272.8546901918483,99.33708249653188,-900.0861329639129,-199.10202235156234,166.92025780642766,-1050.014142165879,-34.42208369512441,-195.53398054208296,-300.05237621217,281.9988941667384,102.67225811704446,-0.049226938709807835,-229.85116819034963,192.84509734262883,300.07939667566546,-52.12260309100927,-295.3953439693963,749.9828484406471,281.80820053707504,102.80937293221955,899.9321838435025,-229.8179558970215,192.92982177092753,1050.1183751276087,-52.03447915306818,-295.2173389928305,-750.0363174691773,272.8897084306623,99.34073435080332,-900.0163405993505,-198.99179329330462,166.9559641558311,-1050.01999581576,-34.48846621578215,-195.35945792160226,-299.9894544805489,281.9075323735674,102.65752060193218,-0.01774702502993333,-229.77997740343304,192.8215804073602,300.1019837446774,-52.13043050364432,-295.50742688284015,750.0008529710452,281.91098653955214,102.63075307859138,899.9814301419591,-229.75437638265618,192.83949312741558,1050.03130682202,-51.991298113531144,-295.3346236540946
calibration_00003,-1350.005818842191,623.0719273748291,186.91653567144448,-1500.0469664185023,150.93574953984316,254.4536701817271,-1650.0249756117905,315.51435458920264,-107.89619237618543,-300.0088733199117,-68.0999781920311,15.10828785177558,0.02482863258652237,-579.8097054753565,105.34550166101835,300.0174582963814,-402.07263267230866,-382.92862661188383,1350.0364650201577,631.9112170538444,190.12318690739212,1500.0186021557588,120.16476425416259,280.32386867892495,1649.9948873452981,297.87901017419813,-207.9341344562082,-999.9027350862847,272.8718690033979,99.21431651189802,-1150.036186438971,-199.05025720785525,167.04949774218719,-1299.9928504570837,-34.486316576080014,-195.36118791559963,-300.02280448944754,281.8786853213283,102.60467391946612,0.006432820249508588,-229.84579391186563,192.89967033352295,300.00060654441035,-52.05676845188475,-295.4975561255293,999.9025661669039,281.8812893979369,102.62418232848113,1150.0181866991632,-229.83242223131595,192.88135033397825,1300.0063938544688,-52.04906276094671,-295.36191393811663,-750.0196720190714,272.87499450480647,99.37679766604101,-899.9235556041837,-199.17058083727676,167.0508691205304,-1049.93777506747,-34.56207455850062,-195.36582027897435,-300.02847805271733,281.92411278933594,102.583766968417,-0.01601212768958461,-229.7723740326905,192.86871025311595,300.00220533141396,-52.145358064193054,-295.4618669647199,999.8908198374561,281.8272977217652,102.58997339640545,1149.9953117269679,-229.814366934109,192.865495884901,1300.0482479626944,-52.05480203150238,-295.46090519977724,-750.0687473246295,272.9522312364778,99.36969895348646,-899.9649026561787,-199.11869149329203,167.09223070990828,-1049.9853970580937,-34.5017388364987,-195.4155750239201,-300.05645279339245,281.8507832937781,102.61331105858463,-0.03354671139575416,-229.8735654920221,192.93880973041405,299.99586130161623,-52.146837343181836,-295.45114115626893,749.9880948654826,281.9149013418637,102.56159840248662,899.9657440621439,-229.82554171618008,192.8539068716522,1049.981174409087,-52.2292909619118,-295.519375447447,-750.0705832115685,272.97483686336267,99.32245484566191,-900.0148245982128,-199.07748980483427,166.94779789764007,-1049.9070528968846,-34.504490641544294,-195.44773823062002,-300.0368063208392,281.9762837349421,102.61107476222305,-0.03564870702650251,-229.79889742153458,192.91113676960506,300.0731026953279,-52.01974141857213,-295.533559042475,749.9596802507108,282.01499328862354,102.61082379549428,899.9135233234088,-229.7571094571387,192.87637463159308,1049.9434256584339,-52.09468876406544,-295.45732642262186
calibration_00004,-1349.993888750212,622.949738748897,186.8573733789104,-1499.9983499547773,151.01003602059345,254.495796670685,-1649.9784319733035,315.5323289200184,-107.95686620599928,-299.9990540381157,-68.12471149241692,15.093223386892868,0.020035344628809567,-579.8126363405066,105.33670529738485,299.9512368948598,-402.05530455093356,-382.9155424737225,1349.9640847676671,631.9220707020872,190.06858353780422,1499.9922566226496,120.18105927563829,280.32151247147704,1650.0236012684645,297.90334021125375,-207.94458623307534,-999.9975749746874,272.97569125535705,99.36200523413943,-1149.9787496382298,-199.07292110988803,167.03589247292973,-1300.01961277023,-34.47124043860124,-195.38533473845422,-299.9210600725939,281.9529419998569,102.57834864263643,-0.031406515526043476,-229.8320464300593,192.82441337998185,299.99520511791087,-52.11009625709871,-295.43562457926146,1000.0684411028757,281.88167148503715,102.60103556616068,1150.0459606647037,-229.80850776844662,192.81091167196126,1299.9140279394926,-52.072662578988904,-295.4136958276459,-749.8922230512663,273.0656370530295,99.29899168345284,-900.0981306351623,-198.79298521198317,166.9782000534698,-1050.0194128951198,-34.2902039392384,-195.46476709054042,-299.98908765674383,281.8955045691014,102.5773090308802,-0.04560526645062019,-229.7684708061658,192.81253076838408,299.9636099087265,-52.095050372697166,-295.4652393967621,1000.0142614890151,281.857895279586,102.62588533464904,1150.0228379108603,-229.8210596420017,192.8392789154403,1299.9229016927857,-52.12518596179047,-295.37077489975644,-749.8766651033674,273.10231336177634,99.32153420109911,-900.0404496392799,-198.76507564556965,166.96135131659412,-1050.045706078712,-34.22450224152455,-195.46148962382844,-299.9777246374354,281.92793513729134,102.61139187500602,0.0019296622220169486,-229.7175823652482,192.7810709257644,299.9625463684341,-52.12630520153746,-295.49714383862164,750.0383128618191,281.97086412199326,102.53511618015884,899.9910189192288,-229.80104481851635,192.8021862511476,1049.9854433138755,-52.103145022630336,-295.45969032879793,-749.9135189242676,272.85843583418057,99.35362465497771,-900.0678937636939,-199.03310646104285,166.9487025238762,-1050.060160480132,-34.433288559880886,-195.45912138418691,-300.01526556848023,281.7946385591958,102.62623071283537,0.024283965332662028,-229.8369901740963,192.91643695091952,300.07338980121676,-52.18357337448146,-295.38937022849785,749.9291820941685,281.91580966332083,102.61652993431467,900.0413464550323,-229.810589678251,192.85094894701083,1049.933428942857,-52.10383928072207,-295.44932247215837
calibration_00005,-1350.0130917641732,622.8970966427253,186.85764253802157,-1499.9773843464798,150.999187515241,254.50386922674724,-1650.019778981608,315.6106172069744,-107.88194768915217,-299.93201987105226,-68.10811573412971,15.094523602146907,0.005224568674204085,-579.8610974316828,105.36401216861805,300.0233332666989,-402.08447117477385,-382.97655493349646,1350.0313271673886,631.921232140653,190.11964934533893,1499.9582097645687,120.19899872491517,280.35855448953527,1649.9686262366615,297.90173643362425,-207.89146730133976,-1000.0160208865168,272.93775263286307,99.37214498193156,-1149.996477719147,-199.066475796882,166.97748870503702,-1299.9411019432198,-34.51882557463032,-195.50463072284717,-300.0316140691512,281.8876578443859,102.61690102791904,-0.003609559505142721,-229.7622834893853,192.8690195100819,299.96162453067086,-52.14590978105945,-295.4354011280774,999.9834767945827,281.8560276486232,102.5010208522076,1150.033531385881,-229.79828147953873,192.8129805325345,1299.98955675,-52.09954415948909,-295.4469980129371,-749.9392808627903,272.94511383532875,99.31378477722292,-900.0005736068042,-198.994852599139,167.15087234664924,-1050.0816554890093,-34.598331552111716,-195.29693880561945,-300.12009435076294,281.82878264544684,102.59156239942362,-0.06809080001981804,-229.73536168655735,192.97003006233257,299.98633833807395,-52.04875598461281,-295.4862957883537,999.9586625675,281.8630851874309,102.49863801453107,1150.0143479767085,-229.8022793830034,192.82634313069136,1299.933187136601,-52.081039494858345,-295.47961453488125,-749.9590630752479,272.92058571867193,99.38055328252655,-900.0010605741483,-199.00293067498106,167.1092093089809,-1050.0412675505643,-34.5679553659767,-195.32258017933276,-300.08198308223814,281.8778850763225,102.56107071805842,-0.041867777890511756,-229.7835603084929,192.9280708538958,299.9757691441217,-52.07615727507131,-295.47190258262117,749.9241674481442,282.12733608031795,102.54338240320912,900.0079321849872,-229.46120119011604,192.81308228090168,1049.9432896229641,-51.851725166366485,-295.4284601325426,-749.8897703696839,272.97800924169684,99.33814831940373,-899.9704121703993,-198.9129763843329,166.9724590514546,-1050.0403108582732,-34.41977963834948,-195.37505846612174,-299.98442437432084,281.83392644828365,102.61449932781241,-0.06404702461145344,-229.91876079754994,192.81057367352022,300.0610360239399,-52.18926584739233,-295.4865196015041,749.9343055574994,281.8587044619329,102.61656545415606,899.9696742887305,-229.77506407897178,192.8397039636634,1049.9038034289454,-52.07379221160078,-295.35425973000457
calibration_00006,-1350.022611027819,622.9561869487115,186.85421065926332,-1499.9931779768665,150.95302767217342,254.47062027121007,-1650.007331637897,315.5236667787252,-107.88804206584041,-300.0204284756456,-68.08707927675823,15.111830489693888,0.022417544874706298,-579.837556836377,105.33846693030937,300.0205597396248,-402.1188343337222,-382.92687853634305,1349.9913689119103,631.9208976975291,190.12055481579827,1499.9840165872167,120.21679423722395,280.37511462797653,1650.0672368623905,297.9301810733141,-207.9407890180546,-999.9827576641101,272.9763474494992,99.35388781499084,-1149.9776617258358,-199.041905965095,167.00136852413686,-1299.930492561459,-34.48947868926949,-195.44087599997957,-300.00547897567253,281.90684721756077,102.61083074043616,0.00024711587242996075,-229.8330862271045,192.84347653578297,299.97555365489995,-52.11944009537676,-295.44615764810743,1000.0308509185346,281.88860259841516,102.57242448014183,1149.9809107151245,-229.8222621429366,192.79184706816613,1299.9278070705827,-52.118097165363835,-295.4531152772616,-749.9865458012953,272.9605103384672,99.36736615297234,-900.037703661239,-199.01418021672336,167.1671128720203,-1050.0652350874134,-34.409280811269944,-195.33182203125298,-300.02487192893,281.9015106662129,102.57139476060298,-0.04953105481618685,-229.80466012256537,192.83221555355215,299.97922128161525,-52.0569705789359,-295.45962537083165,1000.0319830906735,281.92805106065333,102.53665473742598,1149.9964088907866,-229.84307911927846,192.7499070001088,1299.9168505407213,-52.1470939517304,-295.4567109872259,-749.994239763475,272.97401933118056,99.30892119823535,-900.0008620852279,-199.0202856780454,167.12006735839842,-1049.9952092825831,-34.36349097360861,-195.39056263883995,-300.08839443344215,281.90883300256337,102.63093890638146,-0.048818836480663416,-229.7819500003603,192.8371900087215,300.00366640745534,-52.049719851129275,-295.4700063744459,749.9712939899263,281.8589850950727,102.63971641012674,899.9489656318925,-229.82834462368078,192.88149667622014,1049.970560697883,-52.022474610873,-295.4187577088963,-749.891675364476,272.9102039372124,99.3315371958292,-900.0287970717252,-199.06148400801345,167.0034825060265,-1050.029209790774,-34.41607024065529,-195.3826447831189,-300.093477296245,281.91260312343445,102.52247345004422,-0.052326007668927435,-229.77730879662886,192.81939346527577,300.0280960073598,-52.07374102961732,-295.49196688205103,750.1051219865009,281.8062312435664,102.61936292999609,899.9571863023037,-229.7280376507441,192.82725955088483,1049.9969840646418,-52.07427176484901,-295.41730586627136
calibration_00007,-1350.010505511337,622.941580445709,186.88610789340393,-1500.0027316454268,150.9809396103529,254.52590443123538,-1649.9886723965576,315.539528287203,-107.88501979292366,-300.03060170319355,-68.08954211579608,15.161013833853737,-0.00845230253200306,-579.8147341590355,105.32970144305077,300.017992058768,-402.08103626861873,-382.9303952683068,1350.047167205785,632.0312284748858,190.11555487535327,1500.016199375285,120.18108661845422,280.3606458775875,1650.0320775523721,297.8607149181666,-207.93885788752362,-1000.028709888336,273.0267748740329,99.27771808905418,-1150.0359852260037,-198.96676251885157,167.04734417941847,-1299.9980653059056,-34.51289800314427,-195.43998705383024,-299.99045227099174,281.9413542533807,102.55883650229053,-0.012113819914408595,-229.78251865814715,192.85258124129567,300.00969805878844,-52.1863242031411,-295.41291559856677,999.9239016214669,281.8597051109476,102.65793861212525,1149.9463391113425,-229.9004014696401,192.798715688286,1300.04275132268,-52.01030293846811,-295.4224576836657,-749.976437343618,272.9824330459312,99.31628082685543,-899.975399759934,-199.01538098798636,166.97601337947577,-1049.962580131151,-34.46093351310048,-195.41169398876386,-300.0701773506044,281.9039877119747,102.46884018674972,-0.014354496870361434,-229.79557654366323,192.81695474936365,299.9899514483329,-52.109853131085764,-295.5190008010851,999.9112001706033,281.8589120747958,102.59267059901778,1150.0238897908323,-229.87414951063462,192.8260023812038,1299.9840883818629,-52.0473065443225,-295.48628989572666,-749.9164237335788,272.99822118651326,99.26454182655235,-899.971267943414,-199.03648515340456,166.92146391062047,-1049.9555661039967,-34.4533659971881,-195.36913992838058,-299.96996847666964,281.9036964796969,102.56972966413859,-0.021910261652185868,-229.86775985332065,192.9178393554693,300.0576938780173,-52.14248707067297,-295.5061571203481,749.9632610346081,282.03704172287314,102.5597124778108,899.9326222586304,-229.67956917477903,192.8791753540698,1050.090401421904,-52.01941441977763,-295.4244859327562,-749.977857507592,272.99962611471744,99.39612448861698,-900.0124104211084,-199.00852484083543,166.9712670281158,-1049.926014294993,-34.409140648794306,-195.32147688103507,-300.0228014740909,281.8185959222901,102.64096474702457,0.002234368686057241,-229.8556830945413,192.84365709648281,299.9406637864475,-52.15065260630842,-295.4883084137978,749.9480451207022,281.90721593924394,102.59641534704743,899.8043927003141,-229.78217774143434,192.82410689766164,1049.990210302238,-52.02977621856849,-295.47341618538786
calibration_00008,-1349.9770614969693,622.9559816996613,186.832096876397,-1500.0157022617893,150.98576284941564,254.52193257447925,-1650.0188468724991,315.50887603191615,-107.9343584745365,-300.00914230582424,-68.114130665806,15.094755409226549,0.0069127775267545976,-579.7894443815185,105.31975997928005,299.9651288555102,-402.12599173483557,-382.95373834776797,1349.9867653498873,631.9142602008158,190.10964418009158,1500.0105096439277,120.19007692825068,280.29200185564423,1649.972877125757,297.9585719729366,-207.90383375863382,-1000.0245444781597,272.95188609455136,99.42643348293457,-1149.987602643725,-199.01744385011,166.964407909444,-1300.0302090541754,-34.432818396406866,-195.43324065757528,-299.9035069798659,281.8816843574811,102.54625563076738,-0.02376627068028697,-229.85537754789127,192.81570984622627,300.03169826728816,-52.10278845274236,-295.37302306047343,1000.0166200241372,281.83534799913133,102.54202766018491,1149.9496933981054,-229.79956011659007,192.8669855229583,1299.995027962362,-52.172931097387995,-295.40130837866536,-749.930606360944,273.0314005411482,99.20874767955709,-899.8846282063305,-198.90140297559992,166.83241945265985,-1049.9378807083283,-34.40849077696778,-195.6543385216604,-299.91495914517316,281.9129924776343,102.58187408520067,-0.06537587655380436,-229.79851130832347,192.82820250219467,300.07420141462416,-52.12636562735011,-295.4359627774736,999.9874111809689,281.89478323631056,102.54510785421392,1149.9993813144702,-229.80907160962076,192.88686938430084,1300.0040592778728,-52.130932319787156,-295.4579847928338,-749.9788416133933,272.9727732474703,99.2596159554335,-899.9286480031296,-198.99697188225812,166.81034241636928,-1049.9565742654136,-34.34626986141909,-195.72113044740797,-299.94254760959865,281.81926662544055,102.57095320708441,0.08188258367051528,-229.85838178800373,192.78029791497943,300.04811183004915,-52.12169303582456,-295.3662861527466,750.0721577271278,281.79455132459225,102.72745029829669,899.9565057962996,-230.0393754300397,192.9649284835284,1050.028360898162,-52.24299759811657,-295.38232042336983,-750.0119298243841,272.9484279255519,99.27769073044583,-899.9764337672635,-198.91980500152943,167.05839226759366,-1050.0341524236778,-34.51146467254737,-195.39491348157486,-299.96424529749277,281.82582995631714,102.61135197235673,0.09860898235427584,-229.70730824995468,192.81664502286174,299.9527921342656,-52.0020875733371,-295.4032170941625,750.0410243979283,281.9217081672716,102.53711057444274,899.9396801061785,-229.85682844853386,192.83960778555874,1049.9369187510533,-52.102585244621444,-295.46726342434727
calibration_00009,-1350.0352569699535,622.9379476874849,186.87674659184685,-1499.9822505612474,150.95240095083088,254.51578429875917,-1649.9439808344712,315.5634559442698,-107.92788129638755,-299.97803018447496,-68.12636546594584,15.13288140352086,-0.013574242258031284,-579.7798476128468,105.36332319875808,300.0132266699797,-402.0841637828551,-382.96013182369217,1349.9778919964363,631.9459022051293,190.14259186065235,1499.9868557836007,120.20886802132408,280.38582447414956,1649.9903867017176,297.83811756042013,-207.9881186995633,-999.9857421386149,272.985593169594,99.32313696406091,-1150.1047979272919,-198.98784625477606,167.07334215932727,-1300.024558952533,-34.501172990898326,-195.35918043722862,-300.0376391129512,281.9108116981462,102.50846510338798,-0.024116763861676604,-229.78038432968484,192.842639101581,300.0321557265967,-52.120490664911685,-295.48634780552965,999.9828439904062,281.923659486184,102.6169520063968,1150.0227131043764,-229.84167545282045,192.84331276873883,1300.0299744614974,-52.075054166648506,-295.47501580536743,-750.0065162420248,272.91399437878556,99.25165530201627,-899.9861211207677,-199.0156329860045,166.81439527807518,-1050.0240267527304,-34.553652955086484,-195.46453870250397,-300.04133248610555,281.93053166421953,102.55037707744235,-0.0030280790984489347,-229.74745655230666,192.7336336973259,300.01056138951236,-52.1690050019184,-295.4412084677443,1000.0678507617787,281.8360380490726,102.59634875959526,1150.0085103657111,-229.83370252932676,192.81944368612744,1299.9721849326954,-52.048216195859155,-295.51769084224696,-750.0390646017231,272.90853681155903,99.21005900847868,-900.0011109092246,-199.03794028110454,166.9131321632803,-1050.061832453543,-34.56885676489478,-195.5042674896095,-300.01641954191416,281.9262590950818,102.49291595962296,-0.038951722123566644,-229.77107814564545,192.8071866733807,299.9841310165545,-52.12525692738322,-295.478689744919,749.9677037271779,281.7582332235932,102.58796204965353,899.9705647855596,-229.7832323623314,192.90923318674592,1050.012720944404,-52.112533229048104,-295.471174514243,-750.0088716136257,273.002445973005,99.33284026224723,-899.9755892196051,-199.01298985903844,166.95828826090278,-1049.9990424869875,-34.4118681796215,-195.39790368123204,-299.9700739408719,281.8599878357027,102.55768335391328,-0.008372070074566064,-229.6888108518478,192.83161205270673,300.0009559448806,-52.093724887622166,-295.4372645724251,750.0503602538677,281.85858077461876,102.69414891045693,899.9620767638149,-229.80671141707288,192.8917776553241,1050.025687225885,-52.067923361948864,-295.4286555970558
