sample_id,s0_A1_x,s0_A1_y,s0_A1_z,s0_A2_x,s0_A2_y,s0_A2_z,s0_A3_x,s0_A3_y,s0_A3_z,s0_B1_x,s0_B1_y,s0_B1_z,s0_B2_x,s0_B2_y,s0_B2_z,s0_B3_x,s0_B3_y,s0_B3_z,s0_C1_x,s0_C1_y,s0_C1_z,s0_C2_x,s0_C2_y,s0_C2_z,s0_C3_x,s0_C3_y,s0_C3_z,s1_A1_x,s1_A1_y,s1_A1_z,s1_A2_x,s1_A2_y,s1_A2_z,s1_A3_x,s1_A3_y,s1_A3_z,s1_B1_x,s1_B1_y,s1_B1_z,s1_B2_x,s1_B2_y,s1_B2_z,s1_B3_x,s1_B3_y,s1_B3_z,s1_C1_x,s1_C1_y,s1_C1_z,s1_C2_x,s1_C2_y,s1_C2_z,s1_C3_x,s1_C3_y,s1_C3_z,s2_A1_x,s2_A1_y,s2_A1_z,s2_A2_x,s2_A2_y,s2_A2_z,s2_A3_x,s2_A3_y,s2_A3_z,s2_B1_x,s2_B1_y,s2_B1_z,s2_B2_x,s2_B2_y,s2_B2_z,s2_B3_x,s2_B3_y,s2_B3_z,s2_C1_x,s2_C1_y,s2_C1_z,s2_C2_x,s2_C2_y,s2_C2_z,s2_C3_x,s2_C3_y,s2_C3_z,s3_A1_x,s3_A1_y,s3_A1_z,s3_A2_x,s3_A2_y,s3_A2_z,s3_A3_x,s3_A3_y,s3_A3_z,s3_B1_x,s3_B1_y,s3_B1_z,s3_B2_x,s3_B2_y,s3_B2_z,s3_B3_x,s3_B3_y,s3_B3_z,s3_C1_x,s3_C1_y,s3_C1_z,s3_C2_x,s3_C2_y,s3_C2_z,s3_C3_x,s3_C3_y,s3_C3_z,s4_A1_x,s4_A1_y,s4_A1_z,s4_A2_x,s4_A2_y,s4_A2_z,s4_A3_x,s4_A3_y,s4_A3_z,s4_B1_x,s4_B1_y,s4_B1_z,s4_B2_x,s4_B2_y,s4_B2_z,s4_B3_x,s4_B3_y,s4_B3_z,s4_C1_x,s4_C1_y,s4_C1_z,s4_C2_x,s4_C2_y,s4_C2_z,s4_C3_x,s4_C3_y,s4_C3_z
train_00000,-1349.9854640944045,622.8786138556821,186.8196426915456,-1500.021305724818,150.95549613849542,254.47216933511984,-1649.9931961918,315.54116255971076,-107.89757744373362,-299.9973676266479,-68.10433856531029,15.153138484952526,-0.018059887979001706,-579.8165685731116,105.28192514234739,299.94916393223224,-402.12463740829673,-382.9186856253433,1349.9818663648532,631.875562347353,190.09668276047185,1499.9786536142383,120.23953330799479,280.32289599916766,1649.9807865777232,297.86841449228655,-207.92868254326564,-1000.028110259736,273.0044437797496,99.39171849166053,-1150.0247628935685,-198.98906495326142,166.9965197155305,-1300.0112778348719,-34.51239920936992,-195.3903833057271,-300.0570192772441,281.9365036792121,102.54120954364454,0.08588359304209156,-229.79043013430527,192.90380760169293,300.0314133621291,-52.12443230614188,-295.43423258732804,1000.0144093541602,281.88419815165685,102.60998797597013,1149.959724721462,-229.82246152800357,192.80565651301302,1300.0178864031743,-52.05080219530163,-295.43715786989657,-750.0028036808415,272.8831820211531,99.38045626688395,-899.9311785714036,-199.0924196155051,167.0892027150371,-1050.0191777977238,-34.686484640322064,-195.40752531852507,-300.0118179837457,281.97662174964245,102.46894363057338,0.04721670021083031,-229.72012724160757,192.90219549148986,299.9868471789983,-52.109674310757406,-295.39726943101834,999.9962045241595,281.89223067385694,102.58223161417158,1149.9283034627192,-229.83652899811494,192.82309898588915,1300.0407858307701,-52.074182371346055,-295.4492713340949,-749.9849639497235,272.8668243929059,99.34487380007567,-899.8895065878899,-199.04885141037906,167.09008757637247,-1049.9323450288775,-34.62974518947803,-195.43838295799156,-299.98058130319635,281.90250666811113,102.54958475527717,0.07279243305251222,-229.78888898432209,192.97031668905086,299.96930557913447,-52.104866464194146,-295.4137377545691,750.0292076478344,282.1630787880696,102.49685064541987,900.0329913700567,-229.57673369261,192.93399964382746,1050.0051316424613,-51.97527968100254,-295.4382331792373,-749.8797156156295,272.8871226874443,99.427140375066,-899.948672954573,-199.0108754875509,167.0533712670344,-1049.983848651789,-34.447529672636904,-195.51521909832584,-300.07135167198857,281.83434572405974,102.5893373377983,0.07851043275718929,-229.8300852757327,192.82739701352148,299.9560886846286,-52.143439254821104,-295.4438122613126,749.9652519109173,281.92231567328804,102.54891971683048,900.0372442725159,-229.802167807558,192.79194333393556,1049.9771019428567,-52.03657206978754,-295.46483997757434
train_00001,-1349.948821891139,622.9418138285721,186.83661965339058,-1499.9536749023205,150.98537875951516,254.51262385391297,-1650.0092017102618,315.5427965088987,-107.90228937111962,-299.97577110261193,-68.03503744020229,15.09584475305136,0.001527563521299539,-579.7863507302227,105.3343672762672,299.9358527671734,-402.0575916441691,-383.0136130504965,1350.014967616063,631.9457285403588,190.08489250292956,1500.0199438025534,120.22570339043473,280.3519862397197,1649.9779153681648,297.89311034898657,-207.96060187056193,-1000.0438867337277,273.0159965002889,99.33658690140511,-1150.0275877930385,-198.99897165813485,166.96000941900311,-1300.0052290400022,-34.38134929123859,-195.4487566389207,-299.98544228673177,281.78974443224087,102.54323900299153,0.062488288344672634,-229.87401517242913,192.83655711361172,300.0552437458358,-52.1286314572184,-295.3546651480935,1000.0160600995174,281.9827540143153,102.58048948517106,1149.950359990601,-229.8184016513471,192.81296698864261,1300.0271515513143,-52.10040591672049,-295.4366988044202,-750.0036909367489,272.762975195042,99.2488447167698,-899.9794561401728,-199.19794651496858,166.9703224252831,-1049.8889373376194,-34.77443609008628,-195.5609653221847,-300.0308590874661,281.84122422344655,102.59861788618538,0.013462304348709861,-229.87338756501802,192.8635922419036,300.06477270288224,-52.13979237921015,-295.3950998414541,999.966576856381,281.9913771242986,102.62005797956367,1149.9161215275399,-229.86062507570873,192.87400693441398,1300.0215304238845,-52.108748413411206,-295.51965191423807,-750.0448952060755,272.7100600083565,99.2646248173873,-899.9490196508381,-199.20781992586276,167.02251014445972,-1049.8946968614675,-34.713426913349046,-195.53636543135892,-300.04826478795184,281.826376864036,102.60370840314312,0.0025761816211824218,-229.890748463296,192.7740091365309,300.04142861978954,-52.106345719623974,-295.3441904519666,749.9231823560575,281.9059826645117,102.66978247698934,900.0939482646627,-229.86753831825717,192.99832967125448,1050.138947676688,-52.11525008599241,-295.29640324573126,-750.100104697097,272.8988545171385,99.25774166964923,-900.101535160277,-198.97436860518056,167.08391287524353,-1049.97663948383,-34.46634205003575,-195.45404047410588,-300.00804942384065,282.02378530493667,102.5430717344293,0.039273676817333215,-229.68049916264852,192.7854966402804,299.86072716398303,-52.0271623199658,-295.46896443684375,750.048581438288,281.9514745385185,102.5694851315881,900.0070070987974,-229.84092694954688,192.96124198350313,1050.0678464665505,-52.058512722807464,-295.46896925129164
train_00002,-1350.0097135178783,622.957104801187,186.89905731196853,-1499.99859679098,151.00106593854085,254.52111464822383,-1650.0422438682795,315.55396023472366,-107.91151598153841,-299.9756170233787,-68.08957109739009,15.10320477823688,0.03727075119360687,-579.8471860250065,105.32944140691373,300.0312435590287,-402.0678809639193,-382.926514596498,1350.011058647153,631.9256025516975,190.0608782623296,1499.9414706579216,120.23931726427698,280.3301680001845,1649.9460576270542,297.9013255416011,-207.91992114725772,-1000.0145105944515,272.961519167396,99.30633998947806,-1150.023842052642,-199.0982635687492,166.99152772110023,-1299.9785949421503,-34.449710445082616,-195.4062386584196,-300.0063183497257,281.9222423282159,102.57429377199557,0.009882509014223564,-229.8270538929305,192.79188480981935,299.9590568771924,-52.126255814755176,-295.4947635911575,1000.0461773019338,281.7898307507423,102.6793770191452,1150.0252675695451,-229.86444973056624,192.75029679262116,1299.9829545520195,-52.0880127156415,-295.41690962273054,-749.9829191289215,272.91916776721513,99.3553548908044,-899.9764863876275,-199.03877362639597,167.01842470563167,-1049.9915677584997,-34.378405530154815,-195.37071425762605,-300.0249326865061,281.97070107333826,102.49967527376859,-0.005624631405384188,-229.75546689204134,192.83860135345574,299.9664504464072,-52.137701815757744,-295.5042979953652,1000.0695224168788,281.80448336038125,102.56413161373548,1150.003451295072,-229.86863562215584,192.79781607985151,1299.9366594196993,-52.03144356347426,-295.44199774702906,-749.9020752403242,273.00010326403145,99.35919486644646,-900.0385547297158,-198.98937244852593,167.0089567690118,-1050.0132808201402,-34.34727826785624,-195.30165215661816,-299.98005094396126,282.05976635390886,102.44942406528676,-0.015023410603743723,-229.7199602454576,192.88729492834975,299.91479695018575,-52.032201310527356,-295.501987355839,750.014824667357,281.8634915009303,102.38748212745689,900.0761829839186,-229.7061663481373,192.80781973347635,1049.9388645518186,-52.118600889499824,-295.4198043652262,-749.9450064661827,272.91800339845724,99.40330832630418,-900.0300677074589,-199.1107960176488,166.90669010991743,-1050.0031609354899,-34.43739870449098,-195.4208372737252,-300.0687829814555,281.8919603701043,102.57821761582898,-0.006312132136270368,-229.79933720175435,192.92437653191845,300.01600505954156,-52.06490342301315,-295.5109423783036,749.9567767047064,281.8356736807847,102.50872398212034,899.952324555904,-229.80713972678575,192.86163010712892,1049.9182108284936,-52.05663626639518,-295.4030691377365
train_00003,-1350.010393289603,622.9420599493386,186.79460081443878,-1500.0060382489971,151.0026421478715,254.47520347403852,-1649.904109898148,315.51847273100543,-107.91432103555319,-300.01822027601713,-68.14128901419762,15.115111528884691,0.019637493454117947,-579.7864119026797,105.42980789319843,300.004417066813,-402.0973485789246,-382.9712532980832,1349.997638326288,631.9829295754613,190.11540830852465,1499.998594397047,120.1840964188698,280.3649170976579,1649.9774021425621,297.89280044855576,-207.9498761346649,-999.9607084054686,272.93592806460543,99.43997940847404,-1150.019458673642,-199.04754962276795,167.00627997314524,-1300.0565752414327,-34.425575922849326,-195.35319551519325,-299.97156489547274,281.91786032920896,102.5628116850572,-0.06479181221596586,-229.8149290219511,192.7452055857496,299.954132716258,-52.05209089484502,-295.43398098008424,1000.0052764296476,281.85450996914545,102.6425145855602,1149.9650273605132,-229.82583692972082,192.79013928300827,1300.057527589041,-52.1042363135089,-295.4336883705628,-750.0963450016212,273.03894258201666,99.25433730759052,-900.1083966388562,-198.96389468764366,166.87851649687008,-1050.0412304357208,-34.368793038439826,-195.66267799144234,-299.9729527742534,281.9351826288592,102.55648850788437,-0.03144929003685771,-229.77163480934553,192.78543878429758,300.00807843345524,-52.07459765782999,-295.5470161365303,999.9913185088069,281.8022792526704,102.56164244762901,1150.020273415714,-229.83494932412924,192.8598280222882,1300.0607772238473,-52.10519396963963,-295.35900175770615,-750.076578597844,273.02018090328835,99.29262537426085,-900.1300013096998,-198.90361643751476,166.91224321239662,-1050.0629420828873,-34.34757074235681,-195.55030287196305,-299.9429339581474,281.8914994658121,102.5204722864531,-0.05046910423028405,-229.79736581755665,192.79886858851685,300.0442284904457,-52.05267616332648,-295.50438997091675,750.0654302517814,281.8983010972944,102.48338790788914,899.9300739199219,-229.88426972989245,192.75080808648352,1049.9222103764607,-52.05930979946568,-295.5671752680739,-750.0328051344368,273.0050712593217,99.32400339271953,-900.079399926943,-198.97671303351257,166.97988071960538,-1050.0333666541767,-34.43929903264684,-195.5221660913309,-299.93809466330623,281.8527910972033,102.66223305384207,0.08336469196831595,-229.8019574442851,192.8587370699039,300.0232388253986,-52.114889345525086,-295.38386394860237,749.984475892817,281.95706349575556,102.61453317637593,899.9520561462926,-229.82310582596799,192.8531479443036,1049.981492465682,-52.070592481957206,-295.5669130240861
train_00004,-1350.0384229246706,622.9261887296192,186.83753826636283,-1499.9959916445791,150.9714326323492,254.5047848592282,-1650.0086096008656,315.5691697693895,-107.98368797469132,-300.0395012730563,-68.09786834734969,15.157660199428452,0.02249264897992677,-579.8225422156434,105.36667320177237,300.0548997144207,-402.1303410104805,-382.97187732420554,1350.033626861979,631.9165475164425,190.0797835368132,1500.0181555703803,120.19615998850635,280.33204679675987,1650.0186604651774,297.954430785782,-207.9042923525417,-999.973611890324,273.0050651115567,99.4036510207226,-1150.0053839538027,-199.03307841386373,167.02338883588877,-1300.0035868434015,-34.464593503881424,-195.41625219433047,-299.9479269296189,281.94451258448015,102.6170218210899,0.03956813349615905,-229.72271732739938,192.80682921046505,299.9922660103243,-52.135754243931956,-295.4257707424016,999.9648001561452,281.89374012249704,102.60810585494944,1149.9977309043854,-229.79457028561978,192.86558051442398,1299.9807317799637,-52.09690504498985,-295.4660655054309,-749.9083170700094,272.97013675222706,99.32785448589728,-899.9255517471995,-198.94121064253358,167.01507105452754,-1050.006947369988,-34.330431952146455,-195.25728626271558,-299.9977226233154,282.0037822487901,102.52457916757798,-0.02072295667144396,-229.76328186927367,192.8142795963805,300.0091758275005,-52.12875387483028,-295.38778423707623,999.9262871086622,281.90995056544733,102.60785771228151,1149.9902927026487,-229.85984830572676,192.8753140173847,1299.9284213676315,-52.11133069447954,-295.46979431848024,-749.8333570245914,273.0008445580556,99.2932714160747,-899.9443046225841,-198.96579437858364,167.05145138100724,-1049.9963092314476,-34.32674894261918,-195.2562293315551,-299.9600593152741,281.89950919218467,102.49891371932485,-0.04210740414144162,-229.74456953352365,192.82594148454103,300.04342289175446,-52.123034621973034,-295.4385220284247,750.0180321101452,281.83151831381895,102.64405262789008,899.9292909985053,-229.8984707704598,192.96218750668345,1050.088651936464,-52.19427090395925,-295.2909526456447,-749.850267420176,272.89286782231625,99.32922664845744,-899.9269043488815,-199.09916493048038,167.04321099024887,-1050.0935422778791,-34.466293346682164,-195.27741612019432,-300.10556511881026,281.8985506526244,102.48175628069443,-0.029368871555579722,-229.73402395726322,192.72954768407737,299.996865549736,-52.11768951753501,-295.51578546070607,749.9264200086036,281.9950756107711,102.56653308257489,899.9433675856959,-229.8165864567513,192.91543091463882,1050.0308348171716,-52.057584860061624,-295.34700599000513
train_00005,-1349.9837210854494,622.9615586716004,186.8188926932233,-1500.0577723765157,150.9807008566383,254.45574617920596,-1650.0108062991897,315.52171571258305,-107.92652772867969,-300.0373691031498,-68.16897889619887,15.070219974279688,-0.043674797041431075,-579.8045759867555,105.33462344234154,300.003239341917,-402.11668394160637,-382.9494848586258,1350.0379203983296,631.9269459543517,190.0716753604324,1500.0656379660911,120.16976063470288,280.3450687159685,1650.0021929688849,297.86649152379283,-207.94685358001254,-999.9825692284414,272.96973443127223,99.41624112550201,-1149.9555758341412,-199.04640300811988,167.04001105132565,-1299.9849440214568,-34.40395301741239,-195.31018600317984,-299.9943710427503,281.9769726738995,102.65806524861841,-0.005797978446763365,-229.7462034439065,192.84933167073268,299.9865804200343,-52.072282899984764,-295.45039969856697,999.9427115944206,281.98547745153957,102.60224580988572,1149.9797811811395,-229.76601544849152,192.80607684806319,1300.0635186028067,-52.088101741308776,-295.37436343846286,-749.9941291368362,273.09861208295604,99.34839983034706,-900.0709198889467,-199.0054420969995,167.02377628964558,-1050.0564247817404,-34.43739538286845,-195.44495325205602,-299.98145360892363,281.90194797053493,102.646338270786,-0.029269760918792596,-229.7513083285486,192.90055079488798,299.97320180111063,-52.00608684133582,-295.38183866642726,999.968648885806,281.9911789802861,102.65766195067715,1149.9788949968379,-229.77972667715764,192.73990411204989,1300.041996001324,-52.00090771443717,-295.39299468770577,-749.9433619163822,273.077420642172,99.3787610090971,-900.0484789197884,-199.01212567584562,167.05371790361934,-1050.081241681609,-34.44836407731562,-195.44550403259396,-299.91242021514483,281.90536275566996,102.68447200715313,-0.049221053932979264,-229.76495622586904,192.94752336730087,299.91682347434715,-51.95378202185256,-295.3585159748825,749.9834728216803,281.98692347444324,102.67351742542891,899.9621438910897,-229.77401833319772,192.91838384204794,1050.009066073616,-52.14223264682664,-295.34183647805344,-749.907652900093,272.99726033946587,99.30496500313687,-900.0149301245366,-199.03339406751212,166.97606143445276,-1050.0801433997763,-34.47390657700166,-195.50609868657435,-299.8601617541463,281.8767250875946,102.54996183832661,-0.06663706202196386,-229.84358019717467,192.82925791664772,299.94663468414956,-52.04480319082258,-295.4663279757355,750.012907553354,281.9735992234399,102.54478811313584,899.99374590779,-229.78938982262378,192.87079582442706,1049.945305650873,-52.144985719253356,-295.45900312843116
train_00006,-1350.0207404104758,622.995657992922,186.8746476220041,-1500.0219584810027,150.95077763957016,254.51524191292637,-1650.0148920984432,315.55810239919634,-107.90869603776987,-299.9876869709587,-68.01871306810635,15.09331130949348,0.011773397777828563,-579.8333059254533,105.32488894492197,300.02392450230246,-402.03050777225985,-382.8928150628047,1349.9895242815937,631.9293160697866,190.08617491399102,1499.93577725859,120.18878443845315,280.34132892492244,1649.9864688933762,297.9060362614916,-207.95782463144587,-999.98956034354,272.96962006782206,99.29753566785344,-1149.9705948939284,-199.02868346975657,166.97617646407122,-1300.045665679792,-34.48713548059325,-195.49042782300634,-299.9991555039384,281.88674610796215,102.5989019203621,0.03834119214489139,-229.81058994411634,192.83174854246448,299.98811034810905,-52.16237943238874,-295.51636915522573,999.9939949826221,281.88571375777633,102.66493918081389,1150.054957647234,-229.89032382510635,192.8664707160963,1299.990810633678,-52.09643537170094,-295.47531101625566,-749.9923327462249,272.98842641074395,99.41848350490963,-899.9949155368721,-199.07579825107445,167.16749777852905,-1049.945443828544,-34.5493287540984,-195.24319553080767,-300.03240583020454,281.87032486670034,102.5725182326314,-0.04773293510645039,-229.8077990278114,192.8775008136027,299.94563726440435,-52.166974809181745,-295.5316256005972,999.9559422753655,281.8987638681348,102.58091330686757,1150.01923181129,-229.82953954261342,192.81554567034001,1299.9766676202837,-52.05825951357774,-295.3875175894818,-749.9731680590866,273.00395646618097,99.50507284009358,-899.9892323720476,-199.0344009592391,167.1150908326765,-1049.977020973225,-34.595719196755766,-195.25229838558835,-299.9989001886295,281.86926244020793,102.63571567977641,0.023545693609002445,-229.81015336952748,192.83655826370168,300.03157635759106,-52.144033078013756,-295.5077203309654,749.9520016879998,281.86463182828123,102.44961187044325,900.0645569860502,-229.76615231333562,192.76856069788982,1049.897329701184,-52.181769946560756,-295.56651298146585,-750.0115250843487,273.01158568868584,99.42339180097034,-900.0059390694332,-198.99561195948388,166.9797541589809,-1049.9364221944716,-34.49108764284925,-195.39880536346712,-300.0019167420544,281.89739124853025,102.5739661422098,-0.054104292196591325,-229.78632383466243,192.85717466353955,300.06408769890623,-52.0391406822994,-295.4646837947932,750.0342744802512,281.9009837004235,102.55598667396357,900.0652937057871,-229.81190697122312,192.88708487070335,1049.9322268975905,-52.114465061781,-295.473350792508
train_00007,-1350.0159344516937,622.9471702856395,186.84623860650754,-1499.9424267513264,150.9408241908599,254.46769800728225,-1649.9957306590518,315.52212761678123,-107.91990202206154,-300.01924989356155,-68.10954629233082,15.134031422601039,-0.039934100074875085,-579.8012006835705,105.3190096578767,299.98377281497415,-402.11212146792957,-382.98448072151,1350.0263715522822,631.9034623753378,190.12809019609819,1499.9925882260081,120.1549258577097,280.35110102758244,1649.982241515833,297.8898047424807,-207.97686215924452,-999.955296420756,272.89245372218863,99.3899621073834,-1150.0457347314077,-199.04437156899283,166.99572122499953,-1299.9582621842721,-34.51098180301638,-195.35834113373434,-300.01250312994404,282.00404938388306,102.57198696547276,0.013058415046069046,-229.82990787706277,192.85412773418022,300.1088471056955,-52.047455340822886,-295.37806713675246,1000.0004803178683,281.9434168998028,102.6257687665014,1149.935731794358,-229.74686729755362,192.86264773773206,1300.0743672118383,-51.977255928539165,-295.42739292274774,-750.0206383724778,273.11021917662845,99.10361917260323,-900.0328757583266,-198.93432442550161,166.7906555099521,-1049.9557129920038,-34.27419970538093,-195.65030895554574,-299.9749773105089,281.95978363452286,102.53460107418586,-0.058052199806527344,-229.86254824279996,192.88638413208082,299.9968265009169,-52.08240949435158,-295.37968600229783,999.9908528632544,281.9189839963143,102.59809895071037,1149.9170436928596,-229.8153724046859,192.84428315181756,1300.0370246474306,-52.08963391403394,-295.4748549345839,-749.935210201948,273.1320691008434,99.10308414295316,-899.9834068755213,-198.90055683349163,166.808326989938,-1049.948766280491,-34.33253279331516,-195.66883881680218,-299.9743291142986,281.9435505333587,102.60757765147734,-0.018233702718551945,-229.9053536860669,192.81191182083586,300.0370835454463,-52.127345272215486,-295.3470138397234,749.9838816036572,281.7784652215879,102.7692671734376,899.973827790291,-229.8671252256532,193.00434774567077,1049.9859985701426,-52.18482569670235,-295.24524244035007,-750.0751630246897,273.03895920208805,99.29968869680646,-899.9406036893755,-199.00662179338477,166.99030730100716,-1050.0184611664577,-34.46283190160607,-195.44478990512272,-299.99735346405447,281.9122607847755,102.65425376093816,0.08251155174904162,-229.90745048892765,192.8921562943044,299.9097222046285,-52.096908710887256,-295.4597999400341,749.9149595967993,281.79979982794913,102.60765350515433,900.0064270258092,-229.75987253070733,192.8097439528093,1049.9429644992986,-52.06153195189821,-295.46995636796163
train_00008,-1350.0227794917207,622.9774379181566,186.89946532506266,-1500.0454198896057,151.02956366513033,254.48121724398402,-1650.0064019551999,315.494755267886,-107.90278583920775,-299.99840439333633,-68.12406437128048,15.07968086878272,0.027786051335898024,-579.8653212007963,105.31905042081925,299.964465045527,-402.0590155836026,-382.94886133643394,1349.9762540265463,631.905968799476,190.09225417295502,1500.041790639399,120.18594718698276,280.3490113695168,1650.0270686405115,297.91371967542665,-207.93962750628867,-999.9949786500513,272.956102832286,99.28554136805624,-1149.9445688995854,-199.0723428707285,166.975199585329,-1299.9821885104632,-34.42609540258793,-195.38357269764248,-299.971275280708,281.9075336829888,102.56561399416614,0.010581144480177863,-229.79539113017628,192.91391014778765,299.9924519257607,-52.11951985829555,-295.4238792579129,1000.0544644426435,281.82899025501143,102.63241902118381,1149.9465184757307,-229.81613356829314,192.8654476777391,1299.9580246684827,-52.08840885296857,-295.456765543971,-750.0131287445788,272.9936091169599,99.31962752005929,-900.0432768687953,-198.9849779636229,167.0686897975862,-1049.942416672248,-34.48406315675959,-195.4452978217322,-300.07408435521086,281.97382422408396,102.61154575525877,0.035047734464697326,-229.78329882245828,192.85625620198584,300.02423529397754,-52.166625522865864,-295.45715975960536,1000.1345525727133,281.959010489008,102.56784667865674,1149.9588439982472,-229.818139940655,192.8802587623943,1300.0032520163215,-52.144896325729974,-295.4842849840038,-749.9944417944913,273.03679857958633,99.38198902628342,-899.9986604266645,-199.05728797667882,167.01538361409933,-1050.0264295968223,-34.48406944069987,-195.45197626948038,-300.05216583729907,281.9387895955503,102.57587338693382,0.013112633694283546,-229.69470271138277,192.91811319490225,300.04531931045375,-52.21519109917295,-295.47674702361587,749.9589339473496,281.88771090649993,102.63002574350115,900.0157062140378,-229.7530484879925,192.8461212216774,1049.9788027886393,-52.057341785310186,-295.49152222217543,-749.8888054923302,272.9507483014478,99.44070153280255,-900.0161311454566,-199.02310728295913,167.03211556993742,-1049.9794417610747,-34.471635223964924,-195.3538997119036,-300.01264728196855,282.03008917648935,102.62003391336378,0.042135240890714076,-229.7375510411383,192.8291754723587,299.99009923740994,-52.173026420789085,-295.45975117379487,749.9368403921671,281.8832945365866,102.64483635846781,900.026798360329,-229.83816569038257,192.79401020863313,1050.0136407905418,-52.1037966312401,-295.4847395658384
train_00009,-1350.0012265506143,622.9509556476869,186.82431620059285,-1500.0067301931767,150.9671805921136,254.55471906444652,-1649.9755292435275,315.58268825234455,-107.90296748528111,-299.9953695828931,-68.0889829674096,15.174551612072031,-0.01883649316032747,-579.7753710904188,105.32312652479906,299.92305413707044,-402.12677939537696,-382.98762845239554,1350.0769178130568,631.924958545121,190.09901714501987,1500.0083024819517,120.17482846296512,280.34469635514654,1650.03204759828,297.9220933615216,-207.9689903064159,-1000.0331597401675,272.9092030648776,99.32344314800744,-1149.9853396873566,-199.06194374478184,166.96485011302963,-1300.0718619341776,-34.455527232353454,-195.45427966561502,-299.996058248773,281.8703367679949,102.56092207352178,-0.003987646042367319,-229.8552847032888,192.80429474604523,300.02197736122775,-52.096789889900585,-295.40890279833803,999.9949922371325,281.85238875529166,102.59245219090363,1149.9977087336003,-229.74770326389995,192.80465527346553,1299.9626354456302,-52.154579613309295,-295.39891871188985,-750.0683228021041,272.9337075040161,99.31496416038641,-899.9357941520274,-199.10079758026325,166.90785795931365,-1049.9154852112156,-34.509546775980525,-195.56708380468913,-300.03148955158076,281.81302224092565,102.52627100510699,0.021730903448740874,-229.80965283309888,192.82687055498192,300.0529074742393,-52.10519997534907,-295.41681666244915,999.8992033481509,281.90814740244844,102.6627956300784,1149.9897508227066,-229.77696241046598,192.7939004878365,1299.984521015611,-52.11337971821271,-295.41936519632105,-750.0105276167895,272.9319684712797,99.3002912039893,-899.9312691720378,-199.0213550634419,167.0331060072636,-1049.956689090173,-34.45619893264906,-195.52537800781855,-300.0665939394284,281.8712539224727,102.54830467275742,-0.05269223588223982,-229.7890317105984,192.76280760517747,300.01922165953107,-52.03930573749389,-295.3252027338028,750.0053361211124,281.9937950555786,102.65038667621108,900.0177305179863,-229.6375025113541,192.8869417037504,1050.0814358578293,-52.00074448990811,-295.32466425457864,-750.0769410892368,272.93335699599777,99.35970619771514,-899.9567255933774,-199.07013415719908,166.99188508142157,-1049.97833689284,-34.36837915310148,-195.51575259328803,-299.95205056892615,281.82866226657666,102.5468438831925,-0.029151891659180293,-229.80465348355278,192.81429762294198,299.99357794860066,-52.117417360843625,-295.4378104905807,750.0008144090883,281.8639877132782,102.60933845192923,900.0543113777139,-229.7909445815579,192.9199685563343,1050.0655564623205,-52.07006154222164,-295.43678409306
