sample_id,s0_A1_x,s0_A1_y,s0_A1_z,s0_A2_x,s0_A2_y,s0_A2_z,s0_A3_x,s0_A3_y,s0_A3_z,s0_B1_x,s0_B1_y,s0_B1_z,s0_B2_x,s0_B2_y,s0_B2_z,s0_B3_x,s0_B3_y,s0_B3_z,s0_C1_x,s0_C1_y,s0_C1_z,s0_C2_x,s0_C2_y,s0_C2_z,s0_C3_x,s0_C3_y,s0_C3_z,s1_A1_x,s1_A1_y,s1_A1_z,s1_A2_x,s1_A2_y,s1_A2_z,s1_A3_x,s1_A3_y,s1_A3_z,s1_B1_x,s1_B1_y,s1_B1_z,s1_B2_x,s1_B2_y,s1_B2_z,s1_B3_x,s1_B3_y,s1_B3_z,s1_C1_x,s1_C1_y,s1_C1_z,s1_C2_x,s1_C2_y,s1_C2_z,s1_C3_x,s1_C3_y,s1_C3_z,s2_A1_x,s2_A1_y,s2_A1_z,s2_A2_x,s2_A2_y,s2_A2_z,s2_A3_x,s2_A3_y,s2_A3_z,s2_B1_x,s2_B1_y,s2_B1_z,s2_B2_x,s2_B2_y,s2_B2_z,s2_B3_x,s2_B3_y,s2_B3_z,s2_C1_x,s2_C1_y,s2_C1_z,s2_C2_x,s2_C2_y,s2_C2_z,s2_C3_x,s2_C3_y,s2_C3_z,s3_A1_x,s3_A1_y,s3_A1_z,s3_A2_x,s3_A2_y,s3_A2_z,s3_A3_x,s3_A3_y,s3_A3_z,s3_B1_x,s3_B1_y,s3_B1_z,s3_B2_x,s3_B2_y,s3_B2_z,s3_B3_x,s3_B3_y,s3_B3_z,s3_C1_x,s3_C1_y,s3_C1_z,s3_C2_x,s3_C2_y,s3_C2_z,s3_C3_x,s3_C3_y,s3_C3_z,s4_A1_x,s4_A1_y,s4_A1_z,s4_A2_x,s4_A2_y,s4_A2_z,s4_A3_x,s4_A3_y,s4_A3_z,s4_B1_x,s4_B1_y,s4_B1_z,s4_B2_x,s4_B2_y,s4_B2_z,s4_B3_x,s4_B3_y,s4_B3_z,s4_C1_x,s4_C1_y,s4_C1_z,s4_C2_x,s4_C2_y,s4_C2_z,s4_C3_x,s4_C3_y,s4_C3_z
train_00000,-1009.4826370068237,-24.242579681511284,319.92735813466356,-1218.3324147648225,-439.5177078446976,503.69666937603284,-1325.503660540596,-373.5834015258102,97.42365990659425,-456.572877885699,-22.450599070156702,-48.873403223058226,-194.69851143970106,-552.576547852576,53.06212652213929,148.62240945581084,-387.1999194780153,-410.3708162151108,710.6032570170207,481.66625714845713,-189.38187944425974,827.2479262202481,3.2976557433723026,34.43218844870042,963.94402313825,27.172748193447386,-488.23887598315,-999.9490792175092,273.013679556169,99.34373439853168,-1150.0178979678703,-198.9398868395537,167.0800782140211,-1299.9715688135182,-34.38790626695504,-195.42485993054171,-299.979141209686,281.87823736455306,102.60294198141948,-0.03218377564307016,-229.83159975106798,192.87193356288918,300.00526170423484,-52.14812159845766,-295.494869109776,999.9435459608878,281.9631426124451,102.50451356594121,1150.0204512068879,-229.74468771644626,192.74012199451306,1300.0318505828845,-52.01517010052329,-295.536302885047,-749.9463895682308,272.9874822653474,99.38432439297992,-899.981620832359,-199.09103473898617,167.01891058534048,-1049.9896019547364,-34.455705011014956,-195.37188216020982,-299.99596196135735,281.82929207646214,102.655608142606,-0.020002897641208932,-229.810448516888,192.808334031171,300.0250949135999,-52.169293075752826,-295.4861075716298,999.9549699716403,281.99960094777214,102.57280054197633,1150.0226811191244,-229.76853276236352,192.73116877641365,1300.007338613111,-52.00012087285743,-295.52520570178586,-749.9511877055364,272.94347460542826,99.40094036999953,-899.984329406114,-199.0744886871526,167.06895010026892,-1049.93515741005,-34.464008789160225,-195.41595776973395,-299.9427850498723,281.8806224408009,102.57894572934688,0.03125807309889492,-229.88411597800612,192.86665657544253,300.00243328197934,-52.12749669864792,-295.39340996906134,750.0154796826274,281.8082877175349,102.43793725945142,900.049599611433,-229.8519600623693,192.70431533045684,1049.9173282685495,-52.2166917945684,-295.5917915911025,-749.9785468297166,272.8959241473798,99.31917544475671,-899.9389167988867,-199.05982852810922,166.97829736950789,-1049.9325443246253,-34.4968756278522,-195.4463427046325,-299.9961725348116,281.87095439636784,102.60814626916907,0.07029889693773954,-229.8149410167997,192.8579971571118,300.0404702523719,-52.15354560677551,-295.40648675837593,750.0190203424982,281.9351213321755,102.51892988204827,900.0212937862617,-229.72009412124103,192.7921186773472,1049.9979613541307,-52.07253531878682,-295.5121681871254
train_00001,-1188.7023830215885,288.43373064532267,344.07902243055963,-1351.1758131101017,-171.62559584928255,452.62627160563346,-1550.0772840192824,-7.983073639372834,114.18823672304661,-624.9167182086428,56.943355356928926,93.35886070645957,-422.6413435795505,-496.38631899372496,207.0905888681316,23.006826108163892,-326.96518904332845,-157.2315153037761,1283.6543298290803,191.33556667106834,396.3221145528233,1427.0662571554512,-328.76399002065034,435.29175255912816,1702.9347142513395,-64.98006329088902,52.03385685576018,-999.9847971682433,273.0531530617141,99.39477405991836,-1150.0077546477291,-199.0185913826917,167.05070355374812,-1300.0473330521925,-34.44655452777037,-195.3664159899388,-299.9924353387636,281.91053615943406,102.6398052985745,-0.009359430780375516,-229.8053776107627,192.8916534043782,299.9909014554567,-52.13538106942351,-295.3567340652645,1000.0218015239742,281.9437271868986,102.54529230950834,1150.0039366786,-229.81091499705545,192.7815988904904,1299.980453986297,-52.051213577836464,-295.54123595855447,-749.9995017824237,273.0061292207812,99.36963249485608,-900.059686195624,-198.9595507619392,167.05636613323725,-1049.9394650991082,-34.41141432445067,-195.43831260981275,-300.01217231392127,281.88909430170054,102.59136772713815,0.05128169161792154,-229.76447842919677,192.9375173063316,300.02088922713057,-52.09311692693124,-295.4448924468508,999.9613462155457,281.94104382904794,102.4755896254155,1150.0235601075947,-229.7477910714697,192.7912248896654,1299.9745656860612,-52.06746748254798,-295.52715892078345,-750.0079488006317,273.0100018111474,99.34897273772351,-900.0854607122974,-199.00977183553798,166.9904321128741,-1050.0250383661632,-34.3433974987798,-195.47462125422854,-299.98775703252807,281.89325016621143,102.5872596297628,0.02112607007246709,-229.76856606012703,192.90750112477858,300.0370119290087,-52.04329009905357,-295.39392760966535,749.9954900432294,281.9792134586525,102.6369195889248,900.1139317269539,-229.75579139214415,192.85126678327762,1050.0277010612986,-52.064823510812396,-295.3692352941044,-749.9921659536701,272.9300913177581,99.38213622986451,-899.9991555949962,-199.00322469834265,167.016043698649,-1050.037652003806,-34.48209966490719,-195.3922891952573,-300.0664337087737,281.8850710530551,102.59578703500529,-0.013804690775376195,-229.81610920910168,192.8767150054723,299.963674458994,-52.16677285211973,-295.4197913103216,750.0094764086047,281.94388987395183,102.55312163602726,900.0504699677788,-229.70244340874376,192.80319485557197,1050.0078722698174,-52.04371166696567,-295.4798233209444
train_00002,-1352.23483425636,428.77927369643163,-226.5798506634984,-1445.2133309541714,-52.19932225194466,-127.02311951331795,-1609.573558615677,68.03445890938316,-500.4780250345296,-508.15281466021224,620.0552260602723,99.85361548068192,-338.85148019679923,112.25862908559371,370.8677798983606,21.379606589638986,66.03580133252377,-106.78695654994956,1265.607542201167,67.52435946937736,49.79159175717353,1438.2733126856795,-427.5159088241552,-82.90134387856523,1523.105669899898,-65.34739400178167,-475.4709759279508,-999.9886255359448,272.94030471255024,99.34764283928583,-1149.9131143474717,-199.0309125750504,166.97181582053932,-1299.9653754287278,-34.44522877940658,-195.3903229065332,-299.9810314706561,281.97639450705867,102.60832178863386,0.007938340973885322,-229.74280401661454,192.8385550068198,299.97802758373587,-52.162245157782756,-295.46484327948826,1000.0684827442723,281.8921245692271,102.53559021480952,1150.0858810798313,-229.82931813269502,192.77791261496606,1299.9519555876416,-52.0584833462942,-295.55725549278156,-749.9522963875972,273.0712755343827,99.37506240149631,-900.0566077633492,-198.80948768315298,167.10671967756156,-1050.0072455301831,-34.283838208589586,-195.25206986564126,-300.0456768478066,281.9653989949842,102.60352801842119,-0.017801900777310968,-229.73689160708423,192.8228503402596,300.0018127065528,-52.046994059846924,-295.4626929679757,1000.0605043206015,281.99768138453516,102.56545318296679,1150.0578262279269,-229.79595827268406,192.7530840839599,1299.9315588897593,-52.082907762773225,-295.5329310650059,-749.96277145132,273.1017924238058,99.40517041672078,-900.0352628425818,-198.9061335729049,167.19016684412196,-1050.0232378255673,-34.339782304151974,-195.28676713291787,-300.05720046146195,281.9077845984824,102.60874515644346,0.04275121146107898,-229.80619063685984,192.90104652101226,299.9705789670226,-52.09824919464627,-295.4600425308619,748.2285501964237,282.97225062786106,102.2552549350968,898.3923531678013,-228.65987426857092,192.52692813670927,1048.3672779725857,-50.968942543658635,-295.7692412317634,-749.3266199087201,272.9768928621691,99.37099807832568,-899.5946641255232,-198.88855889139066,167.04797488656436,-1049.4998942426078,-34.27014210702065,-195.40914725000272,-299.4552268118682,281.626016975805,102.66956269226073,0.38258955439711717,-230.2194191922059,192.8581350177186,300.4708903886146,-52.613020873053834,-295.3661687580221,748.9175358943662,282.1915012685327,102.49505222054032,898.7017458649326,-229.5918070564993,192.65664498006697,1048.847366342555,-51.841612805646875,-295.50981659590434
train_00003,-1263.2357882917754,71.3642357160372,118.75195865653403,-1452.6717848923104,-329.34874398507293,349.87274392573306,-1640.0026298269015,-258.22969249090266,-25.28100393165368,-586.6197496151882,96.57309340766899,31.95774993504635,-263.3469377001612,-384.4439258772917,187.43591057916785,63.839256583567305,-225.06765353254485,-289.53488667871227,1026.6043197270249,151.72883111499462,131.07450026937568,1203.7624356293031,-358.68888800094214,156.17803461134687,1480.3109021300231,-59.842623118450334,-199.72718093719172,-1000.0308556541843,272.93099330673255,99.38749543528138,-1150.063490221688,-199.08474530778653,166.96940973503115,-1300.0462207020817,-34.515352865402576,-195.43484277927885,-300.00176565851666,281.9008338788068,102.69244810235544,-0.048023083942961176,-229.83900474002863,192.8442399282725,299.921430893782,-52.12918305493457,-295.4349655453054,1000.0223532513328,281.931868079671,102.56390918270465,1150.0374713482377,-229.7774335298244,192.87571582745414,1299.9683439136497,-52.13069687048691,-295.44254285727004,-750.0417048686992,273.055371247011,99.47748403438753,-899.9693389358983,-198.98145570428784,167.08775468888732,-1050.0718704280118,-34.327949186274566,-195.2976676484931,-299.93321668768453,281.98098650368485,102.63566422605399,-0.026949866861976198,-229.82226283944797,192.8440762307171,299.94568449390624,-52.154398261861836,-295.45950826717524,1000.0526167299015,281.9665996305038,102.53851661468622,1150.0658429664463,-229.83003052110797,192.86266109755468,1300.006117684349,-52.10153360278752,-295.52481568539423,-750.0168142896079,273.10485312081846,99.46387054787597,-899.9886768938616,-198.94898616129973,167.06317573854602,-1050.0227981943149,-34.302709393441994,-195.2937605605683,-300.0409947637982,281.91003059311515,102.6532516801164,-0.010697819975748136,-229.8317768598477,192.84462848013806,299.9774148970591,-52.094810566165904,-295.4564294220193,750.0067957218588,281.7949041741921,102.59990833330193,899.9537508135572,-229.9523783952463,192.80012983279838,1049.9676764754029,-52.24794642615754,-295.4940492898833,-749.9722160308071,273.0213894069642,99.37874055240655,-899.9913520290165,-198.97453473028006,167.02177044338455,-1049.9490316014353,-34.40149466399857,-195.3632265340301,-299.96011689665045,281.88544472982096,102.59163969198718,0.021556613860041696,-229.79929613047557,192.82217284785395,300.0167517702704,-52.07058181226109,-295.4487078597958,750.0774124919499,281.9011437299882,102.53772809068143,900.0197546397674,-229.85792813774685,192.87823890421308,1050.0073012931523,-52.19943600712827,-295.42097319149815
train_00004,-701.4384819676291,187.26238286442498,-0.6962740861868821,-901.7627487995638,-270.5776943210715,-11.783364322040299,-1076.1527825090313,-13.139946328183841,-302.194892961781,-271.19903949636085,209.5767011707295,116.86324551456008,39.08003244923917,-297.7782472990107,36.85983419866702,194.5630429985431,-32.83077505477925,-478.4286856154176,1320.9432403444994,328.10992354490924,302.7914640328045,1443.3470727088734,-174.15736797032034,461.72506706518857,1680.6488294560113,-40.125198525145564,-5.462202711243949,-1000.0402362391152,273.0690497157084,99.33562999600485,-1150.0966679988258,-198.88665759006216,167.03420479798095,-1300.0424524917123,-34.416770681759644,-195.42672669833678,-299.9031509745889,281.9402303920091,102.60525833916066,0.044688346218981864,-229.90603543885538,192.77014555841833,299.99174342855724,-52.12998324776046,-295.5128622182545,1000.0213369657924,281.92890931473784,102.67181598367617,1150.021757738693,-229.81241762261917,192.8537265414986,1299.9947837764928,-52.09843060417922,-295.4715519311053,-749.863635924441,273.0450957839278,99.45179908193015,-899.9827123017928,-198.92384406222413,167.00571193214103,-1049.9683195819405,-34.1559536910478,-195.36694846124914,-299.8735072348849,281.9115480911385,102.61950260545844,0.03319085853026727,-229.83512829279667,192.82867434258864,300.0272460785331,-52.10835877014695,-295.5189546451505,1000.0563177336333,281.93228504723555,102.60181874315084,1150.038500282088,-229.77995430294882,192.89871297147064,1300.0137399482048,-52.07149579226063,-295.4394343246466,-749.8727095365363,272.99005488911763,99.4688351195559,-899.9380302335724,-198.9379267046225,167.0066006706454,-1049.9349863995787,-34.23546221392329,-195.39003519371434,-299.885802257943,281.902372116577,102.66173958358104,0.02880821796299242,-229.8152359140906,192.83562222351176,300.03021161608467,-52.1563881848874,-295.44151959531257,751.8046204097714,280.8234852896288,102.09852101759388,901.6901571217601,-230.93055933007489,192.18801862349304,1051.6939904081935,-53.21274379757048,-296.0250127423818,-750.6645713413743,272.9442386826093,99.34600243531386,-900.5104273831856,-199.09651699779545,166.9702509621343,-1050.4677849207203,-34.59973923439739,-195.49351867843185,-300.7860168071035,282.0242517324533,102.68909097742078,-0.5349693156385192,-229.42588965909786,193.0684318166023,299.4623929748249,-51.641139964443816,-295.19246724017023,750.9787084396004,281.68962718809325,102.36357981119176,901.2535414549236,-229.96368370993338,192.70165166041875,1051.2280376825734,-52.28716312948388,-295.56085538852864
train_00005,-1116.5148346726735,210.23095760777687,-302.4567130372456,-1216.4148553191487,-220.97482702966482,-70.2096722286717,-1377.3600690925568,-210.89589378817527,-463.7167674084339,-248.8089910510556,606.5493601090695,231.95302600625857,-56.73333884778719,49.13127244879184,343.2167267227304,299.0773580647603,158.63266162358792,-127.34006673539388,1012.7070072440639,25.25519376444423,480.26938809451775,1279.1074987590916,-443.87559492611524,517.5309609929527,1341.737148972324,-207.00832851891795,35.439348978775975,-1000.036916668271,272.8228119389789,99.2849560773244,-1150.0019060800435,-199.07873477637494,167.09188697786706,-1300.0414809021527,-34.5310712396316,-195.3505096388896,-299.98303937550156,281.8819875920846,102.58633805037579,0.052281687387461834,-229.78373067820982,192.8057022215714,300.05419784429034,-52.10918637101738,-295.45224618521263,999.9186578908229,281.89452812499064,102.65296607716135,1149.9738306236995,-229.79474128872693,192.80677961514846,1300.053037323992,-52.024468273046054,-295.4501100606449,-750.0180916230667,272.9694711712505,99.30269339547019,-899.9078133768086,-199.03478941995138,166.94299506139848,-1049.9495163805343,-34.4758239982933,-195.43597791665607,-300.0153211893981,281.90896039962803,102.57871332683969,0.02811043873392388,-229.84782541504867,192.83508377953794,300.0332767824016,-52.04373646503067,-295.3988748696928,999.9434360856457,281.87116442839783,102.65100625534176,1149.9573036520426,-229.82100992422502,192.78306125910038,1299.9769161818379,-52.03127386145406,-295.4545453977279,-749.9581244865793,272.9415515407988,99.34975307013008,-899.9208137422858,-198.98388355970437,166.9573161178227,-1049.901750410901,-34.458952904734446,-195.4159630841308,-300.03640570319453,281.88415851521984,102.55046028844335,-0.0024943433656513473,-229.81967569678784,192.89388057179676,300.0617156553361,-52.168433198902825,-295.47363033632996,749.9821470699391,281.93920969354053,102.68953053551009,900.0021711299802,-229.76962904480385,192.9227432691257,1050.0887338825587,-52.06351561589465,-295.29417160985776,-749.9638348120434,272.9185609302075,99.3836437657913,-899.8912020371758,-199.08593062881454,167.01787553785056,-1049.9433299795867,-34.53028612733472,-195.40877615451342,-299.9929734975106,281.8131813891788,102.63079725580036,-0.009662303016056584,-229.85537315069874,192.82200313370976,299.972732236573,-52.04250389566143,-295.45846453236084,749.9989693228946,281.92376465290386,102.5979544875762,900.0049722457575,-229.8003835935605,192.8733670337459,1050.0568376440042,-52.023736046411365,-295.4245942984232
train_00006,-1129.4865987233811,42.28184281750928,-144.76261324935416,-1371.8202239015577,-375.3617892984143,-15.85211493225069,-1429.6517388938978,-277.5242415512789,-425.7340384085079,-350.2470287822404,334.47852613531495,-146.2766861915184,5.050990590054424,-143.06610631316622,-70.8866351270398,260.353502128105,61.72636609174083,-573.8264054316669,679.123537483619,273.32470726616145,171.38995575340314,770.2525299072378,-251.52720122259382,264.58530807404577,1032.3636259230777,-69.16768598732112,-171.97726903835508,-999.9705550132583,272.93001446387,99.26963017354578,-1149.9388234160344,-199.01518333502736,166.96776383662703,-1299.9967774745808,-34.473453713995994,-195.5172584677336,-300.0091604146227,281.96000766190895,102.59974924285444,0.02568146231856147,-229.8357485352981,192.8374069684533,299.9993371964106,-52.09146300128648,-295.4529490540298,1000.05571285268,281.9694803078053,102.78612459616674,1150.0257472041153,-229.7083026890786,193.00179883987792,1300.0353202775646,-51.99749187362076,-295.24848253659343,-750.0192288675298,272.9107075907534,99.34684911033479,-900.0107324262063,-199.09018958134178,167.02774216650448,-1050.0294736727044,-34.51431555666924,-195.35060954840927,-300.05852051681364,281.9086005457306,102.61162535980044,0.06377855583739774,-229.77127681905392,192.91946773434955,300.00602685578474,-52.078420819736834,-295.3679166922525,1000.048771847434,281.9747551419269,102.77527826513148,1150.0084896840017,-229.74068696781845,192.94094057915336,1300.042247288985,-52.0200600250093,-295.21897404469377,-750.0740123253852,272.94631961447004,99.43258542342849,-899.9552901764787,-199.08500020002626,166.97952174680168,-1050.0267402488928,-34.50283884618866,-195.4059113201315,-299.99364399628445,281.9295909612054,102.62486916568542,-0.02368154816238538,-229.76308059767166,192.86848391076265,300.0297877083544,-52.080720888091825,-295.43240091288476,749.9790026439887,282.07635928626195,102.58824459555208,900.0679073462162,-229.61615190223694,192.98556846141847,1050.015519220778,-51.961914207652455,-295.3108156737163,-750.0829873761114,273.0000619809362,99.39020293856879,-900.0563104671651,-199.0610269212847,166.99894742762626,-1050.0304740347565,-34.43489651662337,-195.38075764278864,-299.9554680906154,281.91243654513664,102.58367236563569,-0.01375967813237695,-229.8206145323581,192.80550538240894,300.0066741442148,-52.20634761623394,-295.4892208610209,750.03341109666,281.9658360052858,102.54890040413683,900.0580170488213,-229.7982446285969,192.90439341577246,1050.0043128691175,-52.12151835317555,-295.41544192292304
train_00007,-730.5417909067321,422.3910198273305,-119.0823412294259,-868.609769358799,-50.17569877909824,-32.55932982800471,-995.9416203532562,85.61360173674213,-415.01039820955714,-500.82405696524893,346.15742290573723,9.953056702330063,-169.01290676670993,-143.68085403152875,109.45850786003155,226.87760359267705,146.19136266976847,-235.89801170294797,713.5550943290443,464.9951726514369,98.01796590835214,748.0261296601991,-74.5502156625291,82.44980034207407,1061.4386645649936,164.76710979714105,-287.697906900203,-998.6362636884409,274.07381543238745,98.30017194766674,-1148.6577985177635,-197.93157023606233,166.01816694442138,-1298.731530397227,-33.255186803140965,-196.42696295671325,-300.0219218623154,282.02398635383696,102.4872326874857,-0.043329136500569396,-229.75728245055396,192.8473123672322,299.9903150230423,-52.10826793209659,-295.49465491299605,1000.0742103429349,281.94099089140656,102.61256928958852,1150.0036374876238,-229.7945049819286,192.76973424638274,1300.0597102456163,-52.02787678691135,-295.5429984090026,-750.0787585919898,273.07962931089315,99.22881809143918,-900.0525859333959,-198.80326292349199,166.9908911175671,-1050.0121127274404,-34.40293405716403,-195.46062314733365,-300.0005296451638,281.9232709327076,102.4941538979844,-0.04039367964625284,-229.782437808352,192.83515691056616,299.9858972869468,-52.14148525413177,-295.4194039189533,1000.039074378359,282.0582713506197,102.5415842732409,1150.0180635519857,-229.73530361108556,192.76745443515776,1300.0590231118783,-52.01287015014514,-295.48006937651917,-750.0372328100515,273.0756382697985,99.3033241570585,-900.0864723337448,-198.844606731113,167.02327967301096,-1050.0352343872046,-34.35511442201092,-195.53293630242038,-300.0419626940899,281.9821106430721,102.53456673315311,-9.642540603963662e-05,-229.71930592682912,192.86894272075924,300.0106777600036,-52.09623506506799,-295.46466481188975,749.9849129527731,281.86337756753807,102.59588467674767,899.9893429142414,-229.88321202898933,192.93916730103734,1049.9683893407553,-52.21756792741577,-295.39644086051595,-750.0581825520196,272.9174559895458,99.36510469700255,-900.0336088410069,-199.07876302663527,167.04865257998878,-1050.0146462049634,-34.556002741462635,-195.39861501469807,-300.02974254267224,281.8778264319078,102.6156613662865,-0.005726828631892828,-229.84730950024232,192.84145413093364,300.0192410115106,-52.060696690539494,-295.4579820945285,749.9273546690475,281.81396254956474,102.69679163233837,900.0319471383119,-229.88386446213883,192.89337289852256,1049.9458099980168,-52.09708425523787,-295.42420857900015
train_00008,-1167.2698997034722,27.057948596470244,-20.37451577555406,-1310.5183782605545,-439.948248624451,85.5415973746939,-1475.7062208771615,-301.80170829655935,-281.3275068104076,-444.4276797574992,230.27399291723793,-228.1646470108588,-201.0911607871236,-280.222216209998,-27.67808267067433,246.7270715481687,-122.76761044534418,-394.66115718420565,955.153304414521,520.9102427620784,150.16974495588352,1239.880575998704,127.60589773893592,388.600190299286,1376.5867200247003,198.35367561140094,-129.8513639091109,-1000.0348480017511,272.8845645870142,99.33303274612433,-1149.9183506314957,-199.06904449492055,167.02349371296333,-1299.9800225513184,-34.55122512036126,-195.4097580551521,-299.9716589550479,281.9068686932319,102.6250804319638,-0.018223838171580332,-229.82467348817306,192.8017601532098,299.95595071264233,-52.11283727054591,-295.38719646590744,999.9883674450646,281.79799165115304,102.61675740496011,1150.0330037746048,-229.85859117121805,192.85342394507882,1300.0135332755135,-52.14766001380838,-295.3931006151793,-750.0363014223883,272.9664956485625,99.33836740861632,-900.0200092870435,-198.95975625747326,167.0197999606094,-1049.9960994621608,-34.343525849685825,-195.4779041352915,-300.02038655095106,281.945345818355,102.65674857433467,-0.005999031001887069,-229.76317644576972,192.8607270372473,299.96711130590694,-52.088818611785385,-295.3983171687042,1000.0144830039941,281.92719741636455,102.64251691596864,1150.0021223317256,-229.89706400624993,192.83624464510925,1300.015553426369,-52.13939062280546,-295.4154576917305,-749.9721736096566,273.0427936306809,99.351814209746,-900.0552973879659,-198.96872847538597,166.9766374970763,-1049.965136681189,-34.42412588594938,-195.4623778854679,-300.0205795181277,281.8433360731962,102.61590312272375,-0.04124260098750936,-229.86938999835718,192.84911607789172,299.9834353527992,-52.13452898737046,-295.398901401472,749.931594876939,281.9071577705346,102.70873865378026,899.925479777409,-229.7621791931257,192.92820594800935,1049.9986763032466,-52.13168019851822,-295.3648390891495,-750.0247133455239,272.95903382335973,99.4007037894197,-900.0599768519645,-199.03815787377013,166.97074108936508,-1049.961286766672,-34.42636687940248,-195.45265319762703,-300.08552998661486,281.8595751745549,102.57089566383263,-0.01373679246514451,-229.81503000331844,192.81296336659761,299.9809501440865,-52.06907562867763,-295.46633346981065,749.9307297801761,281.97331132028563,102.60964671408529,900.0655403681178,-229.71134286105595,192.86080904725824,1049.898992140718,-52.07368767409326,-295.50405460151165
train_00009,-916.9125276984039,179.94118967155438,-193.47463851076412,-996.0439955545334,-304.8286585595782,-100.94386322976226,-1092.1500544195446,-201.35401816457752,-502.15511837395496,-1.884890196809285,304.2460754185262,3.768636345568603,224.28041543466068,-242.05519904870917,105.50467345886946,550.4382522265886,-115.43105461192792,-381.8722159694792,967.5165625020253,292.6265584310262,-75.1303752855136,1097.0963199194898,-226.1048175622596,-156.51389685804295,1296.9030359591393,100.5750178670926,-538.44196582538,-999.9339403902794,272.8369925502613,99.30769728421065,-1149.9816810849384,-199.12473923160172,166.9026067999467,-1300.0430134821215,-34.47476638463196,-195.489812136401,-300.04434594519927,281.794199904008,102.54927213356133,0.04784570724842151,-229.84591739372436,192.86817158684116,300.0599366139508,-52.185118665910785,-295.3977216831795,1000.0641998708746,281.8237998042376,102.58221123274298,1150.0405508130584,-229.8362081105503,192.7664009840813,1300.0103286644555,-52.11749781061211,-295.5577324408477,-750.0224148073527,272.76308729545786,99.26986389665619,-899.964544246894,-199.19669007650805,167.02807589067658,-1050.0053936256097,-34.70530721838146,-195.41270893844356,-299.96585248432086,281.80259001433564,102.52840208942746,0.02211961886270565,-229.8128681714541,192.87029513928184,300.0250095744126,-52.234809114986454,-295.43982904445926,1000.0691980634298,281.8940719354808,102.55100595610847,1150.0569236520187,-229.79341147564625,192.76534610705156,1299.9587832487516,-52.13117182222548,-295.5383249639593,-750.0710678320427,272.8096072596238,99.25828378334498,-899.9549112118829,-199.1638489738984,166.98526976724798,-1049.9408906860483,-34.79017630403503,-195.40015331612867,-300.0067010156485,281.8053665707868,102.553667173993,0.012130271115098816,-229.8214265529678,192.86482257883503,300.0371287010946,-52.17688802044911,-295.3815005729299,750.7369717248488,283.4857978721117,101.66611824085204,900.7151716001881,-228.26477960732672,191.94608366289657,1050.7922907682819,-50.668968608212616,-296.3134517883489,-750.1460743721462,273.03595996885645,99.46347692510207,-900.4635838334034,-198.85277338841948,166.94362304650755,-1050.1349313680091,-34.135376297596274,-195.50805701895712,-300.0589908166448,281.67553577557544,102.88342188437244,-0.4959563067767983,-230.3333950107853,193.09079491332952,299.8049955937036,-52.72348621198138,-295.0430341083516,750.7824413396105,282.3920001776077,102.39899778552497,900.2262199982941,-229.5069034169296,192.58743447515164,1050.6570279964149,-51.771647709391104,-295.59985769308724
