sample_id,s0_A1_x,s0_A1_y,s0_A1_z,s0_A2_x,s0_A2_y,s0_A2_z,s0_A3_x,s0_A3_y,s0_A3_z,s0_B1_x,s0_B1_y,s0_B1_z,s0_B2_x,s0_B2_y,s0_B2_z,s0_B3_x,s0_B3_y,s0_B3_z,s0_C1_x,s0_C1_y,s0_C1_z,s0_C2_x,s0_C2_y,s0_C2_z,s0_C3_x,s0_C3_y,s0_C3_z,s1_A1_x,s1_A1_y,s1_A1_z,s1_A2_x,s1_A2_y,s1_A2_z,s1_A3_x,s1_A3_y,s1_A3_z,s1_B1_x,s1_B1_y,s1_B1_z,s1_B2_x,s1_B2_y,s1_B2_z,s1_B3_x,s1_B3_y,s1_B3_z,s1_C1_x,s1_C1_y,s1_C1_z,s1_C2_x,s1_C2_y,s1_C2_z,s1_C3_x,s1_C3_y,s1_C3_z,s2_A1_x,s2_A1_y,s2_A1_z,s2_A2_x,s2_A2_y,s2_A2_z,s2_A3_x,s2_A3_y,s2_A3_z,s2_B1_x,s2_B1_y,s2_B1_z,s2_B2_x,s2_B2_y,s2_B2_z,s2_B3_x,s2_B3_y,s2_B3_z,s2_C1_x,s2_C1_y,s2_C1_z,s2_C2_x,s2_C2_y,s2_C2_z,s2_C3_x,s2_C3_y,s2_C3_z,s3_A1_x,s3_A1_y,s3_A1_z,s3_A2_x,s3_A2_y,s3_A2_z,s3_A3_x,s3_A3_y,s3_A3_z,s3_B1_x,s3_B1_y,s3_B1_z,s3_B2_x,s3_B2_y,s3_B2_z,s3_B3_x,s3_B3_y,s3_B3_z,s3_C1_x,s3_C1_y,s3_C1_z,s3_C2_x,s3_C2_y,s3_C2_z,s3_C3_x,s3_C3_y,s3_C3_z,s4_A1_x,s4_A1_y,s4_A1_z,s4_A2_x,s4_A2_y,s4_A2_z,s4_A3_x,s4_A3_y,s4_A3_z,s4_B1_x,s4_B1_y,s4_B1_z,s4_B2_x,s4_B2_y,s4_B2_z,s4_B3_x,s4_B3_y,s4_B3_z,s4_C1_x,s4_C1_y,s4_C1_z,s4_C2_x,s4_C2_y,s4_C2_z,s4_C3_x,s4_C3_y,s4_C3_z
calibration_00000,-940.9091828260988,390.69214303116854,216.86020721197468,-1011.708683339019,-89.49957200961238,336.54023609111977,-1260.0775751813535,32.75014890236069,13.579564771929268,-462.4981918423493,502.33024848787267,101.26517060903151,-173.057900366815,-19.835721427438088,160.51385829108006,136.93770379881914,184.61666580232227,-310.7258847292534,745.4171704200734,345.12053471230246,-86.18681854860195,1051.0027965961178,-74.74640922276794,64.94376933198203,1113.3862154814635,50.54382654235382,-457.4100365336073,-1102.4247581814896,243.91989531302045,77.39551391621504,-1255.7165964230794,-226.39238547338547,148.4265460553656,-1399.8723617820658,-65.34471361974812,-217.96185447325297,-300.413497301939,281.72707192282996,101.5214473741551,-0.2697986815984864,-229.95145646431922,191.32534781717067,300.15835954540455,-51.37062574612815,-296.3127011468375,1111.052686551247,257.43641802631663,124.08846944393049,1259.3811906705816,-257.57173120318987,197.03891315667047,1409.2033588089857,-64.1450748553723,-285.21441114213565,-750.4305065663632,272.49792571803886,97.70644986699783,-900.247738801191,-199.551383349488,164.53723912856958,-1049.9803997021597,-34.6034389139491,-197.85804943409258,-300.3773907036477,281.76524536031167,101.49227894757196,-0.28100392745005887,-229.97479467591282,191.37222108020288,300.16101394907224,-51.471214425840905,-296.3381766465618,1111.0446186558665,257.45386912204305,124.12816846811606,1259.341154483843,-257.5174061296808,197.040160089943,1409.2034133101931,-64.2318389056508,-285.27290511625216,-750.5020932766929,272.49138233720527,97.69700418628294,-900.218913464938,-199.54674029253454,164.59644321364732,-1049.9797157449398,-34.55323428032151,-197.84191003244885,-300.42946006094894,281.724559922807,101.43988562595672,-0.23199766182463705,-229.9638511738073,191.26691349497722,300.16843344703216,-51.475682236455825,-296.2942101338832,749.6385233737611,282.21986183350214,102.67232396487046,899.7126253146087,-229.55865372430387,192.33006724489076,1050.1480072461902,-51.162591770769176,-295.5132286826151,-750.0982860801167,272.9304322718769,99.35735134823086,-899.9760043840332,-199.0462832348351,167.02372266594767,-1050.0215921170714,-34.40686485079659,-195.41690158146773,-300.0007383111512,281.90998148870284,102.60895131078404,0.016368939262044004,-229.81430044336835,192.7819270338752,300.0209659844524,-52.09914326812733,-295.4115738850241,750.1417791134722,281.8563260405762,102.61134355763006,899.9795408763351,-229.86114791242136,192.87452092283252,1049.9464989777334,-52.144270781056775,-295.4624004496616
calibration_00001,-1016.8922881651908,312.836078938572,434.64546994517036,-1314.8233235528032,-87.54175008105635,406.4061873295494,-1316.9865828842735,138.60430516622347,46.17172198005173,-659.213915524968,393.7883164778155,101.06698120509785,-270.59662011075994,-40.37832038090818,244.29167672517917,-55.6160728820286,75.05549924593295,-303.86150289722747,1411.979599693153,37.363531503197805,374.51647919715134,1494.798576958144,-475.93368073914036,523.3470008448488,1832.3386288968402,-315.6353310823139,132.36480493249036,-1102.1170853115682,253.856160237766,97.16329152939856,-1261.456793014989,-215.66516418248477,160.08547187290407,-1399.240296024754,-48.17312541830903,-205.83752568318383,-298.4077116397836,283.59654732850595,102.03968169023912,1.495619875534681,-228.25969408174242,191.56390607837918,300.85342588403086,-50.430032278835164,-297.0843556314995,1084.7433551828094,286.08871490694656,106.59297943286539,1247.3179369938616,-221.03608395472637,201.01787711918328,1387.6974488747042,-45.67143452229254,-290.9424022671898,-748.3151074658564,274.86518296662166,99.43292245135818,-898.5167385981742,-197.15116230903413,167.12561198406567,-1048.970932853948,-32.22506887079768,-194.98782808454146,-298.34675940459476,283.60500821327093,101.99292862786861,1.4753540425212028,-228.19167012294392,191.50578130114314,300.91246579426354,-50.45127264271332,-297.1241369623696,1084.731795058618,286.124205587227,106.71207123504827,1247.387860043784,-221.0033613377783,201.04610748612583,1387.7314150081127,-45.698664578050554,-290.93162285602756,-748.3459956288891,274.83104458478965,99.41880252115496,-898.5613199265955,-197.1680986037179,167.0702868171888,-1049.0242599207509,-32.25462239239792,-195.05534942419007,-298.38136140494254,283.6469824115266,102.04581887720174,1.4869688679675768,-228.18351011597287,191.55252504777502,300.86863829183335,-50.3930537775741,-297.0887644577717,751.6702170338344,283.1505736341145,100.39915860289996,901.4593541788801,-228.72684205093512,190.16078213355433,1050.9222257708168,-50.82255622329467,-298.19021604250406,-749.9698425917056,272.8618271699106,99.33769122659855,-899.9198190455176,-199.10098256104905,167.02058086293943,-1050.0094198799627,-34.52999621711367,-195.3246260858743,-299.9682653151747,281.94827595269487,102.55415653943965,-0.020340874070017223,-229.65347065814947,192.82460972929925,300.0787144999236,-52.039998447256636,-295.45716149933804,749.9325834721566,281.967899326055,102.5214562104778,899.9508798027484,-229.82597585692923,192.86770920198313,1050.0618636803345,-52.053395796210715,-295.4835491094889
calibration_00002,-1220.1624216305352,32.247527315666815,336.3641445207561,-1398.1952441490064,-430.7156867224402,398.1597091627737,-1513.3114933383024,-264.22574767240695,23.93668369758629,-550.2319703945591,-105.26055374149577,-35.97719117872579,-194.0687146632792,-575.8780530688393,71.67702233538645,119.4027645317171,-347.8491186148512,-386.18620188752413,881.0366352988523,271.4459178807686,300.50620611796546,1079.6283732547197,-222.51152467760636,396.2040760269959,1235.8470662230673,-24.635797315354,-82.27616432358127,-1102.5877597429471,271.24940024012477,117.23850067813204,-1261.574726879044,-198.57838155361267,178.94888753200286,-1398.2277118005975,-30.825380156145574,-187.17865026006294,-300.6147336938805,280.8440384829805,100.30929661741988,-0.800912589630812,-230.9760989602288,191.5176827861576,299.50944598645634,-53.99778043797367,-296.87754764229305,1136.356979973007,289.16063802179315,74.09748225543845,1294.4147804005293,-219.1353490992061,169.51551366079613,1439.0072733573973,-45.13995131601598,-321.58452243527654,-750.6415451028877,272.08652181727507,96.79604374102058,-900.8187828518147,-199.83597977147846,165.10481481532406,-1050.5158946594254,-35.77104693582393,-197.63401786335845,-300.5557876598798,280.7986976297715,100.35066638042139,-0.8042457944389775,-230.9572398640662,191.48646153211575,299.5256773151398,-54.01496842665857,-296.80673510153366,1136.3255602858703,289.1974957681439,74.13215470085933,1294.3829882174218,-219.1314140311467,169.56430384208974,1438.9927058151595,-45.160398072876305,-321.68319557237777,-750.590441669503,272.0211220523534,96.71381495296313,-900.7608069552489,-199.81107268642882,165.05398355862843,-1050.5371976212903,-35.79276526241484,-197.64403284474562,-300.5290357915688,280.79654062376204,100.33846652445307,-0.8660986526654103,-230.93163182745766,191.59002520510933,299.5318666584903,-53.978295430005424,-296.82042565504236,749.4594393114243,280.3091378164326,101.04136696632624,899.1764451187585,-231.41083241743732,191.9858669441689,1049.6014829771964,-54.2959201439307,-296.34166571364636,-750.0589327651072,272.97183013715045,99.26398436775854,-899.924967892037,-199.0943027791872,167.00714790088168,-1050.1067752371619,-34.55823129534586,-195.37130073929214,-299.9779291414236,281.9218474078721,102.61770989806011,-0.02727154425169126,-229.80370844395364,192.8698604784069,300.00187810407033,-52.04785870966542,-295.3794040411869,750.0031811712906,281.9448499595013,102.68007656266147,899.9931233767184,-229.87838330253615,192.77736716699934,1050.0367753076434,-52.03490847417102,-295.32183984020793
calibration_00003,-796.3366299597297,308.5132021103717,150.3475566593389,-919.1013465793844,-175.69814257185465,132.82192007118564,-1049.8608316712518,34.5617233671844,-213.08930925335557,-203.68622927779637,187.5383622447552,27.852201509237723,105.22652485491811,-326.0008720612154,-1.3951501071048407,402.7146424029767,-34.82646940308591,-433.507624892762,1195.69858495198,68.47546390726602,-124.63240257755899,1312.587148302485,-459.21644611990604,-104.40657073254756,1426.1748622499254,-239.2815765059407,-585.2070599688946,-1042.7940350636345,265.91462906868725,109.6949882275178,-1197.2997788325906,-204.85517368690887,175.2971326598359,-1344.8916694117497,-37.644909730333126,-186.87728141148114,-300.2344355036207,283.74672204764124,101.73648118508689,-0.6778108859290842,-228.2617339352715,192.5203464178574,299.42853818456456,-51.29979953103269,-296.00165215660843,961.6384505292212,300.94871330126074,95.32888478300592,1115.521462110584,-209.32884853261328,186.65700463206412,1265.1999593724372,-31.09546384202766,-301.5964001281305,-750.2374440287679,275.17947556272856,98.50643897543324,-900.7336931127682,-196.59503916688018,166.69140213484178,-1050.5163377613512,-32.180028962453285,-195.94010087551905,-300.1656526454963,283.7070290063357,101.73582924598742,-0.6820290376982904,-228.18647889311484,192.43789105377962,299.33120518358544,-51.29964210101957,-296.00198464376825,961.6401877368015,301.00689946353884,95.3529497405504,1115.5224125453383,-209.3718590046027,186.57981006197667,1265.1261012643806,-31.097133703467854,-301.6420899158927,-750.2684022211857,275.203620994765,98.53479506859266,-900.6857268937213,-196.51817329231795,166.6910770477124,-1050.5311856337062,-32.24914854532418,-195.94981030287875,-300.26745159114233,283.69720275377176,101.70080721010092,-0.6275184957262223,-228.177601794763,192.50420767355996,299.4348913905896,-51.32567224982686,-296.02686049528893,749.82217286781,282.6274022669142,101.58464529544732,899.3043050605381,-229.13118146280422,192.23493149871297,1049.3981798261054,-52.09491826008039,-296.1685873434543,-749.9586414578655,272.9022658126659,99.33990937482054,-900.0138170100614,-199.05749350973502,166.97571427400734,-1050.0582009357395,-34.436139715053066,-195.4413573030833,-300.03170369764496,281.86093557600174,102.62478130211669,0.021302939182893825,-229.82717147208305,192.91165286851708,300.0342430395842,-52.16114838528866,-295.42961038447186,750.0481852921615,281.81387051632055,102.69383942632011,899.9971902155985,-229.74935995218036,192.74080566928265,1049.9752726545596,-52.11848456402622,-295.428974857119
calibration_00004,-959.9706520921421,154.93459277006255,99.71756483093904,-1099.100835636427,-319.19076941461833,175.42996780536177,-1234.1958243955896,-171.46249361721013,-199.7826010234379,-498.9326107436582,37.03852201446427,-293.23422041659825,-108.79620836202805,-356.5455269178762,-63.24629758031466,233.27388136094447,-169.62185183504695,-519.3732255312134,823.5691771538018,433.9320638932354,-59.79645580638933,960.4179035240294,-83.18629847126958,19.797332782280947,1110.1313304571415,99.06326609894077,-466.82631315400806,-1040.5947557019067,257.8608931121958,128.76120747112515,-1175.3762828516196,-218.9212577569328,194.37858186802725,-1336.856431197361,-55.359081898884476,-163.61096052810421,-300.9391548113734,280.7215211777682,105.3377553684185,-0.374363427007907,-231.10739633737754,192.83491346366534,298.061878478922,-51.50229121029361,-295.80674120133546,974.3373027313911,261.2257668985776,109.74157157986072,1119.8035979961003,-251.3621262226629,202.37888737708653,1275.6062946655143,-75.89916196438331,-284.823905354957,-750.9377863104057,271.5664975970727,103.48834414669851,-900.3798777319341,-200.76822202131197,169.9014415785819,-1051.607096254863,-35.05674546346965,-191.46056580650148,-300.92614817291224,280.7873553029547,105.3429844474689,-0.4020220925801306,-231.1912594114073,192.88165223376384,297.9175661940521,-51.53041624591095,-295.8544866717259,974.3366880584456,261.2208657668959,109.71361274808302,1119.8439021674828,-251.3240871080493,202.43606990352458,1275.6391731625522,-75.85474602505545,-284.7910704322317,-750.8800632698346,271.5483439840138,103.47713134629325,-900.4261299017603,-200.8453658939447,169.9582642391008,-1051.6750985858257,-34.98758259996928,-191.4230568705949,-300.8998175165323,280.7592314441811,105.34066333374156,-0.37823310134339216,-231.06968884173094,192.90991900729176,298.0371270698259,-51.52498728757793,-295.84346168672255,749.1653639569315,281.27270442029703,102.02315550656232,899.5489949342805,-230.67579616970175,189.78228979837803,1047.8848353631433,-51.25161433205334,-298.2611347151388,-749.9515012907347,272.99845794362943,99.2959419835316,-899.9325164125287,-199.04703142028808,166.94080049013365,-1049.9640691603565,-34.51190220406969,-195.57800298438576,-300.0045801501973,281.9161574280718,102.65399859458229,0.07276708539157795,-229.75372662315857,192.9780219188292,300.04133476562833,-51.99727134106842,-295.3602847936715,750.0863037808849,281.9583197242537,102.60373118941212,899.9396894546127,-229.80085713664508,192.84596800849576,1049.870130134446,-52.09503298338358,-295.4893211405738
calibration_00005,-897.9164798685563,579.0741909831758,-74.9864200493191,-1014.4416523916315,99.17931454679155,1.8757941208963806,-1153.19219031637,238.48324613933454,-375.2690631116261,-48.95226005100881,23.405389387855028,125.3963642617467,253.49031224190892,-485.690928277966,222.16486950509127,556.8514727115438,-309.65602597380115,-264.5748305981721,981.3027360758207,44.650978237540706,-135.34116712873922,1047.7819751960037,-483.78604481651996,-40.713776901266826,1176.4939325336716,-345.35001373158235,-547.4340536710343,-1081.3576474819,277.4037853383964,86.68008430533965,-1215.3382017683102,-198.73968442161635,158.55913389144786,-1376.8596089068612,-40.37072845699246,-201.60608130275912,-302.18355293945007,283.04466825564987,104.48574994272504,-0.5811643875368286,-227.84257489656898,194.06095104287044,298.20901329519165,-49.07735286593722,-294.4833884126032,912.0300723521859,276.31297706729623,127.07045243329829,1064.076012754195,-234.72463636002985,217.24320120272085,1211.626345699828,-56.962193826908035,-271.80538467177996,-752.2166622850614,272.77477042829514,101.8711695598639,-900.6875713793861,-199.58647539504142,169.42132773016712,-1051.6833656066694,-35.31966203716023,-192.6531146570335,-302.13564556473744,283.0074837404922,104.4686790848808,-0.6042697493385473,-227.836231297549,194.0730553805732,298.1899849276671,-49.06170957238555,-294.5145559401594,912.0655604633832,276.3633650208166,127.03630587637605,1064.1282754531098,-234.77236068287687,217.25395330807274,1211.6457264752619,-57.02540828143103,-271.8571298848974,-752.1190118280012,272.7317251970201,101.85465287815607,-900.7242673480346,-199.62554159552437,169.43176992599498,-1051.6759048751917,-35.382331971299934,-192.60141525565197,-302.2352545029578,282.979508261241,104.45697524913824,-0.6656219890810271,-227.86277755067692,194.1208011162203,298.184937137456,-49.111312333327966,-294.4808746643608,747.7730197210104,286.04207105821166,103.02716238739801,899.3660461597714,-225.2631308222446,192.86598237997794,1048.207924014159,-46.94544601994041,-295.5625665554091,-749.9202875074071,272.9337054378972,99.34890558891247,-900.0357825606436,-198.9932817272636,166.89671533779065,-1049.9823898373297,-34.38713260629182,-195.41349612137628,-300.0214728188601,281.930278559982,102.62128927681937,0.023276847497388023,-229.79097321004807,192.8622025343013,300.0106880620838,-52.08962287712609,-295.41878792082673,750.0234604205195,281.9166803634325,102.58325046495371,899.9021064698474,-229.83810393517575,192.77093903783307,1049.9583299609194,-52.0101548924039,-295.43097478366644
calibration_00006,-600.1754268174117,240.92376255683646,-180.76890685541457,-875.5683088186006,-169.7200712955877,-254.15998611673362,-869.5770048607941,81.60680513081968,-597.3078359933693,-171.40480923731243,373.77391176164315,537.6560644468938,67.67383024710485,-175.18924441825155,498.61042245746427,292.7322067566245,41.26694316046382,-13.735178410769745,1189.3734054796644,634.2208595213302,193.953840001917,1297.8188253466521,116.91790594696724,308.34520777289475,1345.5260417014138,227.67194015149627,-218.8539132760934,-952.4318723647618,286.63975981552,77.49506598692662,-1101.697921106869,-185.54631062081046,145.21952304485774,-1253.5534150394303,-20.626081473301262,-216.17013987724744,-299.42480952287787,282.0593721745285,106.33480920806892,1.0338201390329842,-229.84266770724642,194.34729849631546,298.82628267349764,-51.130144309053996,-295.0121770956159,973.6300587493008,263.1124302116035,85.79816522147394,1119.4056629431361,-249.30107338097505,179.3847911444272,1273.4134126045406,-75.03253437800825,-308.8828978952314,-749.3512395862577,273.06041172690954,105.14312166306962,-899.0441429622106,-199.1613003251809,172.53071268396647,-1050.7109193485073,-33.882192118692,-188.86129489710171,-299.4262353009443,282.056238652687,106.26533561516793,1.0560223744694455,-229.74030443494917,194.3065541336407,298.86246062729674,-51.097451908480686,-295.06872228742685,973.6688322251538,263.0893284826313,85.83467819912008,1119.4305120151316,-249.32072533518712,179.43975311338858,1273.4656179841402,-75.03097928750921,-308.87361107357833,-749.3419440187913,273.0758068514318,105.1409167897919,-899.0097397729903,-199.09346554888032,172.5479544481315,-1050.6565242990787,-33.81238552560723,-188.9083216654035,-299.4025898504563,281.9821533598756,106.33694312396341,1.0884114775910165,-229.76027189130588,194.30891119092274,298.7801039652769,-51.20095755300925,-294.9956956999206,750.5854121078378,282.34962025599276,101.45063978534985,901.0110581984743,-229.48062939422118,190.21727562881372,1048.8198260633294,-50.92344257294408,-298.3701846269709,-750.0075467288284,272.9579663203729,99.42491438721589,-900.0437751954697,-199.07873778649977,166.92194929367795,-1049.9487750810972,-34.3694899434712,-195.43763657165312,-300.0019211817006,281.82881177481744,102.65596330797493,0.05098161359773108,-229.8804705525961,192.78066640650417,299.94248588942395,-52.15548460772745,-295.4392859520502,750.0282483875852,281.94221478811977,102.59193384845749,899.8989408728951,-229.80147883111354,192.86081094318646,1049.9619496773137,-52.06093482059645,-295.31199672044454
calibration_00007,-1181.5762471082803,563.2137012425788,370.8964128239757,-1197.4337700500269,83.31345597279253,509.98777737115887,-1458.5918757972768,163.6167176612863,183.95004792313026,-113.35786324747009,62.968986244353715,227.87198922940559,197.04159494172694,-446.90474102052974,288.21591810368585,488.77623005673104,-238.02797607908022,-192.73139711454644,1191.80265615508,517.1122684197146,-228.50179654630423,1370.2180661050184,14.413428766797493,-139.56695881900978,1576.6803331349113,231.82036802728004,-589.6861836193505,-1142.4856847437252,250.55928120932217,135.58361427437023,-1287.8082309630142,-223.9965117174102,194.72973698563447,-1438.1442310637774,-54.9865079320293,-165.36029635472403,-302.2918129068233,281.7732401342792,102.5137874818888,-0.2719048328511778,-228.64551990456062,192.8875816650262,298.49378076547674,-50.295739479709304,-295.92334683885787,922.7102475221685,272.7610986538057,76.98336923394692,1084.6872505932474,-235.73919020903313,164.75520763026802,1227.8805575317406,-53.28680340701747,-323.8836521479247,-752.190811622481,271.18849567235395,99.82229973160524,-900.3628866959606,-201.4574232056154,168.0177822755045,-1051.361705395263,-37.696676110336014,-194.27466205429994,-302.2638039181255,281.7985294767,102.56044866515231,-0.243118976399127,-228.69143501831573,192.89995297766205,298.4366464227878,-50.26130896370774,-295.8891826726994,922.6713418888056,272.7698268798209,77.00416650190434,1084.7050496533116,-235.77174047691008,164.7076141644801,1227.8455055493682,-53.237688023204534,-323.85602016716075,-752.2418166302054,271.1147721460843,99.8505986953097,-900.3913682223646,-201.44299635734558,168.01902591461274,-1051.4316801073273,-37.632640988469326,-194.27506558384476,-302.30798490102393,281.80940492936185,102.51708182603602,-0.3008596172756106,-228.75184583480703,192.9231855005732,298.5246284954324,-50.21333287809918,-295.9474137299641,747.7004916883509,285.8681089948549,101.2375706683928,899.7437981295201,-225.29568590105146,191.79658612304374,1048.5618161276366,-47.593568325442675,-296.8425253386624,-749.9794964625345,272.9300278739799,99.41489593135265,-899.9465113540463,-199.05812884670166,166.88440670735608,-1049.9788051097516,-34.39702378805806,-195.30905265912938,-300.0533282829261,281.9309444931649,102.56521721490537,-0.04637066427889991,-229.83432049344546,192.9026097781613,299.99371664425263,-52.008964215668996,-295.469569835882,750.0219715826671,281.98551493307224,102.64284687428976,900.0269352033952,-229.87627040095543,192.84604939817748,1050.0655141375046,-52.19534186936614,-295.4607857097161
calibration_00008,-1166.89381319083,-85.25748820751059,-119.1364681192891,-1302.595709219404,-552.5713964911741,-4.6728134346001395,-1465.1748041664146,-425.9388977178903,-376.79866150740406,-239.6041258935139,197.9956150244738,149.90968847222854,62.35020836341883,-297.5168395422875,302.36014065548727,434.7844897986887,-112.84735240507929,-130.21462386350188,736.4029328917552,552.5485212891793,-121.27498570412962,1014.0933751938015,118.0860530919574,41.760371832105484,1110.4998590150828,244.58704118663306,-475.19565295712283,-973.2342508670457,257.4609604688288,80.52364524815567,-1120.7621862753,-215.46322669405947,147.50713483631512,-1262.647838328003,-54.73247739373505,-219.97918187029958,-299.08182225234503,283.45061751310686,103.34316356833803,1.1859303552369274,-228.31475721956707,193.27804026674048,300.0254969867725,-50.910388463808566,-295.75312038206545,1140.7222569807077,279.4891586827275,101.20439182236338,1289.9529936143638,-232.82891674293708,189.59232365297848,1439.7127467564965,-53.7443889661718,-298.2822147315398,-749.1283978666494,274.4880612566482,101.06436229747106,-898.9254691375318,-197.47578139192734,169.48614884395369,-1049.780140906688,-33.18514659946915,-192.72734366471556,-299.02854837408887,283.3857260322817,103.37659828076804,1.1584408964060582,-228.32988560055767,193.2713070524914,300.07443030883366,-50.90478817397187,-295.81761987860386,1140.6541085924966,279.47006642059927,101.20311454281246,1289.9002682736184,-232.8513996753793,189.57817186827592,1439.6616487412732,-53.66674659987114,-298.2502295105588,-749.0827729373372,274.5323071753764,101.10184626157117,-898.8651529740963,-197.50861032566448,169.38076555972307,-1049.8315744016447,-33.19952993324096,-192.76306401376047,-299.13653709663873,283.3859156839561,103.32925564625685,1.1119177371541267,-228.3257976350521,193.27170732465572,300.06765591149315,-50.905074080028406,-295.8008592864638,751.0572929525732,283.2954863783762,101.03929691347335,901.1978215064423,-228.38970831302578,191.29591949524252,1050.0687418933103,-50.92751556676223,-297.4734253692071,-750.0532115852446,273.0240178335819,99.3860510384285,-899.9882896578613,-199.01006157902788,166.9989803351208,-1050.0334398836703,-34.4546354736721,-195.3958737552325,-300.06067542702027,281.858801994355,102.62489612687357,0.009417235479395752,-229.8184393566815,192.8368909460603,299.9838803307303,-52.10043043264085,-295.41408459935104,750.0409850206107,281.9362547978635,102.52717423072731,900.0827041296386,-229.86570380979256,192.85004516231442,1050.0191151950926,-52.1393343956193,-295.422438311582
calibration_00009,-1226.25876227063,-9.362085317850383,-179.88851630362572,-1325.8467290790454,-477.9886033556575,-37.35756974052326,-1507.7528584778677,-382.5835267474327,-409.7941344456645,-464.55177531163474,518.5488167476277,125.26191789024088,-193.53047372528732,-12.643471478989385,58.82602352834349,-87.83731042874622,195.11340480347235,-494.04829940034773,764.1445518003268,367.74573465596814,374.0939337289127,949.9156669071649,-112.50078722538069,539.6208612646539,1078.8825423852852,-5.567847514188761,25.364977149703357,-993.6833912887299,279.8208472814224,71.70624616637703,-1150.9439957401735,-188.26046473431938,149.75682350948026,-1306.7518618876068,-25.70276615849974,-211.09530486929722,-300.3443970822778,281.1014732931362,101.3325483021145,-0.6804475320530049,-230.88468357262715,191.70451512897935,299.655739917481,-53.17272986751339,-296.33316615609505,933.4812592776483,291.152582278331,97.17272620340326,1085.2007678738312,-219.01719562152851,193.23094673257168,1241.1728467813264,-43.87960174160898,-294.1167315064259,-750.33470387142,272.3598942505091,97.78525634944333,-900.6808371079591,-199.53475262873636,165.3200923294288,-1050.330765583139,-34.797203198420895,-197.22372524577546,-300.294241758124,281.0420583147741,101.37154628300249,-0.6823654011648909,-230.8412452161771,191.61285250610825,299.7680872920246,-53.227037327950775,-296.34117475346096,933.5026384688629,291.16672934503987,97.15132436570576,1085.2878851097605,-219.08406574909907,193.2637664223011,1241.23752991788,-43.91613026824581,-294.06835878533076,-750.3312997119716,272.35535963492026,97.8555552786317,-900.6223506875144,-199.4850222517224,165.27270875847373,-1050.3443231949268,-34.777951002598726,-197.2238731798347,-300.31415534834343,281.11090083376865,101.38177522690896,-0.6737597501055735,-230.877300969256,191.65230174713147,299.74834723625685,-53.12820990172099,-296.3391112692893,749.7255918204519,280.4826841435759,102.06615740879138,899.3225042735623,-231.42228107374925,192.3280548600301,1049.7088857742724,-53.65340585303753,-295.88612825608226,-750.0062825347568,272.85266616791034,99.29976046745745,-900.0089883773632,-199.03473760475825,167.04593446102353,-1050.0409575459396,-34.553544818541305,-195.37769856770592,-300.07016166975205,281.92962477132414,102.55095361857157,-0.025171130452380047,-229.8669381217238,192.8053947442023,299.987180700741,-52.05034724355896,-295.4176396895748,750.0938427576242,281.84655548455345,102.65882371231011,899.9798395305447,-229.90225915545358,192.8710179802601,1049.9342403662672,-52.10896615548961,-295.37624746646975
