sample_id,s0_A1_x,s0_A1_y,s0_A1_z,s0_A2_x,s0_A2_y,s0_A2_z,s0_A3_x,s0_A3_y,s0_A3_z,s0_B1_x,s0_B1_y,s0_B1_z,s0_B2_x,s0_B2_y,s0_B2_z,s0_B3_x,s0_B3_y,s0_B3_z,s0_C1_x,s0_C1_y,s0_C1_z,s0_C2_x,s0_C2_y,s0_C2_z,s0_C3_x,s0_C3_y,s0_C3_z,s1_A1_x,s1_A1_y,s1_A1_z,s1_A2_x,s1_A2_y,s1_A2_z,s1_A3_x,s1_A3_y,s1_A3_z,s1_B1_x,s1_B1_y,s1_B1_z,s1_B2_x,s1_B2_y,s1_B2_z,s1_B3_x,s1_B3_y,s1_B3_z,s1_C1_x,s1_C1_y,s1_C1_z,s1_C2_x,s1_C2_y,s1_C2_z,s1_C3_x,s1_C3_y,s1_C3_z,s2_A1_x,s2_A1_y,s2_A1_z,s2_A2_x,s2_A2_y,s2_A2_z,s2_A3_x,s2_A3_y,s2_A3_z,s2_B1_x,s2_B1_y,s2_B1_z,s2_B2_x,s2_B2_y,s2_B2_z,s2_B3_x,s2_B3_y,s2_B3_z,s2_C1_x,s2_C1_y,s2_C1_z,s2_C2_x,s2_C2_y,s2_C2_z,s2_C3_x,s2_C3_y,s2_C3_z,s3_A1_x,s3_A1_y,s3_A1_z,s3_A2_x,s3_A2_y,s3_A2_z,s3_A3_x,s3_A3_y,s3_A3_z,s3_B1_x,s3_B1_y,s3_B1_z,s3_B2_x,s3_B2_y,s3_B2_z,s3_B3_x,s3_B3_y,s3_B3_z,s3_C1_x,s3_C1_y,s3_C1_z,s3_C2_x,s3_C2_y,s3_C2_z,s3_C3_x,s3_C3_y,s3_C3_z,s4_A1_x,s4_A1_y,s4_A1_z,s4_A2_x,s4_A2_y,s4_A2_z,s4_A3_x,s4_A3_y,s4_A3_z,s4_B1_x,s4_B1_y,s4_B1_z,s4_B2_x,s4_B2_y,s4_B2_z,s4_B3_x,s4_B3_y,s4_B3_z,s4_C1_x,s4_C1_y,s4_C1_z,s4_C2_x,s4_C2_y,s4_C2_z,s4_C3_x,s4_C3_y,s4_C3_z
train_00000,-806.5109500688901,577.9767901712461,126.25106816997582,-956.3260631883708,104.79213158992243,185.23696831614413,-1093.472894744219,270.8953937199103,-181.5382085917518,-124.47635021951723,453.1049374620575,-74.69999661363336,185.36640807330056,-59.09813583482284,-32.86527723712325,453.89849338340053,150.93983165979822,-526.5219435025105,1415.0611974396606,246.5063659398614,345.328515477066,1564.952473524861,-266.7481079231351,426.95834446977864,1728.2032755870857,-75.97059730542216,-52.174163630877196,-1138.3196244883468,293.6283210934465,81.31163707086792,-1294.567084644754,-176.58796826838162,147.19446053432807,-1434.3931463184297,-11.974296055851472,-219.25940130136667,-300.4807099916491,282.45647772544044,101.61635475005065,0.12314386476329278,-228.8649289003675,192.48663589028772,300.56377843135033,-50.92593704392395,-295.49742796293566,1090.894556635142,287.7591161204336,109.50748074347207,1254.1123683512392,-217.92698149951417,210.22196671072572,1405.9104815955873,-43.80317487435255,-278.8501588838967,-750.4289676433639,272.81203320895,97.90778795793679,-899.8814656378992,-199.30794637334915,165.38254034166974,-1049.6348022119585,-35.06844990349149,-197.28726909829456,-300.5374341259659,282.4736390597477,101.61518962924929,0.14808397022934125,-228.80868927905524,192.50982713472234,300.5508047405227,-50.894137244658125,-295.4455482504798,1090.8194462248791,287.7248773420177,109.56150963222937,1254.1297669364983,-217.86552601542638,210.2877662231278,1405.9415795643827,-43.77003847602422,-278.79534856299034,-750.4408568696283,272.86347633342604,97.89168565488161,-899.9209640968198,-199.2799786613131,165.47669534736883,-1049.6339170616839,-35.09965266449889,-197.26099761256754,-300.51517677027005,282.47295199184094,101.60419342506661,0.16297121728255398,-228.79643905454245,192.5443070862071,300.5541593507618,-50.891359169043064,-295.4228981553901,749.5030058317682,284.0762004340007,103.06520106542223,900.0917476070033,-227.42636706849026,193.7988193068529,1050.5436690007348,-49.80904573419606,-294.43695539241793,-750.0081784024118,272.89049444869056,99.44860061329409,-900.0775620182833,-199.03167193452074,166.9387415764975,-1049.990334353599,-34.38932980974876,-195.40954557747037,-300.0609378588459,281.90675843273635,102.55609110076632,0.10474621851612687,-229.79636111950308,192.85944926176836,300.01771643893613,-52.11549077199838,-295.4979367780642,749.9507297285097,281.93508846596075,102.5937405704755,900.0340037714725,-229.8045534526003,192.8177034344703,1050.0242447565113,-52.07803465840175,-295.4936371578362
train_00001,-1208.9405094989922,43.86965862611202,-234.49434036610427,-1408.238738035888,-383.70827187865905,-69.37171264194542,-1505.0436181734647,-309.61055840116626,-476.88524805565095,-322.6115960249863,309.11033289772763,-250.07070828473806,-49.84187704244164,-184.61110492264936,-45.47011899343742,367.3870908235704,-29.658208094544214,-447.8885902646932,881.7585772911239,522.7655505932657,-138.00471440630255,1095.553664584919,41.216548883568706,-15.56138945231681,1261.6150760658659,226.5127420459784,-495.8085864047628,-1043.3726337400553,243.64547494836867,93.85852568971447,-1198.8234210400042,-226.40661156199914,162.84003544941913,-1340.3249329706973,-63.87963799492223,-203.93523938337532,-300.27897404663344,280.01929894169086,101.73404609678445,0.842136682790766,-231.14283049558395,191.94088111398347,300.9286649093204,-52.44255272439254,-295.868683551726,1002.7856958977144,270.768126451757,119.91344429514996,1155.020391672111,-238.65971274413207,218.69538190305815,1315.5111515576,-64.12464139014648,-267.47161107243744,-750.2451302655222,270.04572788583096,98.00718792223931,-899.2978164076784,-202.30358326272167,165.19222650176832,-1049.2395749280206,-37.90778075462157,-197.27388043774505,-300.3159970207781,279.9284407463198,101.7059818046517,0.8953679386710638,-231.12588386943244,191.95824930189943,300.9431063066884,-52.43544939165948,-295.9003668077482,1002.8158925849101,270.79110785217324,119.91312937116145,1155.0423484857702,-238.67816947850932,218.65114200292797,1315.5799365632129,-64.06142753712922,-267.4876694972695,-750.2124463559484,269.99778095149156,97.97709883840626,-899.2770862218343,-202.33000705944082,165.264373507641,-1049.228275477467,-37.86722632182409,-197.28185523054074,-300.35898125052364,279.9137209850519,101.74145095445274,0.8835424281551347,-231.15460574816143,191.94183556063285,300.97091161754054,-52.41464878831371,-295.8453319699518,749.6784765116869,282.5648989204809,102.77272006382215,900.89396371389,-228.83653490768623,192.96143600192082,1050.9580320939538,-50.62219029981342,-295.18674775932135,-749.9474845971888,273.0219358826591,99.41040836054245,-900.1424406569657,-198.94098068023405,166.98983994393816,-1050.0203407622605,-34.30955833556751,-195.38333413163315,-300.07259332577854,281.8318162222657,102.61098239680356,0.029392704088243564,-229.90769221034327,192.76318785110132,300.09440430082736,-52.169225131291626,-295.4916743001654,749.9118498608352,281.8889719568532,102.64319237538714,900.0771450156817,-229.77152246761864,192.90950180059363,1050.0109247286923,-52.14096777982608,-295.5947442637107
train_00002,-1134.9785451063058,568.4995526088786,13.271904813680509,-1287.4965820219695,97.0584503778382,79.47756843549467,-1433.895504785334,262.37156869478895,-284.06529996270507,-158.3182149608324,634.353126021449,277.8512675307508,50.139845148700104,73.16122297460737,318.26410573248495,315.4442833122189,214.44652475029258,-200.97828091072853,1296.8190392538781,317.1992256511108,304.1852827421386,1377.003277493163,-195.71616605428093,455.6350629872126,1419.585815098289,-127.74067961531219,-79.16730721218875,-985.68328312979,286.485412507169,111.83473149070899,-1134.142966047651,-186.06928266018468,179.03688334713826,-1281.9560544966962,-22.655942966996243,-184.94145054093934,-298.49301424460464,280.9899312509839,104.35929514074343,2.0073699784039167,-230.46615993059007,194.8497865826457,301.88316362348246,-52.45574996694529,-293.5383261532532,925.8040957005265,274.926047334105,98.63865639959161,1066.949669857223,-237.36551625889268,198.9332390620062,1225.7610038569624,-69.85231281362901,-290.1528770759735,-748.4381938884155,271.53927022209757,101.07834159314392,-897.9712829473549,-200.61648305334847,168.86264692279389,-1048.1636984473928,-36.25474457722742,-193.66668946465904,-298.5471090235261,280.9143643036198,104.3935752190484,2.0658344366573855,-230.42481711483413,194.76221086855367,301.93877513599944,-52.39867869547509,-293.45313162832167,925.8186756791813,274.9119285364199,98.59159244815476,1066.9184776575146,-237.44207856079507,198.93794717732783,1225.7497616287953,-69.789771458928,-290.12789079050805,-748.3977173372236,271.52918233731174,101.14268201594082,-898.0137372630489,-200.62506615032237,168.87925990092134,-1048.1234172765726,-36.28630417596014,-193.6235161616794,-298.6106465342185,280.9965894521905,104.44094817023553,2.0567851796346446,-230.45956893445577,194.72553471718385,301.92104341631745,-52.3085159981952,-293.47413862427396,751.5199692732764,282.12824392496503,104.65197879662296,902.0501315292375,-229.25525867806064,194.97396376314677,1051.9261146784038,-51.44202193726967,-293.25090390037116,-749.9110745679233,272.9309683845285,99.29908516029775,-900.0551727673969,-198.94752118792118,167.0664714982314,-1050.056742725693,-34.493741340400895,-195.42483591002224,-300.0833473161247,281.9147814710383,102.52745800301004,-0.06344709889573445,-229.8800082875145,192.76403594176017,299.9544863325455,-52.154136301545826,-295.4785384268579,749.9414181058636,281.791190418283,102.55184900175217,900.0641617768298,-229.74083552764566,192.93630858078544,1049.9445340600143,-52.0344262964477,-295.4197181140189
train_00003,-1178.774524375965,590.3616964198866,322.24906639112515,-1240.9061428848386,125.34225675077197,494.69646443802134,-1492.4486675163012,206.79307635183721,161.5351418741624,-201.87330490724736,-8.231163726073392,25.09714187967349,148.47208746823583,-469.7464081918792,181.09075473630475,405.6565568819852,-356.13781647114234,-348.9872536561704,1251.5928067639659,51.731317927459514,189.53642376224468,1449.6545019052433,-439.7168315057338,297.82637841501366,1557.744624309621,-278.47704732403105,-206.98263523118283,-1083.6281793212117,302.2337385530269,122.72414202826782,-1227.1548554990072,-171.56600310691684,191.3370181139757,-1382.1986894887143,-8.682919784215978,-169.74103496150266,-298.4574444771109,281.4866522655358,102.80260285348604,0.9089397087855975,-230.92385899975247,191.4575983067203,300.97320924070226,-52.339396453992194,-296.43630289873147,1140.444504356036,262.39296191388854,94.25104732710201,1290.3880530578335,-249.91313340586444,181.28260651520145,1440.1351449794017,-69.21573196858675,-306.0548181497119,-748.4278148909863,273.11392983922497,99.60335046061792,-899.1229147351745,-198.73232208648113,166.14143881555518,-1049.0403410674462,-33.04925054823613,-195.8310540138403,-298.42801413434114,281.45282274450994,102.78560824245064,0.8996638389578392,-230.87411918593335,191.4670994717714,300.9965537922792,-52.32120272085881,-296.4147931540706,1140.4334890209088,262.3562939013982,94.30470193968111,1290.4067621987333,-249.9676761896968,181.30312570836512,1440.1215787688554,-69.24434017132931,-306.07515999383935,-748.3677882880493,273.1046612677401,99.60036438166743,-899.1287109839022,-198.83882094242938,166.0791309833844,-1049.0387170422812,-33.06201570448362,-195.84036960539066,-298.43057756474514,281.4019525616596,102.83584298055533,0.8646305248422936,-230.8893664693213,191.50205750919747,300.90061641660094,-52.25233405577588,-296.2798993935479,751.5903933714195,280.0250560259467,102.40730687211757,900.8914490753507,-232.17711976663122,191.24798953144514,1051.0603816674247,-53.34045259869533,-296.76958382699615,-749.9968108478782,272.8747833999144,99.32259141454882,-900.100906802938,-198.90595197359173,166.98622844493357,-1050.0926539371123,-34.464535638678996,-195.45140849507158,-299.9385962578933,281.8585119283429,102.65816383354813,-0.07644148194313952,-229.77940038874556,192.88415017167264,299.9612546359072,-52.00481989894592,-295.34208256116153,750.0845790400666,281.88900313794835,102.5282178517659,900.0039706176185,-229.7722412891676,192.86379976892184,1050.069504312287,-52.0892273370118,-295.47969737696474
train_00004,-1344.8207382888982,372.70633746887637,394.9408464015424,-1444.8460172185264,-113.60258319991011,453.1438748480903,-1629.2690602749037,46.57146939895906,104.93645009496059,-134.82998715335893,251.7534155115329,196.433675144558,137.09816371454002,-265.5311655714314,332.7682863054191,564.7152905892679,-48.80610710372957,-28.00351931455081,657.1916306440093,470.38076923407044,322.14531238991174,872.1210113124565,-20.872709602924324,392.70030734134974,1065.2869702669125,229.6760236653065,-45.94434731861081,-1101.0660533903283,255.82490325207567,120.69543937830221,-1262.5868198230658,-213.65731270671887,178.13820849637227,-1409.5890433492332,-37.27987629423838,-179.83942226917333,-297.4965363584671,282.18443708273526,103.5787743744205,0.5140389411575692,-230.82444963131277,192.8961536146369,300.65941333738334,-53.64002494707853,-295.53730320143444,905.3072762626643,283.0552221058871,78.92121751275606,1057.887129729381,-227.22887708118597,173.67751042233562,1201.218115877538,-55.18098499289018,-318.63397067763634,-747.5432609978312,275.011443980984,100.82028004318002,-899.4037893372193,-196.38766093059527,168.06533147418307,-1049.0941462857234,-30.763435018866293,-194.00829557745823,-297.4469820248704,282.19258404964825,103.53487548444619,0.5280637787502425,-230.81898081450515,192.81166699348486,300.690913214287,-53.736895430274494,-295.59215615852446,905.285244301328,282.98589552090294,78.89934573118856,1057.9220484376126,-227.21235730717515,173.69880696595496,1201.2635797672417,-55.152370756193775,-318.6185228594294,-747.6061010207379,274.9927898051917,100.82175022843991,-899.4227087164511,-196.38764833360477,168.08089063358779,-1049.1452895008429,-30.77330777360206,-193.9677998266106,-297.4673744298123,282.1073528477775,103.53491846543024,0.5168921026751591,-230.80618926673418,192.81341723288017,300.6555054406701,-53.66528928944703,-295.58896816500027,752.4880841964784,277.9098211134786,102.35772510163979,900.544993299822,-234.5737030053883,191.81759032222575,1050.6773125082723,-56.8049845180249,-296.551792285474,-750.0727354728165,272.9075880701793,99.37985118950286,-900.0350887036572,-198.98783407918305,167.03024326988927,-1050.0667417439402,-34.393868411880874,-195.41901454831213,-299.96177066148095,281.90653998793584,102.65083292858283,0.018120630205512966,-229.75526257405187,192.83972133182093,299.9345939898203,-51.94350275619469,-295.40351305058084,750.0871128783585,281.9331225304517,102.57355287128851,899.9875924958397,-229.84734224384826,192.96251482461412,1050.055382302328,-52.12464478911958,-295.5007250295567
train_00005,-1196.4397016604769,586.0927581666771,-246.7947119358427,-1352.511829865089,116.1483702504952,-178.44962990532673,-1489.6822610897373,277.76777305719435,-547.2721576103502,-371.9108325759945,98.93849778513116,222.2463440087326,-173.42416373440076,-460.69309811540353,136.45171046395157,25.212827891026283,-230.62394428356356,-380.8030344902524,649.6271664408113,472.3937913105319,345.68663054641127,856.6416687136636,-22.34872921805228,414.85658246040816,989.907954234539,194.02657469255556,-62.55454260230417,-1017.5739063099595,284.151877214995,99.6670789479055,-1169.8707671413924,-187.1830815987236,165.69752911023016,-1315.4059375275037,-22.16033705355427,-198.31390840238203,-300.9018416318754,282.24172439441685,104.38137290603512,-0.9115530164685204,-229.3971490510666,194.9948830522762,298.9947896091726,-52.101024840730744,-293.5178709007927,995.481922756641,289.44167070142856,81.09654256387547,1146.2479897189316,-221.86128343794198,172.45780890660032,1295.1269449859174,-45.3094574168932,-316.6107190966303,-750.9490704266769,273.25281522452394,101.19588325524393,-900.9630378162464,-198.50427609077627,169.37161611663967,-1050.952395459365,-34.32266497007844,-193.16009380170223,-300.88110900838467,282.25574104294816,104.47563554980498,-0.8891588833988439,-229.3827605506226,194.9695936399597,299.0356807857723,-52.13854990134367,-293.55006525993423,995.475559145217,289.36564447010124,81.16066635654376,1146.2543950599395,-221.89258131716034,172.5397456925983,1295.1671289972858,-45.31703160887374,-316.62151575204103,-750.9065308517527,273.30632566473037,101.2034066912079,-900.9699265324065,-198.51384779841172,169.33668799888184,-1050.9715682840736,-34.308967094489766,-193.16103031485105,-300.94648785788127,282.2671995422027,104.45983817838987,-0.8379063067931021,-229.39414335826854,194.96024287147412,299.0072643979368,-52.09489506896963,-293.6318519888313,749.1662381721025,282.2546809299112,104.06383176044807,899.1604243181201,-229.4022237154705,194.74827769172285,1048.9929114620616,-52.19307463451062,-293.8561593604802,-750.0739077882172,272.9239193143017,99.35134877660752,-900.1770237834606,-198.95146050552884,166.9837112641206,-1050.0117854023063,-34.464949572369925,-195.45866209988898,-300.0126032215669,281.88425071324144,102.62460275426271,0.03404845080265366,-229.7837101444741,192.84391631702724,300.0323183889857,-52.095612905188595,-295.49075895581944,749.9901139300539,281.8820375098787,102.63881795241878,900.0844096991588,-229.84188921442941,192.90260872251716,1050.0070754330345,-52.14835320756979,-295.44220149678875
train_00006,-1088.166013853488,448.89904373423207,157.515388295407,-1138.2247429311574,4.90060728703968,381.4359199307084,-1285.1980709414988,-0.3362617496682789,-17.672171536742372,-186.49611158902613,215.31667922537218,-221.03631046323102,101.71822757330578,-303.3281904376343,-131.9868829200755,387.49457858811536,-144.05927824743134,-635.0102520358305,932.998527139807,608.3963948615599,-80.04591481129336,1072.4771579742999,87.938747242265,-33.16070567881823,1172.140382884493,286.31612839745156,-526.2852843130706,-917.946723561574,262.4253340676359,77.2174156197538,-1072.8777036024953,-208.53301423928102,139.95891299941513,-1215.747409808297,-40.95251215521923,-223.8688689247276,-299.9583120434127,280.2726030222383,101.7631219230468,-0.571504733041342,-231.64268791429382,192.84033669377212,300.5459969935897,-54.399931186013376,-295.0177341757806,1032.5527411647174,299.352585201972,101.02467872906776,1190.2753008981633,-212.2121932330287,178.47602624215673,1336.7664906168675,-20.21017473172207,-305.44662784788306,-749.9253343164421,271.66098120034167,97.72372154825146,-900.4365293041618,-200.1971796304015,165.17461549380087,-1049.6728640505535,-35.65211935097146,-197.50371522311505,-300.02461101119036,280.3175220971775,101.74043619817779,-0.5315027756333687,-231.6691655828104,192.81438405759232,300.51891635754987,-54.41469983246459,-295.01929869013134,1032.5215913336344,299.41482571515934,101.0973069551675,1190.32727045565,-212.15689529931893,178.41772250299286,1336.782890841595,-20.213170064368448,-305.4773705999331,-749.9424210986483,271.6602236135046,97.65918752198989,-900.5364885625486,-200.16143837947743,165.2233485612963,-1049.6409961059796,-35.60998194927198,-197.54376641251142,-300.07936192311803,280.2958342074469,101.76333192042249,-0.5392779110086268,-231.5845668538352,192.77762595933348,300.5069751977651,-54.392757153675,-295.0244611209706,749.9657952435319,279.46051720876227,103.71158981779215,899.4073089878275,-232.35228773505227,194.51425183540522,1050.4575503777853,-55.007662880657186,-293.55890646896,-749.8838690284249,272.9072892747405,99.32903363555924,-900.043962280855,-199.09443498831737,167.01941144538011,-1049.9790100196935,-34.475353464692446,-195.29654546120753,-300.07791398910945,281.8793425566559,102.65423375253867,0.05994035237681473,-229.85313753935765,192.83506603832302,300.0040246984328,-52.05100076900875,-295.44892310234553,750.0154038427847,281.8949894590028,102.56172912584778,900.0158851435903,-229.781352900806,192.89003534028635,1049.9759292859776,-52.17665278566735,-295.4797150348204
train_00007,-1008.8932856502821,62.32954803082182,74.6418609354027,-1126.932364447399,-376.54277136034625,282.49272236121345,-1256.0998827761857,-351.954277142307,-122.00869049080656,-29.482191394042047,-7.124879130539772,-152.76034676169408,385.94942645087815,-439.21877132542613,-178.63033294713762,523.2595629207178,-171.91403968261662,-698.0114928692486,1184.6465030946447,605.4241607527794,93.39212705348797,1336.75600814499,92.5845810760175,173.3732642636294,1490.1934790745188,282.10311498416075,-309.4203865421062,-1069.7742769481436,259.4939687436215,112.39363030663431,-1220.2172808730827,-212.7768851345706,176.72293335814442,-1368.4530122045817,-46.28225175858732,-185.42199920706094,-300.41829204316065,283.26483611758977,103.45255652430806,-2.091851858184278,-229.3889673557077,193.59745087053787,298.3519626867098,-52.53847254605572,-294.73954280367974,1098.4000340174778,280.3393282902131,93.7190669827657,1251.1370619240229,-230.47735647830794,184.03829358316543,1402.1321283124157,-51.35379665385987,-303.3855436813891,-750.4973980049072,275.89216024559965,100.25177688192045,-901.9457539906459,-195.70966069799306,167.94814538175024,-1051.5793244368647,-30.639558527149983,-194.39055145820743,-300.48336396522546,283.3054235811139,103.47493979428428,-1.992431523486917,-229.39144261450332,193.56252276397578,298.38397762271484,-52.485409872870065,-294.7196378582028,1098.4269811659437,280.3752277596018,93.6740015233231,1251.0510015702837,-230.51555800868866,183.94865448198544,1402.098876693749,-51.416765967926025,-303.3262392988037,-750.4728471744335,275.8687549406501,100.30247557793533,-901.8966806106482,-195.64187237765975,167.8826768032127,-1051.5931948083376,-30.634702036766406,-194.43514739338224,-300.54788115041424,283.28829281990755,103.49098800593386,-2.0335890366666516,-229.37278465485124,193.54885922430122,298.400987843634,-52.52978310633371,-294.70575821965747,749.5337207004733,280.00002189386964,103.33732848137484,898.085281155577,-232.08770843267175,193.3456541514189,1048.3529411313416,-54.76225254370209,-294.8583388814381,-750.0254844717958,273.0667492832956,99.305599973554,-899.9409877790766,-198.9773044983819,167.00567266107362,-1050.1603679296252,-34.52931183081954,-195.35543867307842,-299.98781343101274,281.84881076937523,102.63632340148226,0.006076412102761004,-229.96313857584977,192.75123449180495,300.0123726881849,-52.1390447795316,-295.4657730935596,749.9342918823451,281.9564610622735,102.54142268878569,900.0747378099778,-229.78666632628762,192.78444979266945,1050.0457294391574,-52.09147388132887,-295.4420159858193
train_00008,-1264.4424582269876,410.8364490226565,-81.73440336751757,-1329.5838492453395,-83.08085306686733,-40.712779644788654,-1460.0428992741477,64.19001748567896,-417.86374863719925,-147.70914066461776,532.2760447724763,-153.84166906795923,237.3708427293028,72.43423731575182,-169.06987839380955,361.3537683845674,292.20623676733817,-713.418700844311,898.1212778631202,252.00187228716064,10.998067416667022,1038.0291864895971,-263.9048208782774,93.06279117122648,1189.2645821390663,-82.25217682960113,-393.33289396236836,-990.7170966524687,290.65696665755866,79.3388397258503,-1145.5678027737692,-181.41181830598114,134.53383172937163,-1291.247672450944,-6.874420836866196,-224.94040682339266,-301.8583403648314,279.98481346916935,103.5356934807342,-1.2479588427213582,-231.04474686405555,195.4491448039696,298.8138764555969,-54.561286324833524,-293.1940011619527,1115.1961214259914,284.6875097763487,73.98487994327553,1272.8133490812772,-223.84890389850895,168.98096841727863,1416.2376940328986,-49.91468075768251,-322.59074567766316,-751.8138441858731,270.46161624561495,99.9723102683707,-901.3069802379624,-201.45938622885137,169.15217563547205,-1051.3180620635444,-38.26343824866034,-193.88464328849838,-301.8275739489369,280.0353501405585,103.42528504069723,-1.22352564125034,-231.09278896243958,195.5364642261055,298.85717617595975,-54.58363813769602,-293.21910792308284,1115.0923735841627,284.6971434839233,73.99268169622998,1272.7945047197331,-223.86459895352814,168.96163895432096,1416.2787212859166,-49.89854352441401,-322.60514306165277,-751.8478510906624,270.49533351075024,100.00869060825485,-901.2296449245418,-201.4706467667255,169.12591288691715,-1051.2294552863232,-38.19081099001285,-193.91647016322105,-301.83859817033175,279.9534470406094,103.50675449908562,-1.249068231843075,-231.1495899463191,195.56906768265264,298.8418535402057,-54.63595657140767,-293.2251414935707,748.2835470372156,281.3419201985512,103.92448857692386,898.8579618913925,-229.97538663401696,196.04656472675833,1048.816552091914,-53.58518327644366,-292.73151755776735,-750.0356992057807,272.91462107644503,99.32554944919643,-899.9660137237283,-199.05839628450371,167.02973111851009,-1050.0748843553959,-34.43512819911167,-195.44144391339378,-300.0502525094589,281.8923788295231,102.61791498660826,0.006819271068509639,-229.85807202352294,192.8647735496946,300.0310709505813,-52.074893512996155,-295.4305087493868,749.9757783882283,281.9426671052237,102.55920032168444,899.9190837706768,-229.87071106543897,192.81175994389307,1049.9652971712703,-52.128354079592626,-295.4286075855383
train_00009,-1108.9128228940879,-36.12787050932054,403.1605605859915,-1240.887934116536,-502.2469522385792,526.3277018552432,-1379.9719655377185,-394.2032548362222,139.1082896683438,-406.21458148397977,618.0257965486607,-58.19388636189414,-75.46672998949539,132.6789975689086,64.74014889506425,191.86280441017956,276.64296727848773,-452.9039510349857,674.0047178511323,280.8889085076547,380.2226448522812,844.2240447236289,-231.2266875390097,416.4448379337581,1014.0408768176256,12.987829665877996,-35.21072304521745,-987.3177797971034,251.0553861695213,96.88847546492617,-1133.0961290270016,-223.17143706990421,157.39970724731398,-1277.247921433843,-57.27859358107047,-206.7574371272019,-300.4820624475505,280.4903249588816,101.47770223538957,-0.5517627312719241,-231.25547319354604,191.62856306593974,299.5720662922337,-53.480881646431015,-296.7525136690457,1034.1275071615305,277.8812903080104,104.34549915051471,1186.8063473368854,-232.5030985650424,198.00183498219758,1339.6149664472716,-55.7637924267935,-289.71674697930104,-750.4866052127999,271.57517802951844,98.21709936121897,-900.5751481055065,-200.34177454586592,165.8141802445395,-1050.5119532686306,-35.66444055019153,-196.60566409191009,-300.48745946011366,280.48433389888237,101.44936168491945,-0.5979815763558322,-231.27599232894804,191.64976337869896,299.52906282630806,-53.542104859691946,-296.68181578361464,1034.1274366860807,277.8983758792995,104.32214168839545,1186.8477642191758,-232.53052172791735,198.03339706465943,1339.6181434213042,-55.85875917223776,-289.6677136487262,-750.5300652950757,271.4987503661531,98.22893108057815,-900.5273584224132,-200.37359022432312,165.81676084924263,-1050.5125085767038,-35.66251605617439,-196.5927206263078,-300.504719337321,280.5512320510294,101.44681441034204,-0.5248649740623446,-231.26579821889004,191.6165120542742,299.4766140108155,-53.50917203591075,-296.664097842032,749.5154669189566,280.36046695531877,101.403553686013,899.4079501456973,-231.4577343872792,191.64417719316017,1049.3788658126741,-53.67358720537766,-296.6054222640614,-749.9740515638883,272.86140881208445,99.33748656767762,-900.0222566620025,-199.05398855756994,166.97947861075195,-1050.0451423120387,-34.34943143096948,-195.38738149948387,-299.97374922869085,281.92048516203744,102.56762368620835,0.015867868059431356,-229.6994662500215,192.903667959158,300.07243158955464,-52.159835489855666,-295.4657433338249,749.9798304368331,282.05088688293176,102.6912183427319,900.0285528467574,-229.82086054168914,192.8347413003367,1049.9383217168668,-52.0798527342716,-295.4150342094618
