sample_id,quality_defect,observed_node,maximum_final_error_mm,predicted_root,trace_status
test_00000,False,s4_B3,0.9048069067869285,,no_quality_defect_at_entry
test_00001,False,s4_C2,0.15074066373536593,,no_quality_defect_at_entry
test_00002,False,s4_C2,0.16980016876862922,,no_quality_defect_at_entry
test_00003,False,s4_B1,0.6379437664729567,,no_quality_defect_at_entry
test_00004,False,s4_C2,0.15678800139569493,,no_quality_defect_at_entry
test_00005,True,s4_C3,1.218653805547631,h4_final,localized_candidate
test_00006,False,s4_A2,0.6833725680422453,,no_quality_defect_at_entry
test_00007,False,s4_A3,0.17966665900609888,,no_quality_defect_at_entry
test_00008,False,s4_A1,0.6048171830476721,,no_quality_defect_at_entry
test_00009,False,s4_B3,0.1409011523680112,,no_quality_defect_at_entry
test_00010,False,s4_C2,0.1211525231414696,,no_quality_defect_at_entry
test_00011,False,s4_B2,0.15299135248958642,,no_quality_defect_at_entry
test_00012,False,s4_A1,0.5592075182900745,,no_quality_defect_at_entry
test_00013,False,s4_C3,0.16502653379260585,,no_quality_defect_at_entry
test_00014,False,s4_A1,0.619923105413743,,no_quality_defect_at_entry
test_00015,False,s4_C1,0.15573159690328733,,no_quality_defect_at_entry
test_00016,False,s4_B1,0.6239607650027394,,no_quality_defect_at_entry
test_00017,False,s4_C3,0.1643036871932639,,no_quality_defect_at_entry
test_00018,False,s4_C2,0.13348794343764356,,no_quality_defect_at_entry
test_00019,False,s4_B2,0.5168172634899935,,no_quality_defect_at_entry
test_00020,False,s4_C2,0.5825354148665177,,no_quality_defect_at_entry
test_00021,False,s4_C3,0.13712447295291488,,no_quality_defect_at_entry
test_00022,False,s4_C3,0.154881645839483,,no_quality_defect_at_entry
test_00023,True,s4_B3,1.2294506351214598,h4_final,localized_candidate
test_00024,True,s4_A3,1.3060564007990207,h4_final,localized_candidate
test_00025,False,s4_A1,0.6274919907523423,,no_quality_defect_at_entry
test_00026,False,s4_B3,0.5985462021501013,,no_quality_defect_at_entry
test_00027,False,s4_C2,0.1338198352468624,,no_quality_defect_at_entry
test_00028,False,s4_A2,0.6468048021251868,,no_quality_defect_at_entry
test_00029,False,s4_C1,0.5625129479037586,,no_quality_defect_at_entry
test_00030,False,s4_C2,0.9390302737461834,,no_quality_defect_at_entry
test_00031,False,s4_C3,0.12827964152393465,,no_quality_defect_at_entry
test_00032,True,s4_B1,1.2626217360182712,h4_final,localized_candidate
test_00033,False,s4_B2,0.11273321423708836,,no_quality_defect_at_entry
test_00034,False,s4_A1,0.1591029567387759,,no_quality_defect_at_entry
test_00035,False,s4_C3,0.12027097099068453,,no_quality_defect_at_entry
test_00036,False,s4_A2,0.1171561772838363,,no_quality_defect_at_entry
test_00037,False,s4_A3,0.11345046657147959,,no_quality_defect_at_entry
test_00038,False,s4_A1,0.12951902111669145,,no_quality_defect_at_entry
test_00039,False,s4_B3,0.6501324920750133,,no_quality_defect_at_entry
test_00040,False,s4_A3,0.18515160132335215,,no_quality_defect_at_entry
test_00041,False,s4_C3,0.10984349661015529,,no_quality_defect_at_entry
test_00042,False,s4_B1,0.14571039931005295,,no_quality_defect_at_entry
test_00043,False,s4_A2,0.1460594933541694,,no_quality_defect_at_entry
test_00044,False,s4_A1,0.11824688630588191,,no_quality_defect_at_entry
test_00045,False,s4_B1,0.6936747026876078,,no_quality_defect_at_entry
test_00046,False,s4_C1,0.11505693531823295,,no_quality_defect_at_entry
test_00047,False,s4_B2,0.876649948781242,,no_quality_defect_at_entry
test_00048,False,s4_B3,0.8678871944210597,,no_quality_defect_at_entry
test_00049,True,s4_B3,1.2749307776712762,h4_final,localized_candidate
test_00050,False,s4_C1,0.1373027736927042,,no_quality_defect_at_entry
test_00051,False,s4_C3,0.15735013001269746,,no_quality_defect_at_entry
test_00052,False,s4_C1,0.5484132668070764,,no_quality_defect_at_entry
test_00053,False,s4_C1,0.12695918977501328,,no_quality_defect_at_entry
test_00054,False,s4_A1,0.6650452267936364,,no_quality_defect_at_entry
test_00055,False,s4_A2,0.7358733784864256,,no_quality_defect_at_entry
test_00056,False,s4_A2,0.19893889818198582,,no_quality_defect_at_entry
test_00057,False,s4_B2,0.8228226967000364,,no_quality_defect_at_entry
test_00058,False,s4_A3,0.17017432938565086,,no_quality_defect_at_entry
