source,target,kind
s0_A1,h1_A,localization
h1_A,s1_A1,motion
s0_A2,h1_A,localization
h1_A,s1_A2,motion
s0_A3,h1_A,localization
h1_A,s1_A3,motion
s0_B1,h1_B,localization
h1_B,s1_B1,motion
s0_B2,h1_B,localization
h1_B,s1_B2,motion
s0_B3,h1_B,localization
h1_B,s1_B3,motion
s0_C1,h1_C,localization
h1_C,s1_C1,motion
s0_C2,h1_C,localization
h1_C,s1_C2,motion
s0_C3,h1_C,localization
h1_C,s1_C3,motion
s1_A1,h2_front,localization
h2_front,s2_A1,motion
s1_A2,h2_front,localization
h2_front,s2_A2,motion
s1_A3,h2_front,localization
h2_front,s2_A3,motion
s1_B1,h2_front,localization
s1_B2,h2_front,localization
s1_B3,h2_front,localization
s2_B1,h3_rear,localization
s2_B2,h3_rear,localization
s2_B3,h3_rear,localization
s2_C1,h3_rear,localization
h3_rear,s3_C1,motion
s2_C2,h3_rear,localization
h3_rear,s3_C2,motion
s2_C3,h3_rear,localization
h3_rear,s3_C3,motion
s3_A1,h4_final,localization
h4_final,s4_A1,motion
s3_A2,h4_final,localization
h4_final,s4_A2,motion
s3_A3,h4_final,localization
h4_final,s4_A3,motion
s3_B1,h4_final,localization
h4_final,s4_B1,motion
s3_B2,h4_final,localization
h4_final,s4_B2,motion
s3_B3,h4_final,localization
h4_final,s4_B3,motion
s3_C1,h4_final,localization
h4_final,s4_C1,motion
s3_C2,h4_final,localization
h4_final,s4_C2,motion
s3_C3,h4_final,localization
h4_final,s4_C3,motion
s0_A1,s1_A1,state
s0_A2,s1_A2,state
s0_A3,s1_A3,state
s0_B1,s1_B1,state
s0_B2,s1_B2,state
s0_B3,s1_B3,state
s0_C1,s1_C1,state
s0_C2,s1_C2,state
s0_C3,s1_C3,state
s1_A1,s2_A1,state
s1_A2,s2_A2,state
s1_A3,s2_A3,state
s1_B1,s2_B1,state
s1_B2,s2_B2,state
s1_B3,s2_B3,state
s1_C1,s2_C1,state
s1_C2,s2_C2,state
s1_C3,s2_C3,state
s2_A1,s3_A1,state
s2_A2,s3_A2,state
s2_A3,s3_A3,state
s2_B1,s3_B1,state
s2_B2,s3_B2,state
s2_B3,s3_B3,state
s2_C1,s3_C1,state
s2_C2,s3_C2,state
s2_C3,s3_C3,state
s3_A1,s4_A1,state
s3_A2,s4_A2,state
s3_A3,s4_A3,state
s3_B1,s4_B1,state
s3_B2,s4_B2,state
s3_B3,s4_B3,state
s3_C1,s4_C1,state
s3_C2,s4_C2,state
s3_C3,s4_C3,state
