sample_id,quality_defect,observed_node,maximum_final_error_mm,predicted_root,trace_status
test_00000,False,s4_B3,0.7144140385083774,,no_quality_defect_at_entry
test_00001,False,s4_B2,0.1394445624151676,,no_quality_defect_at_entry
test_00002,False,s4_A1,0.15286253477448117,,no_quality_defect_at_entry
test_00003,False,s4_C3,0.8127183348307798,,no_quality_defect_at_entry
test_00004,False,s4_C1,0.104989209761286,,no_quality_defect_at_entry
test_00005,False,s4_A1,0.7842863843306299,,no_quality_defect_at_entry
test_00006,True,s4_B2,1.1090329274936053,s3_B2,localized_candidate
test_00007,False,s4_C3,0.22377825775366436,,no_quality_defect_at_entry
test_00008,True,s4_A1,1.2015578764468824,s4_A1,localized_candidate
test_00009,False,s4_A1,0.16436203078587378,,no_quality_defect_at_entry
test_00010,False,s4_B1,0.20544781705546208,,no_quality_defect_at_entry
test_00011,False,s4_B3,0.19064998719278628,,no_quality_defect_at_entry
test_00012,False,s4_A1,0.9126594973347325,,no_quality_defect_at_entry
test_00013,False,s4_A1,0.1596571348461365,,no_quality_defect_at_entry
test_00014,True,s4_C1,1.2261486449600907,s4_C1,localized_candidate
test_00015,False,s4_B1,0.13859228182802463,,no_quality_defect_at_entry
test_00016,True,s4_C2,1.246357586378133,s4_C2,localized_candidate
test_00017,False,s4_B1,0.1446392912149263,,no_quality_defect_at_entry
test_00018,False,s4_B1,0.1404451828167711,,no_quality_defect_at_entry
test_00019,False,s4_C2,0.5213812199051874,,no_quality_defect_at_entry
test_00020,True,s4_A2,1.1949489131717166,s4_A2,localized_candidate
test_00021,False,s4_A1,0.16347755152887172,,no_quality_defect_at_entry
test_00022,False,s4_B2,0.20484733197661584,,no_quality_defect_at_entry
test_00023,False,s4_C1,0.6344703710076487,,no_quality_defect_at_entry
test_00024,False,s4_C1,0.6215732466149235,,no_quality_defect_at_entry
test_00025,False,s4_A3,0.9829639655455967,,no_quality_defect_at_entry
test_00026,False,s4_B3,0.9582477331437427,,no_quality_defect_at_entry
test_00027,False,s4_C3,0.13547480949864282,,no_quality_defect_at_entry
test_00028,False,s4_A3,0.6147217690601013,,no_quality_defect_at_entry
test_00029,True,s4_A3,1.0437042732151542,s2_A3,localized_candidate
test_00030,True,s4_B2,1.1990608022053415,s4_B2,localized_candidate
