sample_id,quality_defect,observed_node,maximum_final_error_mm,predicted_root,trace_status
test_00000,True,s4_A1,1.6611082394022942,s2_A1,localized_candidate
test_00001,False,s4_B2,0.13944456241516823,,no_quality_defect_at_entry
test_00002,True,s4_A1,1.546758086134556,s2_A1,localized_candidate
test_00003,False,s4_C2,0.17184918348412498,,no_quality_defect_at_entry
test_00004,True,s4_A1,1.336016788039391,s2_A1,localized_candidate
test_00005,True,s4_A1,1.2902756445300145,s2_A1,localized_candidate
test_00006,True,s4_A1,1.3749655637960365,s2_A1,localized_candidate
test_00007,False,s4_C3,0.22461373782716765,,no_quality_defect_at_entry
test_00008,True,s4_A1,1.2696419647851824,s2_A1,localized_candidate
test_00009,False,s4_A1,0.1643620307860485,,no_quality_defect_at_entry
test_00010,True,s4_A1,1.3763721161883034,s2_A1,localized_candidate
test_00011,True,s4_A1,1.1530847529213017,s2_A1,localized_candidate
test_00012,False,s4_A1,0.13903564990759518,,no_quality_defect_at_entry
test_00013,True,s4_A1,1.4474852222528676,s2_A1,localized_candidate
test_00014,False,s4_A1,0.1782929070756675,,no_quality_defect_at_entry
test_00015,True,s4_A1,1.3807063870742096,s2_A1,localized_candidate
test_00016,True,s4_A1,1.4108507536694497,s2_A1,localized_candidate
test_00017,True,s4_A1,1.6262058205959602,s2_A1,localized_candidate
test_00018,False,s4_B1,0.14044518281674934,,no_quality_defect_at_entry
test_00019,True,s4_A1,1.0602319841021284,s2_A1,localized_candidate
test_00020,True,s4_A1,1.312484363098486,s2_A1,localized_candidate
test_00021,True,s4_A1,1.3806712521726514,s2_A1,localized_candidate
test_00022,True,s4_A1,1.466203292136818,s2_A1,localized_candidate
test_00023,False,s4_B1,0.15596912677244773,,no_quality_defect_at_entry
test_00024,True,s4_A1,1.494830316795205,s2_A1,localized_candidate
test_00025,True,s4_A1,1.2971535605286366,s2_A1,localized_candidate
test_00026,False,s4_B3,0.2038446608498051,,no_quality_defect_at_entry
test_00027,True,s4_A1,1.5342762575926134,s2_A1,localized_candidate
test_00028,True,s4_A1,1.2029330735090267,s2_A1,localized_candidate
test_00029,True,s4_A1,1.6951192624929818,s2_A1,localized_candidate
test_00030,True,s4_A1,1.3514707684900424,s2_A1,localized_candidate
test_00031,True,s4_A1,1.1563629810207847,s2_A1,localized_candidate
test_00032,False,s4_B1,0.09244678489675733,,no_quality_defect_at_entry
test_00033,True,s4_A1,1.5386786382783213,s2_A1,localized_candidate
test_00034,True,s4_A1,1.3054901138345913,s2_A1,localized_candidate
test_00035,False,s4_B2,0.13629467128354744,,no_quality_defect_at_entry
test_00036,True,s4_A1,1.3115424839006184,s2_A1,localized_candidate
test_00037,True,s4_A1,1.4490147297377272,s2_A1,localized_candidate
test_00038,True,s4_A1,1.1937433159418915,s2_A1,localized_candidate
test_00039,False,s4_C1,0.1555055164433818,,no_quality_defect_at_entry
test_00040,False,s4_B1,0.1578798468537806,,no_quality_defect_at_entry
test_00041,True,s4_A1,1.4465149058995908,s2_A1,localized_candidate
test_00042,True,s4_A1,1.6015854421970768,s2_A1,localized_candidate
test_00043,False,s4_C2,0.1163090385460198,,no_quality_defect_at_entry
test_00044,True,s4_A1,1.7722828128085775,s2_A1,localized_candidate
test_00045,False,s4_C2,0.12347317545817285,,no_quality_defect_at_entry
test_00046,True,s4_A1,1.1986597666838097,s2_A1,localized_candidate
test_00047,True,s4_A1,1.6912228350191425,s2_A1,localized_candidate
test_00048,False,s4_C1,0.13823526349916201,,no_quality_defect_at_entry
test_00049,True,s4_A1,1.539320824110622,s2_A1,localized_candidate
test_00050,True,s4_A1,1.5511994660535509,s2_A1,localized_candidate
test_00051,True,s4_A1,1.6097505208848946,s2_A1,localized_candidate
test_00052,True,s4_A1,1.4015008940428515,s2_A1,localized_candidate
test_00053,True,s4_A1,1.6331624215358373,s2_A1,localized_candidate
test_00054,True,s4_A1,1.4131702641302974,s2_A1,localized_candidate
test_00055,False,s4_B3,0.2856221717439984,,no_quality_defect_at_entry
test_00056,True,s4_A1,1.27247718320356,s2_A1,localized_candidate
test_00057,True,s4_A1,1.4461146478013942,s2_A1,localized_candidate
test_00058,True,s4_A1,1.4081854440876715,s2_A1,localized_candidate
test_00059,True,s4_A1,1.301889401845447,s2_A1,localized_candidate
test_00060,True,s4_A1,1.7074366157027459,s2_A1,localized_candidate
test_00061,True,s4_A1,1.6215756678554374,s2_A1,localized_candidate
test_00062,False,s4_A2,0.12680674975085,,no_quality_defect_at_entry
test_00063,True,s4_A1,1.5001118486328928,s2_A1,localized_candidate
test_00064,False,s4_C1,0.13190166286546548,,no_quality_defect_at_entry
test_00065,True,s4_A1,1.4417318647649364,s2_A1,localized_candidate
test_00066,True,s4_A1,1.3905762228447331,s2_A1,localized_candidate
test_00067,False,s4_A3,0.10898669642973277,,no_quality_defect_at_entry
test_00068,True,s4_A1,1.4487880846371959,s2_A1,localized_candidate
test_00069,True,s4_A1,1.3154497931402584,s2_A1,localized_candidate
test_00070,True,s4_A1,1.4058183567185176,s2_A1,localized_candidate
test_00071,True,s4_A1,1.537437010289836,s2_A1,localized_candidate
test_00072,True,s4_A1,1.473365569067163,s2_A1,localized_candidate
test_00073,False,s4_A3,0.11234369183173565,,no_quality_defect_at_entry
test_00074,True,s4_A1,1.1931806422906939,s2_A1,localized_candidate
test_00075,True,s4_A1,1.7975651010287554,s2_A1,localized_candidate
test_00076,True,s4_A1,1.290141131308715,s2_A1,localized_candidate
test_00077,False,s4_B3,0.1534317023619085,,no_quality_defect_at_entry
test_00078,True,s4_A1,1.6462021040847643,s2_A1,localized_candidate
test_00079,True,s4_A1,1.7993581403726848,s2_A1,localized_candidate
test_00080,True,s4_A1,1.611423409460671,s2_A1,localized_candidate
test_00081,True,s4_A1,1.4779969817761502,s2_A1,localized_candidate
test_00082,False,s4_C2,0.12314157430066736,,no_quality_defect_at_entry
test_00083,False,s4_B3,0.15958140811502514,,no_quality_defect_at_entry
test_00084,False,s4_B1,0.203538447809931,,no_quality_defect_at_entry
test_00085,False,s4_B2,0.18832281494182915,,no_quality_defect_at_entry
test_00086,False,s4_A3,0.14697347900774882,,no_quality_defect_at_entry
