sample_id,quality_defect,observed_node,maximum_final_error_mm,predicted_root,trace_status
test_00000,False,s4_C2,0.16920532560844778,,no_quality_defect_at_entry
test_00001,False,s4_B1,0.8744853718439265,,no_quality_defect_at_entry
test_00002,False,s4_C2,0.17194651667253213,,no_quality_defect_at_entry
test_00003,False,s4_B1,0.12589727037468096,,no_quality_defect_at_entry
test_00004,True,s4_B3,2.085951830661767,h4_final,localized_candidate
test_00005,False,s4_C1,0.12993980491423213,,no_quality_defect_at_entry
test_00006,False,s4_B2,0.13060057571166386,,no_quality_defect_at_entry
test_00007,True,s4_C2,1.0146171751024073,h3_rear,localized_candidate
test_00008,False,s4_C3,0.1726779140864389,,no_quality_defect_at_entry
test_00009,False,s4_C1,0.14872579986601722,,no_quality_defect_at_entry
test_00010,True,s4_A3,1.2833368483217236,h2_front,localized_candidate
test_00011,True,s4_C2,1.2999324255585398,h3_rear,localized_candidate
test_00012,False,s4_C2,0.1071537330110658,,no_quality_defect_at_entry
test_00013,True,s4_C3,1.3155443010242933,h3_rear,localized_candidate
test_00014,False,s4_B3,0.12082479117917774,,no_quality_defect_at_entry
test_00015,True,s4_A1,1.0705835947285292,h2_front,localized_candidate
test_00016,False,s4_C2,0.10201194562144866,,no_quality_defect_at_entry
test_00017,False,s4_A3,0.18940516958263356,,no_quality_defect_at_entry
test_00018,False,s4_C2,0.13769515176158184,,no_quality_defect_at_entry
test_00019,False,s4_A2,0.1186063442373803,,no_quality_defect_at_entry
