sample_id,quality_defect,observed_node,maximum_final_error_mm,predicted_root,trace_status
test_00000,True,s4_B3,1.0525306559361214,h2_front,localized_candidate
test_00001,False,s4_A4,0.122269143473178,,no_quality_defect_at_entry
test_00002,False,s4_C7,0.1300134405304902,,no_quality_defect_at_entry
test_00003,False,s4_C3,0.21262962858423384,,no_quality_defect_at_entry
test_00004,False,s4_B6,0.12952555186993978,,no_quality_defect_at_entry
test_00005,True,s4_A3,1.1248305908881973,h2_front,localized_candidate
test_00006,False,s4_B3,0.15554025571911057,,no_quality_defect_at_entry
test_00007,True,s4_A4,1.4845472177602155,h2_front,localized_candidate
test_00008,False,s4_B2,0.15611112518741183,,no_quality_defect_at_entry
test_00009,True,s4_A5,2.0775389245996707,h4_final,localized_candidate
test_00010,True,s4_B6,1.1098969000442906,h2_front,localized_candidate
test_00011,False,s4_B2,0.1292512574630529,,no_quality_defect_at_entry
test_00012,True,s4_C4,1.1366272653846317,h3_rear,localized_candidate
test_00013,True,s4_C6,1.054298483934985,h3_rear,localized_candidate
test_00014,False,s4_C2,0.16049700357867944,,no_quality_defect_at_entry
test_00015,True,s4_B4,1.1226014921891765,h3_rear,localized_candidate
test_00016,False,s4_A5,0.11908917740425906,,no_quality_defect_at_entry
test_00017,False,s4_A5,0.11894823630374209,,no_quality_defect_at_entry
test_00018,False,s4_C2,0.12197668808693808,,no_quality_defect_at_entry
test_00019,True,s4_A5,1.2318203346021135,h2_front,localized_candidate
test_00020,False,s4_C3,0.15899973880026758,,no_quality_defect_at_entry
test_00021,False,s4_C6,0.15023042622953525,,no_quality_defect_at_entry
test_00022,True,s4_A2,2.075882692388771,h4_final,localized_candidate
test_00023,False,s4_C6,0.17166496156592834,,no_quality_defect_at_entry
