sample_id,quality_defect,observed_node,maximum_final_error_mm,predicted_root,trace_status
test_00000,True,s4_B2,1.0068719670275488,s1_B2,localized_candidate
test_00001,True,s4_C3,2.044566693297183,s4_C3,localized_candidate
test_00002,False,s4_A1,0.15890486151007643,,no_quality_defect_at_entry
test_00003,False,s4_A3,0.14466359682687294,,no_quality_defect_at_entry
test_00004,True,s4_A1,1.505767957822236,s3_A1,localized_candidate
test_00005,False,s4_A2,0.14018614994426115,,no_quality_defect_at_entry
test_00006,False,s4_A2,0.14915560848758067,,no_quality_defect_at_entry
test_00007,True,s4_C3,1.1545758139865496,s1_C3,localized_candidate
test_00008,False,s4_C2,0.13899529469135638,,no_quality_defect_at_entry
test_00009,False,s4_B2,0.5299670323783677,,no_quality_defect_at_entry
test_00010,True,s4_B2,1.0894863220300017,s2_B2,localized_candidate
test_00011,True,s4_C2,1.9725260576129442,s4_C2,localized_candidate
test_00012,False,s4_C2,0.6966207609924259,,no_quality_defect_at_entry
test_00013,True,s4_C3,2.062900907400663,s4_C3,localized_candidate
test_00014,False,s4_A1,0.16358971281554388,,no_quality_defect_at_entry
test_00015,True,s4_A2,1.407095263188337,s3_A2,localized_candidate
test_00016,False,s4_A3,0.1894131943465071,,no_quality_defect_at_entry
test_00017,False,s4_B1,0.20144510800199328,,no_quality_defect_at_entry
test_00018,False,s4_C3,0.11077327813195999,,no_quality_defect_at_entry
test_00019,False,s4_A2,0.14377194983211045,,no_quality_defect_at_entry
