sample_id,quality_defect,observed_node,maximum_final_error_mm,predicted_root,trace_status
test_00000,True,s4_B1,1.349740647899702,h1_B,localized_candidate
test_00001,False,s4_B1,0.8413832670209831,,no_quality_defect_at_entry
test_00002,False,s4_C2,0.16980016876862922,,no_quality_defect_at_entry
test_00003,False,s4_C3,0.12028973130107057,,no_quality_defect_at_entry
test_00004,True,s4_B3,2.0693982405102918,h4_final,localized_candidate
test_00005,False,s4_B2,0.10987571957983482,,no_quality_defect_at_entry
test_00006,False,s4_B2,0.13498774703974029,,no_quality_defect_at_entry
test_00007,True,s4_C2,1.0378914248086206,h3_rear,localized_candidate
test_00008,False,s4_C3,0.14334640757872102,,no_quality_defect_at_entry
test_00009,False,s4_B3,0.14090115236799797,,no_quality_defect_at_entry
test_00010,True,s4_A3,1.3061800641689547,h2_front,localized_candidate
test_00011,True,s4_C2,1.2760626190005697,h3_rear,localized_candidate
test_00012,True,s4_B1,1.3944397838584763,h1_B,localized_candidate
test_00013,True,s4_C3,1.28508559768452,h3_rear,localized_candidate
test_00014,False,s4_B3,0.12666782028081805,,no_quality_defect_at_entry
test_00015,True,s4_A1,1.0455159261474603,h2_front,localized_candidate
test_00016,False,s4_B3,0.11482739728637413,,no_quality_defect_at_entry
test_00017,False,s4_C3,0.1643036871932639,,no_quality_defect_at_entry
test_00018,False,s4_C2,0.13348794343764356,,no_quality_defect_at_entry
test_00019,False,s4_A2,0.10885646927968728,,no_quality_defect_at_entry
