sample_id,quality_defect,observed_node,maximum_final_error_mm,predicted_root,trace_status
test_00000,False,s4_B3,0.1106411495698833,,no_quality_defect_at_entry
test_00001,False,s4_C2,0.21435488630505556,,no_quality_defect_at_entry
test_00002,False,s4_B3,0.12641579076608978,,no_quality_defect_at_entry
test_00003,False,s4_A3,0.16826968844931697,,no_quality_defect_at_entry
test_00004,False,s4_C1,0.13101858619054355,,no_quality_defect_at_entry
test_00005,False,s4_B1,0.9402744015876664,,no_quality_defect_at_entry
test_00006,False,s4_A3,0.20850462230541636,,no_quality_defect_at_entry
test_00007,False,s4_C1,0.11707247544915508,,no_quality_defect_at_entry
test_00008,False,s4_A2,0.18159824266035587,,no_quality_defect_at_entry
test_00009,False,s4_B3,0.9823449379447275,,no_quality_defect_at_entry
test_00010,False,s4_B2,0.14950018715817548,,no_quality_defect_at_entry
test_00011,False,s4_C1,0.09250150585426402,,no_quality_defect_at_entry
test_00012,True,s4_A2,1.4021239483355716,h2_front,localized_candidate
test_00013,True,s4_C1,2.0745415887553347,h4_final,localized_candidate
test_00014,True,s4_B3,2.08597777534664,h4_final,localized_candidate
test_00015,False,s4_C2,0.10367993051971384,,no_quality_defect_at_entry
test_00016,True,s4_B3,2.097948388689026,h4_final,localized_candidate
test_00017,True,s4_A3,1.3446647351554208,h2_front,localized_candidate
test_00018,False,s4_B1,0.9338322262674189,,no_quality_defect_at_entry
test_00019,True,s4_A1,1.257010006819991,h2_front,localized_candidate
test_00020,False,s4_A2,0.8710857383756091,,no_quality_defect_at_entry
test_00021,False,s4_C2,0.11477229417520085,,no_quality_defect_at_entry
test_00022,False,s4_C3,0.11975805833673353,,no_quality_defect_at_entry
test_00023,True,s4_C3,2.080663461153919,h4_final,localized_candidate
test_00024,False,s4_A1,0.14886872466374299,,no_quality_defect_at_entry
test_00025,True,s4_B3,2.0571518225046526,h4_final,localized_candidate
test_00026,False,s4_A3,0.14611490297982055,,no_quality_defect_at_entry
test_00027,False,s4_B3,0.11693946494622776,,no_quality_defect_at_entry
test_00028,False,s4_C3,0.1380547079936881,,no_quality_defect_at_entry
test_00029,False,s4_B1,0.1179408452143198,,no_quality_defect_at_entry
test_00030,False,s4_A2,0.2030537735783954,,no_quality_defect_at_entry
test_00031,False,s4_A2,0.12304791792477465,,no_quality_defect_at_entry
test_00032,False,s4_C3,0.9814202601709102,,no_quality_defect_at_entry
test_00033,False,s4_B3,0.11746229637258947,,no_quality_defect_at_entry
test_00034,False,s4_A3,0.17201938998236097,,no_quality_defect_at_entry
test_00035,False,s4_C3,0.15441452423401922,,no_quality_defect_at_entry
test_00036,False,s4_C1,0.8721111197418748,,no_quality_defect_at_entry
test_00037,True,s4_A1,1.4407869792290686,h2_front,localized_candidate
test_00038,True,s4_C3,2.0908558291839636,h4_final,localized_candidate
test_00039,False,s4_B3,0.8625717317401981,,no_quality_defect_at_entry
