sample_id,quality_defect,observed_node,maximum_final_error_mm,predicted_root,trace_status
test_00000,True,s4_B2,1.0163961820522514,s1_B2,localized_candidate
test_00001,True,s4_C3,2.051765752265222,s4_C3,localized_candidate
test_00002,False,s4_B2,0.12455958560406198,,no_quality_defect_at_entry
test_00003,False,s4_B3,0.119342447318519,,no_quality_defect_at_entry
test_00004,True,s4_A1,1.4758187300980221,s3_A1,localized_candidate
test_00005,False,s4_B2,0.11988657550904026,,no_quality_defect_at_entry
test_00006,False,s4_C3,0.141093515338804,,no_quality_defect_at_entry
test_00007,True,s4_C3,1.196118761259913,s1_C3,localized_candidate
test_00008,False,s4_B2,0.2049220040796764,,no_quality_defect_at_entry
test_00009,False,s4_B2,0.5818720362309499,,no_quality_defect_at_entry
test_00010,True,s4_B2,1.0507861895841084,s2_B2,localized_candidate
test_00011,True,s4_C2,2.1054561492097954,s4_C2,localized_candidate
test_00012,False,s4_C1,0.6696991690311814,,no_quality_defect_at_entry
test_00013,True,s4_C3,2.013499391762481,s4_C3,localized_candidate
test_00014,False,s4_A3,0.15204808651258464,,no_quality_defect_at_entry
test_00015,True,s4_A2,1.367813258603284,s3_A2,localized_candidate
test_00016,False,s4_A3,0.12634045150176085,,no_quality_defect_at_entry
test_00017,False,s4_B1,0.10961741229015266,,no_quality_defect_at_entry
test_00018,False,s4_A1,0.13800565971421372,,no_quality_defect_at_entry
test_00019,False,s4_B2,0.1319406455145165,,no_quality_defect_at_entry
