sample_id,quality_defect,observed_node,maximum_final_error_mm,predicted_root,trace_status
test_00000,True,s4_A3,1.0171999555115074,s1_A3,localized_candidate
test_00001,False,s4_A1,0.13355228417597736,,no_quality_defect_at_entry
test_00002,False,s4_C2,0.6317896512507271,,no_quality_defect_at_entry
test_00003,True,s4_C1,2.056670053172457,s4_C1,localized_candidate
test_00004,True,s4_C2,1.9489769307027058,s4_C2,localized_candidate
test_00005,False,s4_B1,0.7041174084466659,,no_quality_defect_at_entry
test_00006,True,s4_A1,1.238122747965999,s3_A1,localized_candidate
test_00007,False,s4_B2,0.14089239338355078,,no_quality_defect_at_entry
test_00008,True,s4_C2,1.6235485957432996,s3_C2,localized_candidate
test_00009,True,s4_A1,1.2892211616409501,s2_A1,localized_candidate
test_00010,True,s4_C3,2.0155519436740548,s4_C3,localized_candidate
test_00011,True,s4_C1,1.9976834136923103,s4_C1,localized_candidate
test_00012,True,s4_A1,1.3453089739892925,s3_A1,localized_candidate
test_00013,False,s4_C3,0.8593073005897431,,no_quality_defect_at_entry
test_00014,False,s4_B2,0.1693232471242474,,no_quality_defect_at_entry
test_00015,True,s4_B1,1.642992221477531,s3_B1,localized_candidate
test_00016,False,s4_A3,0.10998562799685924,,no_quality_defect_at_entry
test_00017,True,s4_B3,1.3726814640672236,s2_B2,localized_candidate
test_00018,False,s4_C2,0.3293441316081453,,no_quality_defect_at_entry
test_00019,False,s4_A3,0.35920059618504796,,no_quality_defect_at_entry
test_00020,True,s4_B3,2.1236189354849246,s4_B3,localized_candidate
test_00021,True,s4_A2,1.6302795913108192,s2_A2,localized_candidate
test_00022,False,s4_C3,0.12550040168416135,,no_quality_defect_at_entry
test_00023,True,s4_B3,1.5579139631795984,s3_B3,localized_candidate
test_00024,False,s4_B3,0.12543850063354797,,no_quality_defect_at_entry
test_00025,False,s4_B1,0.15676037780013938,,no_quality_defect_at_entry
test_00026,True,s4_A1,1.6444865628163061,s2_A1,localized_candidate
test_00027,True,s4_A2,1.8104275801776977,s2_A2,localized_candidate
test_00028,False,s4_B1,0.1202837079746396,,no_quality_defect_at_entry
test_00029,False,s4_C2,0.08964848346330012,,no_quality_defect_at_entry
